
COMMAND: E:\Eproject\ECG\phase1_ecg_robustness\.venv\Scripts\python.exe -u -m src.train --config configs/phase1_full.yaml --resume-completed
Device=cuda; train=17084, val=2146, test=2158; training-only scale_mv=0.22549059
full/tcn/seed_29 epoch=4/25 train_loss=0.31582 val_loss=0.35149 macro_auroc=0.89680 elapsed=107.5s
full/tcn/seed_29 epoch=5/25 train_loss=0.30390 val_loss=0.36295 macro_auroc=0.89867 elapsed=134.5s
full/tcn/seed_29 epoch=6/25 train_loss=0.29654 val_loss=0.32554 macro_auroc=0.90408 elapsed=161.7s
full/tcn/seed_29 epoch=7/25 train_loss=0.29251 val_loss=0.32879 macro_auroc=0.90618 elapsed=188.7s
full/tcn/seed_29 epoch=8/25 train_loss=0.28381 val_loss=0.35063 macro_auroc=0.90696 elapsed=215.9s
full/tcn/seed_29 epoch=9/25 train_loss=0.28347 val_loss=0.36397 macro_auroc=0.90687 elapsed=243.4s
full/tcn/seed_29 epoch=10/25 train_loss=0.27758 val_loss=0.33184 macro_auroc=0.91084 elapsed=271.5s
full/tcn/seed_29 epoch=11/25 train_loss=0.27383 val_loss=0.31176 macro_auroc=0.91575 elapsed=298.9s
full/tcn/seed_29 epoch=12/25 train_loss=0.26736 val_loss=0.34769 macro_auroc=0.91256 elapsed=326.0s
full/tcn/seed_29 epoch=13/25 train_loss=0.26700 val_loss=0.30218 macro_auroc=0.91685 elapsed=353.1s
full/tcn/seed_29 epoch=14/25 train_loss=0.26504 val_loss=0.30713 macro_auroc=0.91868 elapsed=380.2s
full/tcn/seed_29 epoch=15/25 train_loss=0.26375 val_loss=0.36268 macro_auroc=0.91230 elapsed=407.2s
full/tcn/seed_29 epoch=16/25 train_loss=0.26024 val_loss=0.33266 macro_auroc=0.91778 elapsed=434.3s
full/tcn/seed_29 epoch=17/25 train_loss=0.25888 val_loss=0.32958 macro_auroc=0.91743 elapsed=461.8s
full/tcn/seed_29 epoch=18/25 train_loss=0.25352 val_loss=0.31854 macro_auroc=0.91851 elapsed=488.7s
full/tcn/seed_29 epoch=19/25 train_loss=0.25079 val_loss=0.35070 macro_auroc=0.91707 elapsed=515.5s
full/tcn/seed_29 epoch=20/25 train_loss=0.25003 val_loss=0.35503 macro_auroc=0.91585 elapsed=542.6s
full/tcn/seed_29 epoch=21/25 train_loss=0.24987 val_loss=0.35609 macro_auroc=0.91547 elapsed=569.9s
full/tcn/seed_29 epoch=22/25 train_loss=0.25105 val_loss=0.31775 macro_auroc=0.91879 elapsed=599.2s
full/tcn/seed_29 epoch=23/25 train_loss=0.24685 val_loss=0.35926 macro_auroc=0.91742 elapsed=626.2s
full/tcn/seed_29 epoch=24/25 train_loss=0.24571 val_loss=0.32722 macro_auroc=0.91825 elapsed=653.4s
full/tcn/seed_29 epoch=25/25 train_loss=0.24341 val_loss=0.29511 macro_auroc=0.92276 elapsed=680.7s
full/tcn/seed_43 epoch=1/25 train_loss=0.45645 val_loss=0.41093 macro_auroc=0.84951 elapsed=27.2s
full/tcn/seed_43 epoch=2/25 train_loss=0.36114 val_loss=0.38653 macro_auroc=0.87570 elapsed=54.9s
full/tcn/seed_43 epoch=3/25 train_loss=0.33470 val_loss=0.34108 macro_auroc=0.89043 elapsed=82.2s
full/tcn/seed_43 epoch=4/25 train_loss=0.31643 val_loss=0.34839 macro_auroc=0.89393 elapsed=109.0s
full/tcn/seed_43 epoch=5/25 train_loss=0.30890 val_loss=0.34462 macro_auroc=0.90148 elapsed=135.9s
full/tcn/seed_43 epoch=6/25 train_loss=0.29964 val_loss=0.34137 macro_auroc=0.90372 elapsed=162.7s
full/tcn/seed_43 epoch=7/25 train_loss=0.29252 val_loss=0.31581 macro_auroc=0.90863 elapsed=190.1s
full/tcn/seed_43 epoch=8/25 train_loss=0.28894 val_loss=0.32921 macro_auroc=0.90930 elapsed=218.1s
full/tcn/seed_43 epoch=9/25 train_loss=0.28583 val_loss=0.33065 macro_auroc=0.91047 elapsed=245.1s
full/tcn/seed_43 epoch=10/25 train_loss=0.27909 val_loss=0.33163 macro_auroc=0.91056 elapsed=272.1s
full/tcn/seed_43 epoch=11/25 train_loss=0.27581 val_loss=0.32963 macro_auroc=0.91434 elapsed=299.5s
full/tcn/seed_43 epoch=12/25 train_loss=0.27453 val_loss=0.32795 macro_auroc=0.91359 elapsed=326.8s
full/tcn/seed_43 epoch=13/25 train_loss=0.27024 val_loss=0.30705 macro_auroc=0.91618 elapsed=354.5s
full/tcn/seed_43 epoch=14/25 train_loss=0.26798 val_loss=0.34611 macro_auroc=0.91461 elapsed=381.5s
full/tcn/seed_43 epoch=15/25 train_loss=0.26314 val_loss=0.33694 macro_auroc=0.91464 elapsed=408.8s
full/tcn/seed_43 epoch=16/25 train_loss=0.26575 val_loss=0.32007 macro_auroc=0.91648 elapsed=436.3s
full/tcn/seed_43 epoch=17/25 train_loss=0.26289 val_loss=0.31521 macro_auroc=0.91735 elapsed=463.5s
full/tcn/seed_43 epoch=18/25 train_loss=0.25688 val_loss=0.29481 macro_auroc=0.92090 elapsed=490.9s
full/tcn/seed_43 epoch=19/25 train_loss=0.25411 val_loss=0.31746 macro_auroc=0.91882 elapsed=517.8s
full/tcn/seed_43 epoch=20/25 train_loss=0.25708 val_loss=0.30781 macro_auroc=0.92120 elapsed=544.9s
full/tcn/seed_43 epoch=21/25 train_loss=0.25539 val_loss=0.30956 macro_auroc=0.91987 elapsed=571.8s
full/tcn/seed_43 epoch=22/25 train_loss=0.25600 val_loss=0.31325 macro_auroc=0.91694 elapsed=599.0s
full/tcn/seed_43 epoch=23/25 train_loss=0.24938 val_loss=0.36058 macro_auroc=0.91705 elapsed=625.8s
full/tcn/seed_43 epoch=24/25 train_loss=0.24896 val_loss=0.35634 macro_auroc=0.91761 elapsed=652.5s
full/tcn/seed_43 epoch=25/25 train_loss=0.24652 val_loss=0.32547 macro_auroc=0.91921 elapsed=679.3s
