analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_drop,43,0.168345944572297,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,structure_effect,17,-0.06310577825706125,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,structure_effect,29,-0.04893207373740626,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,structure_effect,43,-0.06053785635462298,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_absolute,17,0.11905549543451222,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_absolute,29,0.10214420909136789,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_absolute,43,0.10631995884179886,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_drop,17,-0.026068113412727748,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_drop,29,-0.018418294222935852,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_drop,43,-0.026749293982472454,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_absolute,17,0.10264401632153386,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_absolute,29,0.09485074092588093,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_absolute,43,0.09692635888555741,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_drop,17,-0.009656634299749384,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_drop,29,-0.011124826057448895,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_drop,43,-0.01735569402623098,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,structure_effect,17,0.016411479112978362,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,structure_effect,29,0.0072934681654869575,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,structure_effect,43,0.009393599956241472,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_absolute,17,0.9019113728556527,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_absolute,29,0.9189728749280378,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_absolute,43,0.9199591282434554,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_drop,17,0.014290123480354355,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_drop,29,0.0072963519185476056,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_drop,43,0.006484393168642151,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_absolute,17,0.9066291425638933,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_absolute,29,0.9209192333015204,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_absolute,43,0.9173739089962578,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_drop,17,0.009572353772113629,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_drop,29,0.005349993545065231,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_drop,43,0.009069612415839682,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,structure_effect,17,-0.004717769708240727,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,structure_effect,29,-0.0019463583734823746,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,structure_effect,43,0.002585219247197531,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_absolute,17,0.6718375549578467,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_absolute,29,0.7135519736586708,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_absolute,43,0.723174684276202,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_drop,17,0.06324345803776422,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_drop,29,0.039631787884223925,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_drop,43,0.013903333491470937,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_absolute,17,0.6789088920377718,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_absolute,29,0.7202104812312126,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_absolute,43,0.7268534292461452,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_drop,17,0.05617212095783904,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_drop,29,0.03297328031168197,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_drop,43,0.010224588521527836,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,structure_effect,17,-0.0070713370799251885,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,structure_effect,29,-0.006658507572541957,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,structure_effect,43,-0.0036787449699431005,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_absolute,17,0.17136183905413296,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_absolute,29,0.14576319744693078,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_absolute,43,0.14981181881009634,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_drop,17,-0.0783744570323485,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_drop,29,-0.06203728257849874,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_drop,43,-0.07024115395076991,6,1
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_absolute,17,0.16331701416060485,6,1
