scope,source_id,noise_seed,condition,family,band_id,n_records,achieved_snr_0,achieved_snr_0_min,achieved_snr_0_max,achieved_snr_0_n_defined,max_snr_abs_error_db,max_snr_abs_error_db_min,max_snr_abs_error_db_max,max_snr_abs_error_db_n_defined,max_scaled_noise_snr_abs_error_db,max_scaled_noise_snr_abs_error_db_min,max_scaled_noise_snr_abs_error_db_max,max_scaled_noise_snr_abs_error_db_n_defined,max_lead_rms_relative_error,max_lead_rms_relative_error_min,max_lead_rms_relative_error_max,max_lead_rms_relative_error_n_defined,max_scaled_lead_rms_relative_error,max_scaled_lead_rms_relative_error_min,max_scaled_lead_rms_relative_error_max,max_scaled_lead_rms_relative_error_n_defined,effective_cross_lead_correlation,effective_cross_lead_correlation_min,effective_cross_lead_correlation_max,effective_cross_lead_correlation_n_defined,active_lead_count,active_lead_count_min,active_lead_count_max,active_lead_count_n_defined,power_fraction_0_5,power_fraction_0_5_min,power_fraction_0_5_max,power_fraction_0_5_n_defined,power_fraction_5_15,power_fraction_5_15_min,power_fraction_5_15_max,power_fraction_5_15_n_defined,power_fraction_15_40,power_fraction_15_40_min,power_fraction_15_40_max,power_fraction_15_40_n_defined,power_fraction_40_50,power_fraction_40_50_min,power_fraction_40_50_max,power_fraction_40_50_n_defined,crop_mean_removed_rms,crop_mean_removed_rms_min,crop_mean_removed_rms_max,crop_mean_removed_rms_n_defined,crop_to_long_source_power_ratio,crop_to_long_source_power_ratio_min,crop_to_long_source_power_ratio_max,crop_to_long_source_power_ratio_n_defined,crop_demeaning_retained_power_fraction,crop_demeaning_retained_power_fraction_min,crop_demeaning_retained_power_fraction_max,crop_demeaning_retained_power_fraction_n_defined,source_fft_df_hz,source_fft_df_hz_min,source_fft_df_hz_max,source_fft_df_hz_n_defined,source_lowest_retained_hz,source_lowest_retained_hz_min,source_lowest_retained_hz_max,source_lowest_retained_hz_n_defined
source_seed_condition,random_01,8128,electrode,randomized,legacy_0p5_40,100,1.610397763912495e-10,-1.5054348991538673e-08,1.3839357570333065e-08,100,5.8632122250656945e-08,3.5822001365204414e-08,7.891949316274349e-08,100,5.8627875603178836e-08,4.8557547316363525e-08,7.256327094751214e-08,100,1.0796441893605253e-08,4.895735030325575e-09,2.1906015257626572e-08,100,5.4470518333317745e-09,2.7386873023245464e-09,9.87914204959732e-09,100,0.2637449915441216,0.24685572500915348,0.28373709364428457,100,12.0,12.0,12.0,100,0.11340646106893583,0.09757760985496919,0.1355770215728384,100,0.2518368488045207,0.217621092522905,0.2786020872681944,100,0.6322082505713612,0.6024223636071427,0.6597339015866359,100,0.002548439555182228,0.0004719034079260804,0.007517662560740887,100,7.576432353465786e-18,3.666538502885441e-18,1.144355796582671e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_01,8128,independent_rms,randomized,legacy_0p5_40,100,-4.1242769648392527e-10,-1.1696543384764326e-08,1.2021361148081182e-08,100,5.647095864702578e-08,3.642363033407037e-08,8.926376082740717e-08,100,5.7618917317370233e-08,4.4808164290088826e-08,7.165486870519544e-08,100,1.0796441893605253e-08,4.895735030325575e-09,2.1906015257626572e-08,100,5.4470518333317745e-09,2.7386873023245464e-09,9.87914204959732e-09,100,0.02771900394666125,0.01937846619969372,0.03604194009210116,100,12.0,12.0,12.0,100,0.11379660563353579,0.10406299016086552,0.12542152667264306,100,0.2518784446515621,0.23709331889770718,0.2695060200593458,100,0.6317287983555455,0.611829866375805,0.6471201620987268,100,0.0025961513593565477,0.0012117978570463153,0.005054626339422809,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_02,8128,electrode,randomized,legacy_0p5_40,100,2.717511794122171e-10,-1.5305926599202315e-08,1.3678275346502862e-08,100,5.9067055548922557e-08,3.593919117861333e-08,8.84725448457857e-08,100,5.891280370207142e-08,4.569290368294787e-08,7.829367199008175e-08,100,1.1606869345423975e-08,5.723783413866962e-09,3.418149036641886e-08,100,5.57556120294339e-09,3.2321482580843675e-09,1.0141885106118925e-08,100,0.2952835483506025,0.2769244673786414,0.3109839314787737,100,12.0,12.0,12.0,100,0.11250194705551878,0.0974730776496455,0.13206147536460466,100,0.25366390457090005,0.22736855546784737,0.2816358317110977,100,0.6311690388606044,0.603160323830309,0.662652222784549,100,0.0026651095129765854,0.000441987346264005,0.0064671224971960374,100,7.432339673134109e-18,4.39625888431457e-18,1.4614516416515085e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_02,8128,independent_rms,randomized,legacy_0p5_40,100,7.156918936419674e-10,-1.3555356424346049e-08,1.2376507523775721e-08,100,5.8550497001874644e-08,3.498520939615446e-08,8.493215197802328e-08,100,5.812654825021468e-08,4.452020618828101e-08,7.220775444238825e-08,100,1.1606869345423975e-08,5.723783413866962e-09,3.418149036641886e-08,100,5.57556120294339e-09,3.2321482580843675e-09,1.0141885106118925e-08,100,0.027719003948883384,0.019378466284238272,0.0360419394879411,100,12.0,12.0,12.0,100,0.113768377737517,0.103959473291603,0.1252538492549057,100,0.2519490913856529,0.23726009339561147,0.2697234772813851,100,0.6316907229669882,0.611294406873824,0.647184914662531,100,0.0025918079098419707,0.0011783055415773094,0.005007071011287429,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_03,8128,electrode,randomized,legacy_0p5_40,100,-8.49827874601024e-10,-1.4065174178002225e-08,1.3235298989857125e-08,100,5.9040364863705006e-08,3.7331112423544255e-08,7.952393410448622e-08,100,5.8168752108400666e-08,4.4931233844636154e-08,6.983506040114662e-08,100,1.1101449500842875e-08,3.204236527237123e-09,2.6571322374532238e-08,100,5.456664547373114e-09,2.8169671792466745e-09,9.844179766916261e-09,100,0.2932677446070585,0.27903299065631376,0.3123411054559765,100,12.0,12.0,12.0,100,0.11331855507032977,0.09961220962566708,0.13725151284746614,100,0.2526469056958771,0.22325535273357566,0.2807201109871154,100,0.6313823318061835,0.5992190543283862,0.6614940776154004,100,0.0026522074276096757,0.0003392226587601796,0.009075489651901145,100,7.659206096049595e-18,3.489704890724912e-18,1.347111270108067e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_03,8128,independent_rms,randomized,legacy_0p5_40,100,1.3965068911616936e-10,-1.5997199442291255e-08,1.4314250272972627e-08,100,5.900657866320103e-08,3.225809663831569e-08,8.379993232665583e-08,100,5.859403204411251e-08,4.7347789688956254e-08,6.984587841429857e-08,100,1.1101449500842875e-08,3.204236527237123e-09,2.6571322374532238e-08,100,5.456664547373114e-09,2.8169671792466745e-09,9.844179766916261e-09,100,0.02771900399633645,0.019378465985596255,0.0360419404857947,100,12.0,12.0,12.0,100,0.11379053413984225,0.10424184263119414,0.1251836361406187,100,0.2519290426234345,0.23681416017216184,0.27009137783574166,100,0.6316847820083495,0.6110637011195376,0.6475570182799938,100,0.0025956412283738638,0.001193300562667132,0.004998237415907107,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_04,8128,electrode,randomized,legacy_0p5_40,100,-2.9335176461855236e-10,-1.2187901981785693e-08,1.1386806675630158e-08,100,5.831641990639014e-08,3.142032767300407e-08,8.068832535457204e-08,100,5.8509467351086645e-08,4.550017962401398e-08,6.76326887827372e-08,100,1.1016719577011657e-08,5.692314498430294e-09,1.9820210665508684e-08,100,5.682384875759039e-09,3.1722997855038072e-09,9.727310231186302e-09,100,0.25719603308868616,0.24490564586586414,0.2758913251964754,100,12.0,12.0,12.0,100,0.11402600808159555,0.10052084210598866,0.13486076090444485,100,0.25181546970794944,0.21948985970286086,0.27537486779882536,100,0.6315051991908127,0.5987491488076442,0.6619310789283217,100,0.0026533230196425788,0.0004212264367843916,0.009162906297667205,100,7.61427649842981e-18,4.521575513798027e-18,1.2326975779492608e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_04,8128,independent_rms,randomized,legacy_0p5_40,100,1.3538977316203028e-09,-1.4894693489134419e-08,1.2662957139579739e-08,100,5.753876227032606e-08,3.54507534439108e-08,7.792872480649748e-08,100,5.8121607597882983e-08,4.635227135452169e-08,7.560417714103096e-08,100,1.1016719577011657e-08,5.692314498430294e-09,1.9820210665508684e-08,100,5.682384875759039e-09,3.1722997855038072e-09,9.727310231186302e-09,100,0.027719003976024094,0.01937846611338098,0.036041940127281444,100,12.0,12.0,12.0,100,0.11379618949725961,0.10430415771790695,0.12550928597057182,100,0.25190209461004354,0.23770151594223082,0.26956922372989706,100,0.6317076189954206,0.6115868303938495,0.646737238167277,100,0.002594096897276375,0.0011799462946928568,0.005021776707705125,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,band_0p05_5,8128,electrode,standard,band_0p05_5,100,-8.94994200349108e-10,-1.549872700109275e-08,9.557787025105716e-09,100,5.773334006420328e-08,3.5213252758126146e-08,8.527607775477009e-08,100,5.795886323767263e-08,4.4035662227770445e-08,6.981831823793527e-08,100,1.039871995362258e-08,5.158186622810284e-09,2.188829597851597e-08,100,5.521956851127873e-09,2.7253418853958204e-09,9.523075821341182e-09,100,0.22944145910368394,0.19873793495073458,0.270628676439122,100,12.0,12.0,12.0,100,0.983744518494005,0.9607691729807127,0.9943178243581238,100,0.015560612583515154,0.005524461451128328,0.03754768864469376,100,0.0005834367033479865,0.00010341113074329807,0.00221114047264219,100,0.00011143221913219737,1.8408062144263785e-05,0.0004245842502135913,100,0.01849600196511151,0.007260201646202121,0.030385542768802783,100,1.003283810896745,0.878894198218097,1.1287626587798487,100,0.9975974604646727,0.9940545661204536,0.9996722804955583,100,0.010000000000000007,0.01,0.01,100,0.049999999999999906,0.05,0.05,100
source_seed_condition,band_0p05_5,8128,independent_rms,standard,band_0p05_5,100,-4.735001171234791e-10,-1.0842169980221662e-08,1.0906236976889149e-08,100,5.8038178867292345e-08,3.8729417894955986e-08,7.885606123636535e-08,100,5.765075803410014e-08,4.5202506626651484e-08,7.339910013115514e-08,100,1.039871995362258e-08,5.158186622810284e-09,2.188829597851597e-08,100,5.521956851127873e-09,2.7253418853958204e-09,9.523075821341182e-09,100,0.08061341239738339,0.06373985659775339,0.10103909984716886,100,12.0,12.0,12.0,100,0.9835126136360957,0.9716314696167457,0.9906375859606851,100,0.015843427969801815,0.008843304856232642,0.02762258806074635,100,0.0005407625431567889,0.0001038771144339034,0.0012805450854873489,100,0.0001031958509457025,1.789413834696583e-05,0.0002466077598732066,100,0.016018450709126667,0.007265383576902712,0.02613989633997102,100,0.9976896672956331,0.919133863688818,1.0895975403821918,100,0.9972838717378246,0.9935490967378188,0.9994338000912119,100,0.010000000000000007,0.01,0.01,100,0.049999999999999906,0.05,0.05,100
source_seed_condition,band_5_15,8128,electrode,standard,band_5_15,100,-7.409583475933908e-11,-1.64647039533323e-08,1.1263575269000666e-08,100,5.784703537514702e-08,4.170841805262171e-08,7.554721470626191e-08,100,5.779077481449235e-08,4.330212632908115e-08,6.810211949925815e-08,100,1.0858251729856124e-08,5.49842153891781e-09,2.8108244243170683e-08,100,5.602808308060993e-09,2.9711461982409897e-09,1.1217259391809756e-08,100,0.2145449935750101,0.18996544866184104,0.24217669989419877,100,12.0,12.0,12.0,100,0.002260888326100739,0.0005421383535313314,0.005767832012524267,100,0.9893487109719239,0.9784390030538762,0.9960916770215884,100,0.008264512768958747,0.002692739548188951,0.018319485457930284,100,0.00012588793301669175,2.058527092775004e-05,0.0003745473282788,100,0.0014061736950780233,0.0005112793212830063,0.0025307344650869904,100,1.0060019175312709,0.9002213312181767,1.1296479392252128,100,0.9999929334361016,0.9999793899288205,0.9999991899612378,100,0.010000000000000007,0.01,0.01,100,5.0,5.0,5.0,100
source_seed_condition,band_5_15,8128,independent_rms,standard,band_5_15,100,-2.004698653651625e-10,-1.4123543473250924e-08,1.2364538291294953e-08,100,5.946594255235027e-08,4.1447727028298686e-08,7.751964581359516e-08,100,5.91376621983386e-08,4.3918728209746405e-08,7.173780680602704e-08,100,1.0858251729856124e-08,5.49842153891781e-09,2.8108244243170683e-08,100,5.602808308060993e-09,2.9711461982409897e-09,1.1217259391809756e-08,100,0.05639484310915544,0.0446169939057586,0.07047116039145412,100,12.0,12.0,12.0,100,0.0023853250782426656,0.0012397654112987762,0.004471613448050505,100,0.9896726331250449,0.9835288987354256,0.9935488989232694,100,0.007825366737255934,0.004612019233537094,0.013075339800756137,100,0.00011667505945573111,3.654284911710985e-05,0.0003014635263984117,100,0.0011766746638728902,0.0006487923946857444,0.0018490051717543424,100,0.998432165283206,0.9229805122849013,1.0606895450114517,100,0.9999927773448666,0.9999830491234124,0.9999978230484492,100,0.010000000000000007,0.01,0.01,100,5.0,5.0,5.0,100
source_seed_condition,band_15_40,8128,electrode,standard,band_15_40,100,-2.1890627219654444e-10,-1.2422754293655512e-08,1.1541621735356886e-08,100,5.9475557865340536e-08,4.363007555241438e-08,8.112526650450036e-08,100,5.850619498204423e-08,4.3727631293677405e-08,7.059952622512355e-08,100,1.123708788414568e-08,4.421109447055869e-09,2.9744735057882887e-08,100,5.522841979532851e-09,3.048244602899615e-09,1.0407898376141516e-08,100,0.201499746293486,0.18026936629662846,0.22346678943708884,100,12.0,12.0,12.0,100,0.00010730087212741576,1.3463692866170663e-05,0.00038259707357601245,100,0.0010534904227095581,0.00027954501734995743,0.0029010754839480257,100,0.9956891702661875,0.9912664381772586,0.997957074206437,100,0.003150038438976091,0.001229219184417072,0.007868749539264624,100,0.0008493283321975683,0.0003112647332097557,0.0016960424645199687,100,0.9981784180466401,0.9335107141213886,1.0601129064763257,100,0.999998957134493,0.9999962410699647,0.99999987665792,100,0.010000000000000007,0.01,0.01,100,15.0,15.0,15.0,100
source_seed_condition,band_15_40,8128,independent_rms,standard,band_15_40,100,-7.343515412156065e-10,-1.5503645071189725e-08,1.4655440901430818e-08,100,5.859686213582904e-08,4.2821252321800785e-08,7.91350487361342e-08,100,5.819344911728308e-08,3.894758471290061e-08,7.036191362885802e-08,100,1.123708788414568e-08,4.421109447055869e-09,2.9744735057882887e-08,100,5.522841979532851e-09,3.048244602899615e-09,1.0407898376141516e-08,100,0.035488303188373115,0.02721646583319069,0.04316645313618911,100,12.0,12.0,12.0,100,0.00010432694833415292,3.365798862969099e-05,0.0002200592688021164,100,0.001031514272936929,0.0005195506617436195,0.0016265092705352413,100,0.9956005242325139,0.9936470545430784,0.9974483663320636,100,0.0032636345462147883,0.0015968032689319444,0.005235659022603322,100,0.0007026185668987134,0.00039324785541383547,0.001083329999066653,100,1.0001246674908042,0.9527057224191413,1.0384827379360777,100,0.9999989789145599,0.9999976670710282,0.9999996867416322,100,0.010000000000000007,0.01,0.01,100,15.0,15.0,15.0,100
