analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,ece,independent_rms_drop,0.002430579487819665,0.005266464360457937,3,-0.01064725261382062,0.006492672931423374,64,0,0.00382885945645498,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,ece,structure_effect,0.0011695466483555125,0.003161984250891927,3,-0.00027442286592075656,0.0075463992596063,64,0,0.003942236567566511,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,electrode_absolute,0.9354639821169511,0.006792520606005395,3,0.8991907468416213,0.9640364225580679,64,0,0.0005092924107842442,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,electrode_drop,0.004061573586554216,0.002170359650669962,3,-0.0003178608042951651,0.0076525197731044025,64,0,0.0005092924107842061,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,independent_rms_absolute,0.9364093894005033,0.007014118184664563,3,0.9011776945634414,0.9653008909994016,64,0,0.0012211190875647995,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,independent_rms_drop,0.003116166303002019,0.0019466141191189028,3,-0.00047781974840267256,0.006769687574436023,64,0,0.001221119087564774,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,-0.0009454072835521971,0.0008861745428826864,3,-0.002776905518807649,0.001797800547919596,64,0,0.0014056739501549869,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,electrode_absolute,0.7398662337391411,0.004588116715804155,3,0.6788336621779982,0.7925557259608144,64,0,0.0020474591113403386,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,electrode_drop,0.021076424839049323,0.027931492085446645,3,-0.0053572643054674495,0.03873679248992101,64,0,0.002047459111340349,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,independent_rms_absolute,0.7533457031432951,0.009268264361799533,3,0.6907002513970867,0.8061900163131132,64,0,0.004177700681736909,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,independent_rms_drop,0.007596955434895324,0.02328349532476509,3,-0.011509584317896395,0.01816010435311416,64,0,0.004177700681736892,
matrix,phase1,tcn,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,-0.013479469404154005,0.005180984942313938,3,-0.022549303705078096,-0.003890074066762075,64,0,0.004516342452578315,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,ece,electrode_absolute,0.1757615067231967,0.0015743168067172697,3,0.1738875113069622,0.21773389086201525,64,0,0.0035720809956998477,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,ece,electrode_drop,-0.09033351947334911,0.007648171568203164,3,-0.1275711461639717,-0.05299390296829108,64,0,0.0035720809956998507,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,ece,independent_rms_absolute,0.18118577197428878,0.0070035623709157,3,0.1775345814610909,0.22303179969820033,64,0,0.004539220838495168,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,ece,independent_rms_drop,-0.09575778472444113,0.005587656702955845,3,-0.13371849286919724,-0.05533019709871936,64,0,0.004539220838495167,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,ece,structure_effect,-0.005424265251092029,0.006540900748801396,3,-0.010298355986565692,0.002431660271821596,64,0,0.007634457810773931,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_auroc,electrode_absolute,0.8590522680484685,0.003196951144671776,3,0.822531693132193,0.8983540306251607,64,0,0.007438413882121192,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_auroc,electrode_drop,0.06391914681642821,0.0041671692587306585,3,0.036280788832853246,0.08502368846448764,64,0,0.007438413882121194,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_absolute,0.8616660514284517,0.009608344176281767,3,0.8229606229060368,0.9021324399972261,64,0,0.009466912614160918,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_drop,0.06130536343644511,0.005569493468960538,3,0.03467923168044367,0.08132933086768795,64,0,0.009466912614160942,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_auroc,structure_effect,-0.002613783379983106,0.006507333572783494,3,-0.010663893597864401,0.00468817767834594,64,0,0.012087522010340357,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,electrode_absolute,0.553978156604337,0.016794285781667168,3,0.4654750216239736,0.6286379008033182,64,0,0.008026007145663249,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,electrode_drop,0.18780277416438915,0.026200933243327167,3,0.12603417342258028,0.23551863176626345,64,0,0.008026007145663287,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,independent_rms_absolute,0.5542142466435737,0.021017973113855965,3,0.47852133451729195,0.6277568696882435,64,0,0.017143343409843515,
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,independent_rms_drop,0.1875666841251524,0.027702331183498043,3,0.12889699376673627,0.23617341242621545,64,0,0.01714334340984356,
