source_prediction_id,prediction_path,case_id,anomaly_code,detail
c440664ee314ec752ac7229cee85915998bc97bf2ad37a09b645bbf1ee6b7db3,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr10.npz,E__snr_10__noise_101,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
bad4ff9052b75e87e847cea908c19b7f70b2296a4a20b2611f9cb6bc77abfe03,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr10.npz,E__snr_10__noise_202,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
5756f174b7f1e4069d1610e8cfaefccbc7de565a5480cd1810ad0be34ddacbeb,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr10.npz,E__snr_10__noise_303,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
6ff063ed929aab6be0f30fc52491c232ac7dbd17744989cd5dfc63430f4ad33d,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr10.npz,E__snr_10__noise_404,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
2a88b1b8946740829575540d1c8a4cf5ac26ee9deaef86086599a4f6b49fdf72,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n505__electrode__snr10.npz,E__snr_10__noise_505,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
bafea07e2c7e79562cdebed2f34953d653853610fc40466c77390d3e26ca3b57,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__electrode__snr10.npz,E__snr_10__noise_8128,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
d7612e4d24ce1bff32d7269c0408801e1b4d2f7fc4d47840bbbd5d8a1aae5479,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__independent_rms__snr0.npz,I__snr_0__noise_101,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
8d3fcdb6b704bf7548f72c9d4ba1ed17a3d49629ce28eec8e72cc1997ba54321,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__independent_rms__snr0.npz,I__snr_0__noise_202,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
d1731968871be2af5dfe05fba52ae729172e683270c0a331a27f3c05f01a8ec8,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__independent_rms__snr0.npz,I__snr_0__noise_303,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
d054e0e0ac4cc8702c9f99e228a0b33bb00e4e5f010bde6966a4abf86c937c74,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__independent_rms__snr0.npz,I__snr_0__noise_404,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
0114255e06f86143075131ed4b605db06d4722aca6f8f14aa7a0d25a1bb563cc,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n505__independent_rms__snr0.npz,I__snr_0__noise_505,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
b1b1f5695c3ce0059445292031a5d1931956476fb5780b17d7658c1ef624d226,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__independent_rms__snr0.npz,I__snr_0__noise_8128,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
e7af1b47638d2ab3e001bc9e7e0255c3062f198835a30edecee9f586ebedc213,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__independent_rms__snr5.npz,I__snr_5__noise_101,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
dc75e2dfcd994d631a33fd117a0ea63f6247e8b202016b2fb27d1d4c9981b775,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__independent_rms__snr5.npz,I__snr_5__noise_202,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
68a51a70d74a74ad7103b1eca928a2e47fa457b7892ea84a470ec9e2419209a2,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__independent_rms__snr5.npz,I__snr_5__noise_303,PREDICTION_ALIGNMENT_FAILURE,Prediction has wrong worker owner
