model,strategy,kind,combo_set,combo_id,snr,metric,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y
tcn,electrode,bandpass,heldout,LA_V6,0,macro_auroc,-0.02650282527016512,0.010634557780287726,-0.029517836676359113,-0.023679973079788558,0.02536672285298076,0.01461768024425197,0.022736089401869643,0.028057436048112654,5,2000,0,0
tcn,electrode,bandpass,heldout,LL,20,macro_auroc,-5.1726876642121944e-05,0.00019905680397220744,-0.0002881477711141372,0.00018023380034126065,-0.0008868848326630818,0.0005855661213534118,-0.0015342135079513075,-0.00020732343893086887,5,2000,0,0
tcn,electrode,bandpass,heldout,LL,15,macro_auroc,-0.0004571233737423297,0.00025634713164672377,-0.000928752104692867,-2.735784421811225e-05,-0.0006218542460247223,0.0007506435754265874,-0.0013314625700302383,0.00010958593220540373,5,2000,0,0
tcn,electrode,bandpass,heldout,LL,10,macro_auroc,-0.002188854009428742,0.0008367032505521028,-0.003054149305119745,-0.0013895548339268075,0.0010515360095640913,0.0013186468968355036,1.6344955237540538e-05,0.0020581270784228336,5,2000,0,0
tcn,electrode,bandpass,heldout,LL,5,macro_auroc,-0.009031535096390897,0.004818279851915312,-0.01062700903412109,-0.007552457812251338,0.008423179670920256,0.00571133904728361,0.006719664067055799,0.010228485988686243,5,2000,0,0
tcn,electrode,bandpass,heldout,LL,0,macro_auroc,-0.02829260232398243,0.02001791741599805,-0.031104705497734593,-0.025643617371419288,0.028610031434690385,0.019781296031620963,0.025904099124558752,0.03146797814942533,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V1_V4,20,macro_auroc,-6.29786685765854e-05,0.0001522153121142743,-0.0002663546152909485,0.0001352298305094711,-0.0008935130084116282,0.0005644418594942377,-0.0015348673517643996,-0.00022334797775434327,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V1_V4,15,macro_auroc,-0.0003419323041686351,0.00018063103258330552,-0.000727677194738639,2.4450737947090043e-05,-0.0007420957496212744,0.0007227298739964795,-0.0014485275202652764,-3.091843782824318e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V1_V4,10,macro_auroc,-0.0015543118336869722,0.0005098638941766423,-0.0022644201245268117,-0.0008658059876028414,0.0005077066751442594,0.001047641461697828,-0.00045127219984825276,0.001429910452552322,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V1_V4,5,macro_auroc,-0.00637386949871348,0.003167319222559406,-0.007656214862987852,-0.005220598739708309,0.006259950300251571,0.004298312766022182,0.004714083922472701,0.007858860141783905,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V1_V4,0,macro_auroc,-0.021591614646097535,0.014909441919439076,-0.023941035491709863,-0.019423636512543124,0.02442203191015746,0.017373245626399077,0.021801950867049235,0.027169104264888236,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V4,20,macro_auroc,-5.228415559761501e-05,0.00017583024195956594,-0.0002642357079244512,0.00015587772656649394,-0.0008781349290351681,0.0005706943248698437,-0.001512291985004663,-0.00020759886380748607,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V4,15,macro_auroc,-0.0003610880636177205,0.00022390700250019105,-0.0007791809986687359,1.854238827681869e-05,-0.0006879140361587321,0.0007431995819520083,-0.0013941821651255078,3.155825029088504e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V4,10,macro_auroc,-0.001721036685909527,0.0006182770282639966,-0.0024821269669323227,-0.0010261020648851223,0.0006426290811566649,0.0011946645346711487,-0.00031433380714216975,0.0015786059288381798,5,2000,0,0
tcn,electrode,bandpass,heldout,LL_V4,5,macro_auroc,-0.007231087662223357,0.0037466858099566465,-0.008649082203336562,-0.005931762379653749,0.006720298998566321,0.004560267782333013,0.005162864063642116,0.008360341369838297,5,2000,0,0
