analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,ece,structure_effect,202,0.003426371954478598,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,17,-0.021391516688768597,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,29,-0.018683109595019176,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,43,-0.011946540937801564,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,101,-0.015953450331966046,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,202,-0.017951292496783955,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,17,-0.05078113292820241,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,29,-0.09251217047114413,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,43,-0.037520274637824924,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,101,-0.037812098359214286,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,202,-0.04015981697123394,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,ece,structure_effect,17,0.03295426006625787,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,ece,structure_effect,29,0.046401874819386055,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,ece,structure_effect,43,0.047942656461778074,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,ece,structure_effect,101,0.047234295286397394,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,0,ece,structure_effect,202,0.02363054758798846,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,17,0.0002603402891316886,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,29,-0.00014373598802319698,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,43,0.00019386275310184775,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,101,4.4668931992619676e-05,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,202,-0.000310368830012564,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,17,0.0022189111384443017,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,29,-0.0015015747518629663,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,43,0.0003721204086349905,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,101,0.0009312488306113531,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,202,0.0004162545027363018,5
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,20,ece,structure_effect,17,-0.0009393533915212846,5
