analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,29,-0.005238895869861353,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,43,-0.004119752174017777,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,17,0.6734147572505189,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,29,0.6875799639757553,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,43,0.6900124627771148,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,17,0.03846675533522348,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,29,0.034678191428017126,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,43,0.02905536081067996,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,17,0.688270040595656,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,29,0.706296559385247,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,43,0.7056430364559106,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,17,0.023611471990086303,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,29,0.015961596018525332,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,43,0.013424787131884145,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,17,-0.014855283345137174,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,29,-0.018716595409491794,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,43,-0.015630573678795816,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,17,0.17034104433270625,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,29,0.1385463264796484,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,43,0.16809722419697007,6,1
