analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,-0.0013695190733818974,0.002294047212736741,5,-0.0030267991779819314,0.0002280475529753217,2000,0,0.001724364567115106,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,10,ece,structure_effect,-0.0018691608349019838,0.001471640185844289,5,-0.002585330081821641,-0.00043249008265487145,2000,0,0.0007292672706676859,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,-0.002676296649439247,0.001043268059739352,5,-0.003619307578865466,-0.0017528732942081787,2000,0,0.000689035524088806,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,-0.005624124798472874,0.003813307987361117,5,-0.00786413219911899,-0.0033095067060562415,2000,0,0.0019482920432439548,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,5,ece,structure_effect,0.001261859553257199,0.0051247167313878085,5,-0.0008495388886373322,0.0031459219517644913,2000,0,0.0007137300060510417,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,-0.011416308903066885,0.003969072331622146,5,-0.013071645956020431,-0.009822661457155504,2000,0,0.0014207966494633475,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,-0.026780281637556635,0.011658427882648849,5,-0.030295277292267244,-0.023406957529795956,2000,0,0.0022330929588698944,
snr,phase2,resnet,electrode,standard,standard,legacy_0p5_40,0,ece,structure_effect,0.01996671916052346,0.013065320660267719,5,0.015908283297769815,0.021233596558574385,2000,0,0.0007709015425639464,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,-3.531887193184424e-05,0.00013186468582971196,5,-0.00024120746995461516,0.00018738473986862027,2000,0,0.00017655575682136044,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,-0.0004897065738814321,0.0008633942215650522,5,-0.0013975293293011937,0.00040527741965076764,2000,0,0.0010101117981889795,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,20,ece,structure_effect,-0.00030938648734165215,0.00045229973374472885,5,-0.0008577976045150935,0.00035106279679611506,2000,0,0.000618144632335627,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,-0.00021958350700859163,0.00020871991342825142,5,-0.0005561715774946962,0.0001428974071502636,2000,0,0.0003130455795636394,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,-0.0003174532024370791,0.0010672154839640562,5,-0.0015614619799590196,0.000979634026047561,2000,0,0.001217778054263998,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,15,ece,structure_effect,-0.0008564291508840638,0.0006252081583451971,5,-0.0014385664274906987,-4.6549726431431675e-05,2000,0,0.0003725557699689441,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,-0.0008881082478734203,0.0006706725653207839,5,-0.0014526371629980327,-0.00031643796742433235,2000,0,0.0005647052527564977,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,-0.00248659474506181,0.0017878824209794644,5,-0.00416480333654758,-0.0007783076154904477,2000,0,0.0013939157890087359,
snr,phase2,resnet,mixed,standard,standard,legacy_0p5_40,10,ece,structure_effect,-0.0014932588669707009,0.002146285994503733,5,-0.0024320689483073605,-0.0004976871423433181,2000,0,0.0005737989190401739,
