analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_drop,-0.05787130495057379,0.02735577159801458,3,-0.06442376474945669,-0.04864134296551509,2000,0,0.0011421445161830237,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,structure_effect,0.006038469955640121,0.015952310513855414,3,0.004895224141277977,0.007326415043252516,2000,0,0.001138271781061775,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_absolute,0.8415321476397607,0.01598424246142625,3,0.8318403900665685,0.8502043535513873,2000,0,0.0007383579496535779,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,electrode_drop,0.0663025812180762,0.015156350644500365,3,0.06145650283259818,0.07120230582781915,2000,0,0.0007383579496535639,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_absolute,0.8442465747403926,0.011241397778677964,3,0.8347403632774145,0.8529844738281841,2000,0,0.0010432606708400127,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,independent_rms_drop,0.0635881541174442,0.010361369474290024,3,0.05855800561148288,0.06862801806151295,2000,0,0.001043260670839961,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_auroc,structure_effect,-0.0027144271006319907,0.005291464879031042,3,-0.004169378985159391,-0.001144421234026518,2000,0,0.001063463798915803,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_absolute,0.5864005814820824,0.022427669961113124,3,0.571400312589596,0.5997572995327374,2000,0,0.002494692190615064,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,electrode_drop,0.13133524904368743,0.017645641038393903,3,0.12120253375729838,0.14123234902815174,2000,0,0.002494692190615038,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,independent_rms_absolute,0.5927637263497921,0.018797028205411827,3,0.5775370976199041,0.6066773941530947,2000,0,0.0025916739958859016,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,independent_rms_drop,0.12497210417597766,0.017308721237204824,3,0.1148593471878358,0.13464481536064074,2000,0,0.0025916739958858565,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,macro_f1,structure_effect,-0.00636314486770978,0.015494677207533048,3,-0.00977757552932227,-0.0029914992039254663,2000,0,0.003870856321862613,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,ece,electrode_absolute,0.05199377134865979,0.01713086562362974,3,0.052601243501092854,0.060057294333421794,2000,0,0.0006033905585562331,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,ece,electrode_drop,-0.005013404729348038,0.009070944917320026,3,-0.009815436282481646,-0.002064497125524569,2000,0,0.0006033905585562348,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,ece,independent_rms_absolute,0.05048360391798942,0.016742937530499893,3,0.051064887499141225,0.05867396891421178,2000,0,7.069780872978293e-05,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,ece,independent_rms_drop,-0.003503237298677657,0.008649460403973217,3,-0.008381317653668693,-0.0007628859075746255,2000,0,7.06978087297827e-05,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,ece,structure_effect,0.0015101674306703808,0.001390435855804555,3,0.0004210087763832722,0.002222537232420996,2000,0,0.0006078673304766621,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,10,macro_auroc,electrode_absolute,0.8989912289793489,0.003744818889139568,3,0.8906763387884503,0.9066923365327814,2000,0,0.0003389228155110335,
