model,strategy,kind,combo_set,combo_id,snr,metric,seed,x,y,baseline_electrode_auroc,baseline_independent_rms_auroc,strategy_electrode_auroc
resnet,electrode,bandpass,train,V2,20,macro_auroc,29,5.077880639792198e-05,0.001013683959539824,0.9072203486303853,0.9071695698239873,0.9082340325899251
resnet,electrode,bandpass,train,V2,20,macro_auroc,43,0.00029838990654951214,0.0018902650615074679,0.9078097509688942,0.9075113610623446,0.9097000160304016
resnet,electrode,bandpass,train,V2,20,macro_auroc,101,-3.501725359511543e-05,-0.00011409570802245472,0.9085030847988765,0.9085381020524717,0.9083889890908541
resnet,electrode,bandpass,train,V2,20,macro_auroc,202,-5.5040252871174644e-05,0.0052582737186931405,0.9036983990328646,0.9037534392857358,0.9089566727515578
resnet,electrode,bandpass,train,V2,15,macro_auroc,17,-0.00019119361444075444,0.005724609038518791,0.9035891226422983,0.903780316256739,0.9093137316808171
resnet,electrode,bandpass,train,V2,15,macro_auroc,29,2.4193052143184346e-05,0.0015486238886182058,0.905532220037083,0.9055080269849398,0.9070808439257012
resnet,electrode,bandpass,train,V2,15,macro_auroc,43,0.00023862772566296542,0.003169604313096319,0.9060644025336801,0.9058257748080172,0.9092340068467765
resnet,electrode,bandpass,train,V2,15,macro_auroc,101,0.0001592552344353848,-1.916210376340377e-05,0.9076147553492688,0.9074555001148334,0.9075955932455054
resnet,electrode,bandpass,train,V2,15,macro_auroc,202,5.004782995920998e-05,0.0051181723681855695,0.9030679196167462,0.9030178717867869,0.9081860919849317
resnet,electrode,bandpass,train,V2,10,macro_auroc,17,-0.00023097161637064545,0.010207496265739247,0.8972799117389236,0.8975108833552943,0.9074874080046629
resnet,electrode,bandpass,train,V2,10,macro_auroc,29,-7.59808540106155e-05,0.003440073367720009,0.900423752433802,0.9004997332878126,0.903863825801522
resnet,electrode,bandpass,train,V2,10,macro_auroc,43,7.160598773370275e-05,0.006454011749980504,0.9009461837248794,0.9008745777371457,0.90740019547486
resnet,electrode,bandpass,train,V2,10,macro_auroc,101,0.0006706808862337876,0.0016433460123297383,0.9034932961933974,0.9028226153071636,0.9051366422057271
resnet,electrode,bandpass,train,V2,10,macro_auroc,202,0.0001690570403714009,0.005851790860740946,0.900228130046537,0.9000590730061656,0.906079920907278
resnet,electrode,bandpass,train,V2,5,macro_auroc,17,-0.00018932279714967137,0.02005263944655733,0.8804342434148721,0.8806235662120218,0.9004868828614294
resnet,electrode,bandpass,train,V2,5,macro_auroc,29,-0.00046387210294673853,0.010027943098901426,0.8851240481625323,0.8855879202654791,0.8951519912614337
resnet,electrode,bandpass,train,V2,5,macro_auroc,43,-0.0003232969922494222,0.013968329826945847,0.8866416902288787,0.8869649872211282,0.9006100200558246
resnet,electrode,bandpass,train,V2,5,macro_auroc,101,0.0005969958968243816,0.009864105142501245,0.8869408952959024,0.886343899399078,0.8968050004384036
resnet,electrode,bandpass,train,V2,5,macro_auroc,202,-0.0006599796590752716,0.0105645292090083,0.8884721630581257,0.889132142717201,0.899036692267134
resnet,electrode,bandpass,train,V2,0,macro_auroc,17,-0.001958178083167783,0.04419763724047532,0.8297008282680192,0.831659006351187,0.8738984655084945
resnet,electrode,bandpass,train,V2,0,macro_auroc,29,0.0008538932765821405,0.03430035599216774,0.8330460270592848,0.8321921337827026,0.8673463830514525
resnet,electrode,bandpass,train,V2,0,macro_auroc,43,-0.000834723660660619,0.03372375683966822,0.8451719939129646,0.8460067175736252,0.8788957507526328
resnet,electrode,bandpass,train,V2,0,macro_auroc,101,-0.0007417672962454214,0.0329921373972798,0.8334830858199819,0.8342248531162273,0.8664752232172617
resnet,electrode,bandpass,train,V2,0,macro_auroc,202,-0.000718098978663817,0.03468778881840706,0.8375372267555969,0.8382553257342608,0.872225015574004
resnet,electrode,bandpass,train,V3,20,macro_auroc,17,-0.00015893550619061614,0.004031829248672181,0.905523998201622,0.9056829337078126,0.9095558274502942
resnet,electrode,bandpass,train,V3,20,macro_auroc,29,4.737319980396837e-05,0.0011357601435897369,0.9072382058947003,0.9071908326948963,0.90837396603829
resnet,electrode,bandpass,train,V3,20,macro_auroc,43,3.5162873703864506e-05,0.0021832218152649796,0.9079076028513471,0.9078724399776432,0.9100908246666121
resnet,electrode,bandpass,train,V3,20,macro_auroc,101,0.0002158804821119631,-3.483980767482464e-05,0.9085578123148184,0.9083419318327064,0.9085229725071435
resnet,electrode,bandpass,train,V3,20,macro_auroc,202,-8.064337673152622e-05,0.005464128623839493,0.9037273688078054,0.9038080121845369,0.9091914974316448
resnet,electrode,bandpass,train,V3,15,macro_auroc,17,-0.00025619886109429224,0.006016991424378393,0.9028624001444452,0.9031185990055395,0.9088793915688236
resnet,electrode,bandpass,train,V3,15,macro_auroc,29,4.376520636173442e-05,0.001699809768998528,0.9059362247426712,0.9058924595363095,0.9076360345116697
resnet,electrode,bandpass,train,V3,15,macro_auroc,43,0.0002872359153903714,0.0033347335482841745,0.906581285535687,0.9062940496202966,0.9099160190839711
resnet,electrode,bandpass,train,V3,15,macro_auroc,101,0.000324126159998106,-0.00010250261174116204,0.9081809408621015,0.9078568147021034,0.9080784382503604
resnet,electrode,bandpass,train,V3,15,macro_auroc,202,-0.00015232396188902264,0.005815019363196838,0.902953700479346,0.903106024441235,0.9087687198425428
resnet,electrode,bandpass,train,V3,10,macro_auroc,17,-0.000743355922642297,0.010808380823390529,0.8955511411428121,0.8962944970654544,0.9063595219662026
resnet,electrode,bandpass,train,V3,10,macro_auroc,29,-7.359617930569051e-05,0.002927917515421541,0.902556747198332,0.9026303433776377,0.9054846647137536
resnet,electrode,bandpass,train,V3,10,macro_auroc,43,0.0007172073510444132,0.005909760718434742,0.9027558482178992,0.9020386408668548,0.908665608936334
resnet,electrode,bandpass,train,V3,10,macro_auroc,101,0.00023573171453794561,0.001551042665455471,0.9052658916428488,0.9050301599283108,0.9068169343083042
resnet,electrode,bandpass,train,V3,10,macro_auroc,202,-0.00010909798306846241,0.006963813308741518,0.9004014016153656,0.9005104995984341,0.9073652149241072
resnet,electrode,bandpass,train,V3,5,macro_auroc,17,-0.0008077558069981006,0.02066277486267687,0.8775299674555497,0.8783377232625478,0.8981927423182265
resnet,electrode,bandpass,train,V3,5,macro_auroc,29,-7.1098320076457e-05,0.005414571830382298,0.8945276483960429,0.8945987467161194,0.8999422202264252
resnet,electrode,bandpass,train,V3,5,macro_auroc,43,0.001190208853060093,0.011852399173587824,0.8922569398922493,0.8910667310391892,0.9041093390658371
resnet,electrode,bandpass,train,V3,5,macro_auroc,101,0.0007653033544040566,0.0075413923328704335,0.8946489814030907,0.8938836780486866,0.9021903737359611
resnet,electrode,bandpass,train,V3,5,macro_auroc,202,-0.00025497698744259,0.010991038236756845,0.8917167671701483,0.8919717441575908,0.9027078054069051
resnet,electrode,bandpass,train,V3,0,macro_auroc,17,-0.0010008103178923422,0.04312153431769128,0.8257696224087528,0.8267704327266452,0.8688911567264441
resnet,electrode,bandpass,train,V3,0,macro_auroc,29,-0.0008836610138441836,0.01254730635902046,0.8703756062664102,0.8712592672802544,0.8829229126254307
resnet,electrode,bandpass,train,V3,0,macro_auroc,43,0.0024013443682294744,0.025939059280655208,0.8621121637557083,0.8597108193874788,0.8880512230363635
resnet,electrode,bandpass,train,V3,0,macro_auroc,101,0.0011998671525114135,0.02529779714973157,0.8591324204152698,0.8579325532627584,0.8844302175650014
resnet,electrode,bandpass,train,V3,0,macro_auroc,202,-0.00017205132440434312,0.028405492405627397,0.8568179192111272,0.8569899705355315,0.8852234116167546
resnet,electrode,bandpass,train,V4,20,macro_auroc,17,0.00015981766828310207,0.003467131962642256,0.9060879653072798,0.9059281476389967,0.909555097269922
resnet,electrode,bandpass,train,V4,20,macro_auroc,29,3.2336225065043855e-05,0.0010657071151731756,0.9073348150683775,0.9073024788433125,0.9084005221835507
resnet,electrode,bandpass,train,V4,20,macro_auroc,43,9.193276743202361e-07,0.0020495440843686374,0.9079208030386117,0.9079198837109373,0.9099703471229803
resnet,electrode,bandpass,train,V4,20,macro_auroc,101,-0.00011053427048812736,0.00013537576554256692,0.9085159510275986,0.9086264852980868,0.9086513267931412
resnet,electrode,bandpass,train,V4,20,macro_auroc,202,-0.00010095255325270891,0.005230261122655455,0.903661196023776,0.9037621485770287,0.9088914571464315
resnet,electrode,bandpass,train,V4,15,macro_auroc,17,0.0001285688843125632,0.004721875898865968,0.904436571176789,0.9043080022924764,0.909158447075655
resnet,electrode,bandpass,train,V4,15,macro_auroc,29,-2.063910313931938e-05,0.0015129880733006917,0.9059678888384572,0.9059885279415966,0.9074808769117579
resnet,electrode,bandpass,train,V4,15,macro_auroc,43,-2.2259031354110448e-05,0.0031118487406155415,0.9064903173132194,0.9065125763445735,0.9096021660538349
resnet,electrode,bandpass,train,V4,15,macro_auroc,101,-0.00011944121902363047,3.9882151299242e-05,0.9083528028504257,0.9084722440694494,0.908392685001725
