model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
tcn,17,standard__n404__electrode__snr20,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__electrode__snr20.npz,3c09fa8a1b1d2a0d5b73bc4f22ce2118f32225f7bc9b40bc8666f61062aac444,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,67d05ff3287d71f832fc1f0a8bdb92808a2dec0e7ef648ed6127f34bc0b51ca2,0.9167749874663076,0.8061065514238409,0.7340461287474431,0.9294245570704996,0.8462317540179668,0.7657103825136612,0.088072620332241,0.0363789274595484,0.2932330762141945,0.9055900573730468,0.2330237011644562,0.9924003707136236,0.0069233709946274,0.9422394278688024,0.9209689791009004,0.8575609756097561,0.9078052917232022,0.7894026808649809,0.7117750439367311,0.9340807642837126,0.8260657853959487,0.7784986098239111,0.9090716101859402,0.8299621654136821,0.7382690302398331,0.8906778432698812,0.6641331463436927,0.5841269841269842
tcn,17,standard__n404__electrode__snr5,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__electrode__snr5.npz,c16419a574adeb1165700c10c0ad0eb0e720607895e086f34215133ed8eb38ad,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,b87c690599f9e43fd18ff01ff673d41836632423c4e2b1a4f7594389236e9e02,0.9067735981148098,0.7908699952503848,0.6872884703692682,0.9107302792746896,0.8120542626124619,0.7064840785348953,0.0996103584766388,0.056765352093215,0.3198501962637834,0.8568804860115051,0.3292985878668115,0.909082483781279,0.0834736749529838,0.9293690828434504,0.9041455525811128,0.7853881278538812,0.8921947082767978,0.7687778932422388,0.6858552631578947,0.9224753393513954,0.8045445155530542,0.7204563977180114,0.900161581460347,0.8116361039214519,0.6840731070496083,0.8896672786420587,0.6652459109540665,0.5606694560669456
tcn,17,standard__n404__independent_rms__snr0,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr0.npz,77bf05180dc5c247c18c2b35bc7f61b595c1f30bd5f4667faf0c27d88e0675b7,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,b9685535e0d715ed9954ee60e7ab5fe88109a982718286ff18519e20e4dca459,0.8923056573043773,0.7651634544212016,0.6150145600256387,0.8584715797502384,0.7245562513373438,0.6186641402179062,0.1258715987205505,0.1161312296145886,0.3926331270456004,0.8086169362068176,0.4129247954160955,0.8189990732159407,0.1591673195362091,0.9140916852409444,0.8832277121476539,0.6231983527796843,0.872449118046133,0.7342766179260591,0.6426426426426426,0.9049476067475148,0.7733006846990713,0.6423562412342216,0.8836176778851752,0.7901782732821775,0.5862304021813224,0.8864221986021192,0.6448339840510467,0.5806451612903226
tcn,17,standard__n404__independent_rms__snr10,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr10.npz,a28d963d00365e431171fcdb192ad102643b799751b65ab1635a96f95cac6f0b,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,dc05ef41e573ddcb91f35d3658be71e2bf841c76403c1d5b67bfc07df3cf6cf9,0.9138035513173204,0.8022011138352036,0.7300747238305798,0.92569918984044,0.8395808138273231,0.7589726143902024,0.0905384942889213,0.0390891428369652,0.2970664036574341,0.8944706320762634,0.2564451042715054,0.9713623725671918,0.0283611677587032,0.9370438439847582,0.9148090597210364,0.8506787330316742,0.9015038444142922,0.7800100516413967,0.704,0.9314227022184912,0.8207855784281556,0.7594713656387665,0.9083413396219092,0.8285415652988808,0.7422266800401204,0.8907060263471511,0.6668593140865495,0.593996840442338
tcn,17,standard__n404__independent_rms__snr15,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr15.npz,aeb70b13d947cc23c64d2c487e938f2f5320e8bc587412097dcac589d4c3de4d,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,76badc3a210c398e91f8647972913e7d141d9b7a6a1a496b0e3abd922d08cc0f,0.9159003664570288,0.8050678753818585,0.7324137364706956,0.9284443245481856,0.8445383186433895,0.7638652602926166,0.0889091193675994,0.0364477359982374,0.2945211289916255,0.903411626815796,0.2379193530997412,0.986654309545876,0.0124240117147564,0.940735237251094,0.91912464947288,0.8581246931762395,0.9055924920850296,0.7854637235319446,0.7091069849690539,0.933487478264744,0.8249858929918259,0.7704918032786885,0.9088799444897326,0.8301351317573434,0.7412731006160165,0.8908066801945437,0.6656299791552989,0.5830721003134797
tcn,17,standard__n404__independent_rms__snr20,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr20.npz,06d70723640901a1532238b2d821aa7c596822c950069fab15b0cf12e07c0e11,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,19befdd9254c2a6c586332466fc8e67ebed1709a22c3e494c347a75ad2502bf8,0.9166500132792348,0.8060423553424029,0.7310572841537261,0.9292406151322932,0.8459773329544718,0.7634684453565931,0.0883742347359657,0.0375887898192244,0.2940354493604378,0.9063238501548768,0.2316075592680069,0.9941612604263208,0.0056849149987101,0.9422915661917736,0.921023065243754,0.8583941605839416,0.907225237449118,0.7877875644078951,0.7102473498233216,0.9342191195213378,0.8263525064605975,0.772093023255814,0.9088423391949072,0.8302631424081319,0.7331932773109243,0.8906718040390375,0.6647854981916357,0.5813586097946287
tcn,17,standard__n404__independent_rms__snr5,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr5.npz,f0f89c4e72eca623f33d7fa086ab17059f02c454fcf9a19cc5ef80952134e57b,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,39d832fbf0ea92025813b71fe99c3a23638662e68df3c98584f1e9933048a487,0.9081062835749766,0.7930424838128725,0.7049646252829145,0.9155973180257816,0.8214142041666519,0.7269670477471419,0.0967458263039588,0.0489111117355739,0.311628508573452,0.8693429827690125,0.3058623316669678,0.9323447636700648,0.0662373006343841,0.9295654705266404,0.905022953734092,0.8075880758807588,0.8924400723654454,0.7671088898870466,0.6879310344827586,0.924747648254086,0.8086011366706543,0.7229894394800975,0.903831130390901,0.8204862258537156,0.7154772937905468,0.8899470963378103,0.6639932129188536,0.5908372827804107
tcn,17,standard__n505__electrode__snr0,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n505__electrode__snr0.npz,8e5e9f8c2c050e6ad1201901809d9227f52d896ab25939d5bac40fef524bb693,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,42b6424cc834cef160a7cb3f74c5dfcc17f21eeab757205a60a26c8986fbff79,0.8825692919655413,0.747991222804629,0.5409483359289743,0.8103112364767411,0.6480573371260352,0.5497093456550902,0.1460342109203338,0.1543817072015763,0.4492982185122778,0.7882950305938721,0.4447646894596339,0.7541241890639481,0.2000755965709686,0.9069765420995234,0.8759005386713721,0.4342948717948718,0.8637121212121213,0.7092059957734439,0.6301369863013698,0.8976159516553969,0.764016865416045,0.6385625431928127,0.8649339117270293,0.7576155051763902,0.5303668069753458,0.879607933133636,0.6332172089858937,0.4713804713804714
tcn,17,standard__n505__electrode__snr10,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n505__electrode__snr10.npz,f8c94afd28f131b7966e31ffecc4c2b22b3de7c5913e9e38bde7e874b65aaba2,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,c22add93be122130704cd51011c6203d71a117fed08f0ca09cfe5b2231db026f,0.9141116373826648,0.8017874822963413,0.723998541738447,0.9256050581413262,0.8395005249136793,0.7517778530308161,0.0903534442186355,0.0370123259924296,0.2956944812663069,0.888805627822876,0.2672785865987395,0.9607043558850789,0.0349839553236961,0.9377937668634888,0.9163281051627544,0.8446502057613169,0.902244459520579,0.7809654471905758,0.7007805724197745,0.9313089695231552,0.8200673771295608,0.7594713656387665,0.9068844377159272,0.8237759071058709,0.7359050445103857,0.892326553290173,0.667800574892945,0.579185520361991
tcn,17,standard__n505__electrode__snr15,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n505__electrode__snr15.npz,faba0005061745cd81db6c06852217593a5cf8992ccc6271c5ea4c5e36ef391c,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,57a3039b4529b7f83ffc0ce752a2924aaa262525812c41650fdaae0e33f00758,0.9161997417155064,0.8054072247894679,0.7326634480709597,0.9286109582553232,0.8449996383908519,0.7627494456762749,0.0885488465428352,0.0350942463944627,0.2931121870773903,0.9010299444198608,0.2422542883782058,0.9822984244670993,0.0151061993092298,0.9409915840057006,0.9201341192605648,0.8553022794846382,0.9062121212121212,0.787208796714994,0.7055702917771883,0.9335941759479972,0.8246059772814178,0.7706255666364461,0.9087076879779512,0.8283301967952066,0.7430340557275542,0.8914931394337618,0.6667570338951564,0.5887850467289719
