matrix_id,electrode,other_electrode,gram,cosine
random_04,LL,V2,0.3333333333333333,0.16329931618554522
random_04,LL,V3,-0.3333333333333333,-0.16329931618554522
random_04,LL,V4,-0.3333333333333333,-0.16329931618554522
random_04,LL,V5,-0.3333333333333333,-0.16329931618554522
random_04,LL,V6,-0.3333333333333333,-0.16329931618554522
random_04,V1,RA,0.3333333333333333,0.16329931618554522
random_04,V1,LA,-0.3333333333333333,-0.16329931618554522
random_04,V1,LL,-0.3333333333333333,-0.16329931618554522
random_04,V1,V1,1.0,1.0
random_04,V1,V2,0.0,0.0
random_04,V1,V3,0.0,0.0
random_04,V1,V4,0.0,0.0
random_04,V1,V5,0.0,0.0
random_04,V1,V6,0.0,0.0
random_04,V2,RA,-0.3333333333333333,-0.16329931618554522
random_04,V2,LA,-0.3333333333333333,-0.16329931618554522
random_04,V2,LL,0.3333333333333333,0.16329931618554522
random_04,V2,V1,0.0,0.0
random_04,V2,V2,1.0,1.0
random_04,V2,V3,0.0,0.0
random_04,V2,V4,0.0,0.0
random_04,V2,V5,0.0,0.0
random_04,V2,V6,0.0,0.0
random_04,V3,RA,-0.3333333333333333,-0.16329931618554522
random_04,V3,LA,0.3333333333333333,0.16329931618554522
random_04,V3,LL,-0.3333333333333333,-0.16329931618554522
random_04,V3,V1,0.0,0.0
random_04,V3,V2,0.0,0.0
random_04,V3,V3,1.0,1.0
random_04,V3,V4,0.0,0.0
random_04,V3,V5,0.0,0.0
random_04,V3,V6,0.0,0.0
random_04,V4,RA,-0.3333333333333333,-0.16329931618554522
