model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,43,0.7620906849898176,0.7675862619380939,-0.005495576948276293,3,-0.008091668798254107,0.006546182579113186,-0.02435328781083069,0.008169950214322477
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,17,0.5004471767556802,0.518357785199121,-0.017910608443440834,3,-0.01317840116774797,0.005853302067183786,-0.027718809570925186,0.0013620072354292474
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,29,0.5901160469240573,0.5967491333065522,-0.006633086382494935,3,-0.01317840116774797,0.005853302067183786,-0.027718809570925186,0.0013620072354292474
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,43,0.5427901449408165,0.5577816536181246,-0.01499150867730814,3,-0.01317840116774797,0.005853302067183786,-0.027718809570925186,0.0013620072354292474
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,17,0.4454446970339149,0.4650547787611338,-0.019610081727218898,3,-0.013473898477141902,0.01736826997847832,-0.05661907291800632,0.029671275963722522
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,29,0.4134217118092668,0.4403628518417575,-0.026941140032490707,3,-0.013473898477141902,0.01736826997847832,-0.05661907291800632,0.029671275963722522
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,43,0.4074528165796048,0.4013232902513209,0.006129526328283896,3,-0.013473898477141902,0.01736826997847832,-0.05661907291800632,0.029671275963722522
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,17,0.7410293073008161,0.736449903234921,0.004579404065895076,3,0.0013056149866015332,0.0028394434323807546,-0.0057479535240698865,0.008359183497272953
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,29,0.7959581305210663,0.7964448700493912,-0.00048673952832489764,3,0.0013056149866015332,0.0028394434323807546,-0.0057479535240698865,0.008359183497272953
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,43,0.761914865412052,0.7620906849898176,-0.0001758195777655791,3,0.0013056149866015332,0.0028394434323807546,-0.0057479535240698865,0.008359183497272953
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,17,0.50860947578922,0.5004471767556802,0.008162299033539822,3,0.0076402518187083475,0.006600154192276647,-0.008755440113489929,0.024035943750906626
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,29,0.5909106236342496,0.5901160469240573,0.0007945767101923407,3,0.0076402518187083475,0.006600154192276647,-0.008755440113489929,0.024035943750906626
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,43,0.5567540246532093,0.5427901449408165,0.01396387971239288,3,0.0076402518187083475,0.006600154192276647,-0.008755440113489929,0.024035943750906626
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_f1,17,0.4519184250425463,0.4454446970339149,0.006473728008631385,3,-0.0014007617360861462,0.008123842401969492,-0.02158150501088486,0.018779981538712565
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_f1,29,0.412498580489807,0.4134217118092668,-0.0009231313194598134,3,-0.0014007617360861462,0.008123842401969492,-0.02158150501088486,0.018779981538712565
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_f1,43,0.3976999346821748,0.4074528165796048,-0.00975288189743001,3,-0.0014007617360861462,0.008123842401969492,-0.02158150501088486,0.018779981538712565
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,17,0.7410293073008161,0.86728516533319,-0.12625585803237394,3,-0.10632187318611104,0.0229954108945723,-0.16344564058580457,-0.04919810578641749
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,29,0.7959581305210663,0.8771220235504608,-0.08116389302939442,3,-0.10632187318611104,0.0229954108945723,-0.16344564058580457,-0.04919810578641749
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,43,0.761914865412052,0.8734607339086168,-0.11154586849656478,3,-0.10632187318611104,0.0229954108945723,-0.16344564058580457,-0.04919810578641749
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,17,0.50860947578922,0.6994987306907255,-0.19088925490150555,3,-0.16438819181247044,0.025144107491808895,-0.22684961746040289,-0.10192676616453801
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,29,0.5909106236342496,0.7317771406881841,-0.1408665170539345,3,-0.16438819181247044,0.025144107491808895,-0.22684961746040289,-0.10192676616453801
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,43,0.5567540246532093,0.7181628281351806,-0.16140880348197129,3,-0.16438819181247044,0.025144107491808895,-0.22684961746040289,-0.10192676616453801
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,17,0.4519184250425463,0.6439755981335089,-0.1920571730909626,3,-0.23804400709516801,0.03983184155986317,-0.336991786841262,-0.139096227349074
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,29,0.412498580489807,0.6728403568656813,-0.26034177637587436,3,-0.23804400709516801,0.03983184155986317,-0.336991786841262,-0.139096227349074
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,43,0.3976999346821748,0.6594330065008419,-0.2617330718186671,3,-0.23804400709516801,0.03983184155986317,-0.336991786841262,-0.139096227349074
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,17,0.736449903234921,0.86728516533319,-0.130835262098269,3,-0.10762748817271257,0.025287626128518384,-0.17044543387842964,-0.04480954246699552
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,29,0.7964448700493912,0.8771220235504608,-0.08067715350106952,3,-0.10762748817271257,0.025287626128518384,-0.17044543387842964,-0.04480954246699552
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,43,0.7620906849898176,0.8734607339086168,-0.1113700489187992,3,-0.10762748817271257,0.025287626128518384,-0.17044543387842964,-0.04480954246699552
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,17,0.5004471767556802,0.6994987306907255,-0.19905155393504537,3,-0.17202844363117878,0.02884101564351414,-0.24367349823552562,-0.10038338902683194
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,29,0.5901160469240573,0.7317771406881841,-0.14166109376412683,3,-0.17202844363117878,0.02884101564351414,-0.24367349823552562,-0.10038338902683194
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,43,0.5427901449408165,0.7181628281351806,-0.17537268319436417,3,-0.17202844363117878,0.02884101564351414,-0.24367349823552562,-0.10038338902683194
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,17,0.4454446970339149,0.6439755981335089,-0.19853090109959398,3,-0.23664324535908188,0.033215143269520936,-0.3191542353550665,-0.15413225536309727
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,29,0.4134217118092668,0.6728403568656813,-0.25941864505641454,3,-0.23664324535908188,0.033215143269520936,-0.3191542353550665,-0.15413225536309727
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,43,0.4074528165796048,0.6594330065008419,-0.2519801899212371,3,-0.23664324535908188,0.033215143269520936,-0.3191542353550665,-0.15413225536309727
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,17,0.751987604351199,0.86728516533319,-0.11529756098199095,3,-0.09953581937445848,0.019710890887915184,-0.14850038676071775,-0.0505712519881992
