model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,independent,all,auroc_STTC,3,0.7621324486078583,0.041648743024765573,0.6586712354143218,0.8655936618013949
resnet,bandpass,0,independent,all,auroc_CD,3,0.7911642890013807,0.03084999013979148,0.7145286650889485,0.8677999129138129
resnet,bandpass,0,independent,all,auroc_HYP,3,0.8171977124183006,0.020868945195788753,0.7653563786536334,0.8690390461829679
resnet,bandpass,0,independent,all,ap_NORM,3,0.7369306328472841,0.025658703821544816,0.6731908790503423,0.800670386644226
resnet,bandpass,0,independent,all,ap_MI,3,0.44006770622763386,0.029685995869710404,0.3663236043777356,0.5138118080775321
resnet,bandpass,0,independent,all,ap_STTC,3,0.5102839284560133,0.06021324501934841,0.36070593575844084,0.6598619211535859
resnet,bandpass,0,independent,all,ap_CD,3,0.5773572964001251,0.0640466768865649,0.41825653103589266,0.7364580617643576
resnet,bandpass,0,independent,all,ap_HYP,3,0.5235080562752734,0.03981014240567532,0.42461418021640984,0.622401932334137
resnet,bandpass,0,independent,all,f1_NORM,3,0.2646728315051356,0.1663433251260965,-0.1485468955334262,0.6778925585436975
resnet,bandpass,0,independent,all,f1_MI,3,0.42623716425429814,0.026059898762391266,0.3615007869750485,0.4909735415335478
resnet,bandpass,0,independent,all,f1_STTC,3,0.5249401547876797,0.03588187465750598,0.4358046367837753,0.6140756727915843
resnet,bandpass,0,independent,all,f1_CD,3,0.4749543868389369,0.04833049820122687,0.3548947736310756,0.5950140000467983
resnet,bandpass,0,independent,all,f1_HYP,3,0.48709699737097,0.02664886874463038,0.4208975375477694,0.5532964571941706
resnet,bandpass,0,independent_rms,all,macro_auroc,3,0.7729548584472755,0.02427445690569289,0.7126537646163329,0.8332559522782181
resnet,bandpass,0,independent_rms,all,macro_ap,3,0.5589286748867283,0.03822749039743698,0.4639663243660582,0.6538910254073983
resnet,bandpass,0,independent_rms,all,macro_f1,3,0.4373276988770883,0.0341721092245345,0.35243947366342276,0.5222159240907538
resnet,bandpass,0,independent_rms,all,micro_auroc,3,0.5998009328914513,0.05347007203562026,0.46697391049940634,0.7326279552834962
resnet,bandpass,0,independent_rms,all,micro_ap,3,0.40178835363628695,0.05931245668245319,0.254448043216673,0.5491286640559009
resnet,bandpass,0,independent_rms,all,micro_f1,3,0.43712195852889185,0.033636652608593436,0.35356388128787525,0.5206800357699084
resnet,bandpass,0,independent_rms,all,brier,3,0.22404840091864267,0.031166384043972848,0.14662681097707542,0.3014699908602099
resnet,bandpass,0,independent_rms,all,ece,3,0.217851786018908,0.0295128484024652,0.14453780632208224,0.29116576571573377
resnet,bandpass,0,independent_rms,all,mean_loss,3,0.7015805514116421,0.08029311835142498,0.5021213881233066,0.9010397146999776
resnet,bandpass,0,independent_rms,all,mean_confidence,3,0.7997691829999288,0.03337601938632295,0.7168585545752814,0.8826798114245763
resnet,bandpass,0,independent_rms,all,mean_entropy,3,0.4263007114594514,0.0473512757997175,0.30867362154734007,0.5439278013715627
resnet,bandpass,0,independent_rms,all,clean_agreement,3,0.6805333333333334,0.03892368601935503,0.5838415370135228,0.777225129653144
resnet,bandpass,0,independent_rms,all,probability_shift,3,0.24388588468233738,0.020816815601976037,0.19217404800755689,0.29559772135711787
resnet,bandpass,0,independent_rms,all,auroc_NORM,3,0.7958117774861299,0.025342451323145478,0.7328576384468872,0.8587659165253725
