model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,mean_probability,0.04672497425516784,0.0435350344251159,0.04979329791958323,9.999000099990002e-05,,0.958776131258797,896,1000,3,patient,6387096890430611538,2000,12182297517219199280,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.044090839506437385,0.875,0.04509321862852208,0.04101950587787135
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,probability_shift,0.24512826435154725,0.23884551637690832,0.25150133000100305,9.999000099990002e-05,,2.5939831673559377,896,1000,3,patient,1396089270838451533,2000,3625271638768100154,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.2410797373081247,1.0,0.24312649253484908,0.23612664970855085
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,-0.09966778248348034,-0.14841757400044422,-0.050917990966516447,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,-0.15755089161796854,-0.21265390527925923,-0.10244787795667784,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,-0.2214219549562558,-0.3301594892763492,-0.11268442063616241,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,loss,0.0055298815236172905,-7.014034108683452e-05,0.011435231644735096,0.061493850614938506,0.43045695430456954,0.062252138127959315,896,1000,3,patient,6184024815406251430,2000,11001987512580748348,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.004288960280488955,0.5379464285714286,0.004710470778367012,0.005000716283020062
resnet,bandpass,10,all,electrode_minus_independent_rms,all,mean_probability,0.00039974472955582916,-0.0005674143402554291,0.0013359324140243159,0.41925807419258077,,0.026950852553388138,896,1000,3,patient,12218128334239192142,2000,2840418360249749917,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,6.0758010173837365e-06,0.5022321428571429,0.0004593241377543316,0.00031427753639933496
resnet,bandpass,10,all,electrode_minus_independent_rms,all,probability_shift,0.004403546178837626,0.0026832152176797025,0.006126772812641267,9.999000099990002e-05,,0.17164821416441364,896,1000,3,patient,2760156794634366593,2000,16591016016066044674,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0032862496891236026,0.5736607142857143,0.004138732879557501,0.0034654510499283805
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_auroc,-0.0034113628632434687,-0.013549104767346946,0.006726379040860007,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_ap,-0.0015349365970640516,-0.011461122049226936,0.008391248855098832,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
