model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,10,independent_rms,all,auroc_MI,0.8235754933943629,0.8088366133030422,0.014738880091320627,0.982103789864416
resnet,17,bandpass,10,independent_rms,all,auroc_STTC,0.9093264810477926,0.9027073033220576,0.006619177725734948,0.9927207907559223
resnet,17,bandpass,10,independent_rms,all,auroc_CD,0.8635741678171499,0.8645436416628318,-0.0009694738456819119,1.0011226295097864
resnet,17,bandpass,10,independent_rms,all,auroc_HYP,0.8456733387799564,0.8564814814814816,-0.010808142701525192,1.0127805172575326
resnet,17,bandpass,10,independent_rms,all,ap_NORM,0.8523628189114492,0.8502220482563826,0.0021407706550665706,0.9974884279222808
resnet,17,bandpass,10,independent_rms,all,ap_MI,0.6026323895714301,0.5768868232881431,0.025745566283286947,0.9572781570825399
resnet,17,bandpass,10,independent_rms,all,ap_STTC,0.760235683067164,0.7337475219658541,0.026488161101309915,0.9651579612845732
resnet,17,bandpass,10,independent_rms,all,ap_CD,0.7146642813118566,0.6954882232598902,0.019176058051966316,0.9731677396584878
resnet,17,bandpass,10,independent_rms,all,ap_HYP,0.5675984805917279,0.5794821682197296,-0.011883687628001738,1.020936785480102
resnet,17,bandpass,10,independent_rms,all,f1_NORM,0.8247011952191236,0.8080168776371308,0.016684317581992736,0.9797692574235455
resnet,17,bandpass,10,independent_rms,all,f1_MI,0.5760649087221096,0.555956678700361,0.020108230021748552,0.9650938119676133
resnet,17,bandpass,10,independent_rms,all,f1_STTC,0.7223300970873786,0.6897746967071057,0.032555400380272936,0.9549300236657733
resnet,17,bandpass,10,independent_rms,all,f1_CD,0.6275510204081632,0.6149870801033591,0.012563940304804122,0.9799794121956611
resnet,17,bandpass,10,independent_rms,all,f1_HYP,0.4692307692307692,0.5319148936170213,-0.0626841243862521,1.1335891175420558
resnet,17,bandpass,20,covariance,all,macro_auroc,0.86728516533319,0.8675395936696312,-0.00025442833644118146,1.000293361797954
resnet,17,bandpass,20,covariance,all,macro_ap,0.6994987306907255,0.6997273864371802,-0.00022865574645469788,1.0003268851470661
resnet,17,bandpass,20,covariance,all,macro_f1,0.6439755981335089,0.6382791733204642,0.005696424813044665,0.9911542846801241
resnet,17,bandpass,20,covariance,all,auroc_NORM,0.8942763456266882,0.8958937866984537,-0.0016174410717654242,1.0018086591227349
resnet,17,bandpass,20,covariance,all,auroc_MI,0.8235754933943629,0.8220646742506057,0.0015108191437571694,0.9981655365453767
resnet,17,bandpass,20,covariance,all,auroc_STTC,0.9093264810477926,0.909554167750889,-0.00022768670309647465,1.0002503904888307
resnet,17,bandpass,20,covariance,all,auroc_CD,0.8635741678171499,0.8603589507593189,0.00321521705783101,0.9962768489625455
resnet,17,bandpass,20,covariance,all,auroc_HYP,0.8456733387799564,0.8498263888888888,-0.00415305010893241,1.0049109389139772
resnet,17,bandpass,20,covariance,all,ap_NORM,0.8523628189114492,0.8542258440134632,-0.001863025102014082,1.0021857184049758
resnet,17,bandpass,20,covariance,all,ap_MI,0.6026323895714301,0.5931076084125214,0.009524781158908646,0.9841947075452309
resnet,17,bandpass,20,covariance,all,ap_STTC,0.760235683067164,0.7654250637952894,-0.005189380728125359,1.0068260157247317
resnet,17,bandpass,20,covariance,all,ap_CD,0.7146642813118566,0.7088643005653629,0.0057999807464936826,0.9918843282095491
resnet,17,bandpass,20,covariance,all,ap_HYP,0.5675984805917279,0.5770141153992638,-0.009415634807535933,1.0165885482933348
resnet,17,bandpass,20,covariance,all,f1_NORM,0.8247011952191236,0.8228228228228228,0.0018783723963007315,0.9977223600399908
resnet,17,bandpass,20,covariance,all,f1_MI,0.5760649087221096,0.5604838709677419,0.0155810377543677,0.9729526351641447
resnet,17,bandpass,20,covariance,all,f1_STTC,0.7223300970873786,0.7065420560747664,0.01578804101261222,0.9781429002096801
resnet,17,bandpass,20,covariance,all,f1_CD,0.6275510204081632,0.6126582278481013,0.01489279256006193,0.9762683955937929
resnet,17,bandpass,20,covariance,all,f1_HYP,0.4692307692307692,0.4888888888888889,-0.0196581196581197,1.0418943533675429
resnet,17,bandpass,20,electrode,all,macro_auroc,0.86728516533319,0.8664674867282184,0.0008176786049716167,0.9990571975185849
resnet,17,bandpass,20,electrode,all,macro_ap,0.6994987306907255,0.6991220556903215,0.00037667500040405866,0.9994615072410045
