kind,condition,frequency,power
bandpass,independent_rms,6.640625,0.00013295734172307985
bandpass,independent_rms,7.03125,0.00013338781299381436
bandpass,independent_rms,7.421875,0.00013427686024859863
bandpass,independent_rms,7.8125,0.00013587818981698996
bandpass,independent_rms,8.203125,0.00013419756856629823
bandpass,independent_rms,8.59375,0.00013457944716315165
bandpass,independent_rms,8.984375,0.00013447326805466364
bandpass,independent_rms,9.375,0.00013148035268701174
bandpass,independent_rms,9.765625,0.00013423306387913285
bandpass,independent_rms,10.15625,0.000134665178165459
bandpass,independent_rms,10.546875,0.00013831625758503713
bandpass,independent_rms,10.9375,0.00013640308078185622
bandpass,independent_rms,11.328125,0.00013344077859698815
bandpass,independent_rms,11.71875,0.00013461970056850172
bandpass,independent_rms,12.109375,0.00013628427493930342
bandpass,independent_rms,12.5,0.000137516512565028
bandpass,independent_rms,12.890625,0.00013393200892063798
bandpass,independent_rms,13.28125,0.000133922400300718
bandpass,independent_rms,13.671875,0.00013446056693512337
bandpass,independent_rms,14.0625,0.0001332460352968757
bandpass,independent_rms,14.453125,0.00013357238601486614
bandpass,independent_rms,14.84375,0.00013483728441524272
bandpass,independent_rms,15.234375,0.0001355366916898694
bandpass,independent_rms,15.625,0.00013586131451347774
bandpass,independent_rms,16.015625,0.00013732130213104328
bandpass,independent_rms,16.40625,0.0001363663495913208
bandpass,independent_rms,16.796875,0.00013611542491429604
bandpass,independent_rms,17.1875,0.00013639161538066903
bandpass,independent_rms,17.578125,0.00013706059676651274
bandpass,independent_rms,17.96875,0.00013325076991285
bandpass,independent_rms,18.359375,0.00013518857710835672
bandpass,independent_rms,18.75,0.0001330028005090223
bandpass,independent_rms,19.140625,0.00013616651050724326
bandpass,independent_rms,19.53125,0.00013604658428594292
bandpass,independent_rms,19.921875,0.00013429356658298564
bandpass,independent_rms,20.3125,0.00013442679921061836
bandpass,independent_rms,20.703125,0.00013560051593313675
bandpass,independent_rms,21.09375,0.00013705428273215624
bandpass,independent_rms,21.484375,0.0001349225598054372
bandpass,independent_rms,21.875,0.0001356861192257346
bandpass,independent_rms,22.265625,0.00013829529065973503
bandpass,independent_rms,22.65625,0.00013659123329940728
bandpass,independent_rms,23.046875,0.00013582873159128004
bandpass,independent_rms,23.4375,0.000134186160251324
bandpass,independent_rms,23.828125,0.00013497932130231182
bandpass,independent_rms,24.21875,0.0001347048433241458
bandpass,independent_rms,24.609375,0.00013449327105645431
bandpass,independent_rms,25.0,0.00013507622191963456
bandpass,independent_rms,25.390625,0.00013340842281936883
bandpass,independent_rms,25.78125,0.0001370373185633107
bandpass,independent_rms,26.171875,0.0001360862928418312
bandpass,independent_rms,26.5625,0.00013385013259473137
bandpass,independent_rms,26.953125,0.00013328559530969468
bandpass,independent_rms,27.34375,0.00013385348268035084
bandpass,independent_rms,27.734375,0.00013521969193492774
bandpass,independent_rms,28.125,0.00013557531358979863
bandpass,independent_rms,28.515625,0.00013887488175873107
bandpass,independent_rms,28.90625,0.0001377696059078236
