model,snr,metric,contrast,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
tcn,5,macro_f1,E-I,-0.028894577208537345,0.013423724705555914,3,-0.0326142753813386,-0.024968406185254418,2000,0,0.0017098852805579013,3.878959614448864e-18
tcn,5,macro_f1,E-S,-0.030240018799993232,0.013335838604107827,3,-0.03392822367295321,-0.026268985168866776,2000,0,0.0010973171347408485,0.015194424158364899
tcn,5,macro_f1,S-I,0.0013454415914558905,0.0006105149319285153,3,-0.000255353885944937,0.0028112896162580748,2000,0,0.001580410676751725,0.015194424158364897
tcn,10,ece,E-I,-0.0024860397449243507,0.005316325697012617,3,-0.003526420098560865,-0.0005579149484263615,2000,0,0.0005740752570142796,0.0
tcn,10,ece,E-S,-0.002376418438616492,0.005968441532964671,3,-0.0034963205454333905,-0.0005026421482382011,2000,0,0.0004134409807084013,0.0006803925959017388
tcn,10,ece,S-I,-0.0001096213063078592,0.0006558301178340894,3,-0.0007000951989383405,0.0005935060676902059,2000,0,0.0005984842235997439,0.0006803925959017386
tcn,10,macro_auroc,E-I,-0.0006138847825032256,0.0004202517616080875,3,-0.0011495957371298695,-7.648589657034684e-05,2000,0,0.0005234787065093473,0.0
tcn,10,macro_auroc,E-S,-0.0008023329989899321,0.0005216360454722894,3,-0.0012895140259584006,-0.0003061119451332004,2000,0,0.00040849212000803887,0.0005342236749852539
tcn,10,macro_auroc,S-I,0.00018844821648670665,0.00011944393611031515,3,-8.322811405884726e-05,0.00045120763970520506,2000,0,0.0001549806242397379,0.0005342236749852539
tcn,10,macro_f1,E-I,-0.005565566834940657,0.003562787873994613,3,-0.00780731715960726,-0.0032468179878879758,2000,0,0.001619580495770425,0.0
tcn,10,macro_f1,E-S,-0.006520095208050366,0.003430591482722086,3,-0.008649631131392284,-0.0043000572546384366,2000,0,0.0010332428093981728,0.0037110727220768993
tcn,10,macro_f1,S-I,0.0009545283731097099,0.00026466379961406246,3,-0.00016515996878046113,0.0020858704993153795,2000,0,0.0013745264616453086,0.003711072722076899
