model,snr,metric,contrast,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,redundant_contrast,noise_sd
resnet,5,ece,S-I,S_00,-0.003018101296498021,0.003164346210396655,3,-0.0038558130076111483,-0.0020602949785475905,2000,0,False,0.0007957501658321118
resnet,5,ece,S-I,S_01,0.018684421262728592,0.009310019709848075,3,0.01698645635801984,0.019897035207663144,2000,0,False,0.0009624380676944859
resnet,5,ece,S-I,S_02,0.013911226349002409,0.005169244529256893,3,0.012577376048862268,0.015298904203605444,2000,0,False,0.0005742504140429006
resnet,5,ece,S-I,S_03,-0.006138352969754545,0.006097390547373163,3,-0.007271662123128917,-0.005114592495834549,2000,0,False,0.0010035449588555068
resnet,5,ece,S-I,S_04,-0.006075356659559137,0.0072074843259784475,3,-0.006980628917492395,-0.00481203917663396,2000,0,False,0.0008132110383380544
resnet,5,macro_auroc,E-I,S_00,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,True,0.0013747110831875244
resnet,5,macro_auroc,E-I,S_01,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,True,0.0013747110831875244
resnet,5,macro_auroc,E-I,S_02,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,True,0.0013747110831875244
resnet,5,macro_auroc,E-I,S_03,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,True,0.0013747110831875244
resnet,5,macro_auroc,E-I,S_04,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,True,0.0013747110831875244
resnet,5,macro_auroc,E-S,S_00,-0.007912535972701572,0.002740261561090355,3,-0.009263367306042419,-0.0065374342467687295,2000,0,False,0.001172625842156432
resnet,5,macro_auroc,E-S,S_01,-0.00038264805422107595,0.0032121591655468133,3,-0.001516392158154535,0.0007277290398260809,2000,0,False,0.001745316153285558
resnet,5,macro_auroc,E-S,S_02,-0.0018751291318518258,0.0004165036531520688,3,-0.0027637538956720637,-0.0009611874396232317,2000,0,False,0.000833777676672679
resnet,5,macro_auroc,E-S,S_03,-0.010952505494069458,0.004751817527736754,3,-0.01233382084494877,-0.009485376793578037,2000,0,False,0.0009792100100039114
resnet,5,macro_auroc,E-S,S_04,-0.009173063229972836,0.0034478235410907677,3,-0.010491327366506176,-0.007856585966390462,2000,0,False,0.0009178322686436229
resnet,5,macro_auroc,S-I,S_00,0.0006048827516843547,0.00036808817411757125,3,-0.000317275508471854,0.0015372771689243405,2000,0,False,0.0007838113634461519
resnet,5,macro_auroc,S-I,S_01,-0.006925005166796141,0.0011814730735127215,3,-0.008066409719428057,-0.005768530857025304,2000,0,False,0.0008523388052917339
resnet,5,macro_auroc,S-I,S_02,-0.005432524089165391,0.0023837450237527867,3,-0.006598624713310793,-0.004296363119857755,2000,0,False,0.0010254606831078177
resnet,5,macro_auroc,S-I,S_03,0.0036448522730522423,0.002115436517456705,3,0.002690238994266305,0.0046056076867265075,2000,0,False,0.0007475530014326556
resnet,5,macro_auroc,S-I,S_04,0.0018654100089556195,0.0009290521739523131,3,0.0009588949654068519,0.0027913125228884515,2000,0,False,0.0010918110352024343
resnet,5,macro_f1,E-I,S_00,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,True,0.0019015764575674964
resnet,5,macro_f1,E-I,S_01,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,True,0.0019015764575674964
resnet,5,macro_f1,E-I,S_02,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,True,0.0019015764575674964
resnet,5,macro_f1,E-I,S_03,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,True,0.0019015764575674964
