model,snr,metric,condition,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
resnet,10,ece,I,,0.054074485935857924,0.016377364034615035,3,0.05419351243217122,0.06193079548963067,2000,0,0.0007874554638638222,0.0
resnet,10,ece,S,,0.05436994549894439,0.01687217840617797,3,0.05466181359549441,0.062171556925900234,2000,0,0.0002965984105174273,0.0037304542860282517
resnet,10,ece,S_00,S_00,0.05243912289835407,0.016896505184164277,3,0.052866736346154575,0.06044983756320151,2000,0,0.0006915591252183485,0.0
resnet,10,ece,S_01,S_01,0.05920368002216131,0.016544403052683357,3,0.05883165339731754,0.06725888224108861,2000,0,0.0008266477461282459,0.0
resnet,10,ece,S_02,S_02,0.057527885243007726,0.01748834360747964,3,0.0573891439134794,0.06554067500351053,2000,0,0.0005456651961399122,0.0
resnet,10,ece,S_03,S_03,0.050998531047935385,0.016293708453973103,3,0.051391951566739674,0.05883035574310243,2000,0,0.000278877665477391,0.0
resnet,10,ece,S_04,S_04,0.05168050828326346,0.017424687707346075,3,0.052176319948294386,0.05973317029487372,2000,0,0.00041964981868125025,0.0
resnet,10,macro_auroc,E,,0.896304160999223,0.004682443220830541,3,0.887844532459059,0.9039232097078481,2000,0,0.000685828469274788,0.0
resnet,10,macro_auroc,I,,0.8987105357284011,0.003456872303056228,3,0.8903754841037669,0.9064307552721839,2000,0,0.0004480762973378874,0.0
resnet,10,macro_auroc,S,,0.8982658172499328,0.003698400391060494,3,0.8899529297162767,0.905962790134714,2000,0,0.0001538904488355824,0.0016319853197483726
resnet,10,macro_auroc,S_00,S_00,0.8986827148569311,0.0038116381977442385,3,0.8904752035514342,0.9063319228626747,2000,0,0.0001475781086639806,0.0
resnet,10,macro_auroc,S_01,S_01,0.8963284979145594,0.003857463623597022,3,0.8878955135807428,0.9041512474234085,2000,0,0.000684136051663138,0.0
resnet,10,macro_auroc,S_02,S_02,0.8968304220583732,0.004667406454020887,3,0.8884255706064654,0.9045250756054681,2000,0,0.0005235071205963816,0.0
resnet,10,macro_auroc,S_03,S_03,0.9001295419391634,0.003026164551003723,3,0.8918794391741879,0.9076598032894891,2000,0,0.00020895668070670094,0.0
resnet,10,macro_auroc,S_04,S_04,0.8993579094806368,0.0031929160663354576,3,0.8910128138203407,0.9069372230050593,2000,0,0.0004000256670986243,0.0
resnet,10,macro_f1,E,,0.6914159442587599,0.011914632941510758,3,0.6775066660484141,0.7048181094856333,2000,0,0.0007251966027738239,0.0
resnet,10,macro_f1,I,,0.6983154178729349,0.009253854677687186,3,0.6844052847146137,0.7113427350134534,2000,0,0.0014080280443710487,0.0
resnet,10,macro_f1,S,,0.6966156706788458,0.009544414330301457,3,0.6826247655931664,0.7097270426128758,2000,0,0.0006920576169455975,0.004923459390706591
resnet,10,macro_f1,S_00,S_00,0.698622934870087,0.010496770415429875,3,0.68461674748921,0.7115978886047055,2000,0,0.0013879444107176475,0.0
resnet,10,macro_f1,S_01,S_01,0.6904561010887801,0.009645617327353678,3,0.6764706358406434,0.703833500130288,2000,0,0.0008315864872659726,0.0
resnet,10,macro_f1,S_02,S_02,0.6922701725839296,0.011475442235680217,3,0.6780737671243017,0.7054786751630535,2000,0,0.0022879405084425654,0.0
resnet,10,macro_f1,S_03,S_03,0.700827717185874,0.007953915716864383,3,0.686899134418642,0.7137168704133272,2000,0,0.0007511126262076443,0.0
resnet,10,macro_f1,S_04,S_04,0.7009014276655586,0.00829751779394634,3,0.6869919503919824,0.7139227483833355,2000,0,0.0014209389601742082,0.0
resnet,,ece,clean,,0.046980366619311764,0.008094534589056391,3,0.04649224779021489,0.05456006373618218,2000,0,0.0,0.0
resnet,,macro_auroc,clean,,0.9078347288578367,0.0009065892780906418,3,0.8998518998739361,0.9150672173604134,2000,0,0.0,0.0
resnet,,macro_f1,clean,,0.7177358305257698,0.00531501017696159,3,0.7038225829853146,0.7310455211817943,2000,0,0.0,0.0
tcn,0,ece,E,,0.19559578732758795,0.08303123311691293,3,0.1886814181366492,0.2044181432573267,2000,0,0.0007498463237081696,0.0
tcn,0,ece,I,,0.13873721203686198,0.08196623668845571,3,0.1336508899054391,0.14704423030893596,2000,0,0.0004620320550362698,0.0
tcn,0,ece,S,,0.13613811773741388,0.07374015273212081,3,0.13172168020292305,0.1444056228730823,2000,0,0.00034057858165407535,0.03613740052403917
tcn,0,ece,S_00,S_00,0.11878291249115336,0.05522689542460745,3,0.11454855143848329,0.12752670295665508,2000,0,0.0006611343339663196,0.0
tcn,0,ece,S_01,S_01,0.1673438547566767,0.0958640643670763,3,0.1615293821724928,0.17575710945147616,2000,0,0.0009056897820805239,0.0
tcn,0,ece,S_02,S_02,0.18231865788849563,0.08677683251767167,3,0.1755767521474164,0.1912801012281469,2000,0,0.0010355993687259776,0.0
tcn,0,ece,S_03,S_03,0.10346376552926374,0.06638008130857051,3,0.10099952558783723,0.11146968625828378,2000,0,0.0004908690633410551,0.0
tcn,0,ece,S_04,S_04,0.10878139802147996,0.07134811453413654,3,0.10566571855575192,0.1167766399267536,2000,0,0.0006712905746484386,0.0
tcn,0,macro_auroc,E,,0.8787060039611595,0.00899979729545683,3,0.8695064259597838,0.8871964157495846,2000,0,0.0009152365121233934,0.0
tcn,0,macro_auroc,I,,0.8911901319541696,0.006201658835223927,3,0.8822225181191994,0.8993082503656714,2000,0,0.0006193388943102946,0.0
tcn,0,macro_auroc,S,,0.8918932893927147,0.00630935914772392,3,0.883076945442229,0.8998131360520953,2000,0,0.00021149451692829412,0.006035034492325363
tcn,0,macro_auroc,S_00,S_00,0.8945286472857426,0.006050728343371898,3,0.8858128581555672,0.9024478815192569,2000,0,0.0007092647977218436,0.0
tcn,0,macro_auroc,S_01,S_01,0.8868055428455541,0.010811733510646028,3,0.8779422463595234,0.8949709055019386,2000,0,0.000989961311265482,0.0
tcn,0,macro_auroc,S_02,S_02,0.8842103405893886,0.00972302251057979,3,0.875015744421782,0.8925734545488878,2000,0,0.0006742893695794931,0.0
tcn,0,macro_auroc,S_03,S_03,0.8980713756417759,0.005979293479009149,3,0.8893536914611286,0.905864303247779,2000,0,0.0006315051430865443,0.0
tcn,0,macro_auroc,S_04,S_04,0.8958505406011131,0.005003529753723646,3,0.8869686691957794,0.9037944384800402,2000,0,0.0005150007470506233,0.0
tcn,0,macro_f1,E,,0.47948390273247815,0.0721583543976584,3,0.4650620747656081,0.4931321569122477,2000,0,0.0016407836638945086,0.0
tcn,0,macro_f1,I,,0.5779907634711259,0.07327676929261642,3,0.5623025872569128,0.5924130915366972,2000,0,0.0010808551095964972,0.0
tcn,0,macro_f1,S,,0.5833397727406405,0.06313276897033009,3,0.5680989939621899,0.5971553211006428,2000,0,0.0008808702793802423,0.04927701986366187
tcn,0,macro_f1,S_00,S_00,0.6031166586732589,0.040164457182248266,3,0.5871531169941161,0.6178139013036427,2000,0,0.0019464783376088451,0.0
tcn,0,macro_f1,S_01,S_01,0.538358124653627,0.10081272815558122,3,0.5237096233603192,0.5524374797281449,2000,0,0.0015635717748893117,0.0
tcn,0,macro_f1,S_02,S_02,0.523204361762181,0.08524085530345761,3,0.5081282192695875,0.5373142561458087,2000,0,0.0028037077864740507,0.0
tcn,0,macro_f1,S_03,S_03,0.6305201052004831,0.04527278638371341,3,0.6146176398182215,0.6446213988049289,2000,0,0.001330165654552636,0.0
tcn,0,macro_f1,S_04,S_04,0.6214996134136527,0.06263215515117092,3,0.605685060806742,0.6358697739610699,2000,0,0.0018950805964018545,0.0
tcn,5,ece,E,,0.07394632404901616,0.04778848880183803,3,0.07215037852921659,0.08219875844702051,2000,0,0.0007221653783662948,0.0
tcn,5,ece,I,,0.05563504031723172,0.030727895932128112,3,0.05618580319353096,0.0627346103807953,2000,0,0.0003975494120160484,0.0
tcn,5,ece,S,,0.05616987780402066,0.02867386558494442,3,0.05708799769624683,0.0630070181000096,2000,0,0.00019741595594753843,0.009506165279329862
tcn,5,ece,S_00,S_00,0.04954766504267464,0.017115287751140202,3,0.05110758177490308,0.05697676429210769,2000,0,0.0005652652071222922,0.0
