model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
resnet,5,macro_f1,E-I,43,S_00,True,-0.023304757383375507
resnet,5,macro_f1,E-I,43,S_01,True,-0.023304757383375507
resnet,5,macro_f1,E-I,43,S_02,True,-0.023304757383375507
resnet,5,macro_f1,E-I,43,S_03,True,-0.023304757383375507
resnet,5,macro_f1,E-I,43,S_04,True,-0.023304757383375507
resnet,5,macro_f1,E-S,17,S_00,False,-0.026841396092087133
resnet,5,macro_f1,E-S,17,S_01,False,-0.004307293843343274
resnet,5,macro_f1,E-S,17,S_02,False,-0.00274586128653583
resnet,5,macro_f1,E-S,17,S_03,False,-0.03745834979032172
resnet,5,macro_f1,E-S,17,S_04,False,-0.03272050187855515
resnet,5,macro_f1,E-S,29,S_00,False,-0.031115892926609823
resnet,5,macro_f1,E-S,29,S_01,False,4.814669852641155e-05
resnet,5,macro_f1,E-S,29,S_02,False,-0.010460013954330438
resnet,5,macro_f1,E-S,29,S_03,False,-0.037708998750435575
resnet,5,macro_f1,E-S,29,S_04,False,-0.03902733713549058
resnet,5,macro_f1,E-S,43,S_00,False,-0.027904249203382137
resnet,5,macro_f1,E-S,43,S_01,False,-0.0013819239728191286
resnet,5,macro_f1,E-S,43,S_02,False,-0.004150647679849333
resnet,5,macro_f1,E-S,43,S_03,False,-0.031823764245486184
resnet,5,macro_f1,E-S,43,S_04,False,-0.03003527792069551
resnet,5,macro_f1,S-I,17,S_00,False,0.0009886736000479512
resnet,5,macro_f1,S-I,17,S_01,False,-0.021545428648695908
resnet,5,macro_f1,S-I,17,S_02,False,-0.023106861205503353
resnet,5,macro_f1,S-I,17,S_03,False,0.011605627298282536
resnet,5,macro_f1,S-I,17,S_04,False,0.006867779386515967
resnet,5,macro_f1,S-I,29,S_00,False,8.53047534821183e-05
resnet,5,macro_f1,S-I,29,S_01,False,-0.031078734871654117
resnet,5,macro_f1,S-I,29,S_02,False,-0.020570574218797266
resnet,5,macro_f1,S-I,29,S_03,False,0.0066784105773078735
resnet,5,macro_f1,S-I,29,S_04,False,0.007996748962362873
resnet,5,macro_f1,S-I,43,S_00,False,0.004599491820006629
resnet,5,macro_f1,S-I,43,S_01,False,-0.02192283341055638
resnet,5,macro_f1,S-I,43,S_02,False,-0.019154109703526174
resnet,5,macro_f1,S-I,43,S_03,False,0.008519006862110675
resnet,5,macro_f1,S-I,43,S_04,False,0.006730520537320002
resnet,10,ece,E-I,17,S_00,True,0.007142953133706183
resnet,10,ece,E-I,17,S_01,True,0.007142953133706183
resnet,10,ece,E-I,17,S_02,True,0.007142953133706183
resnet,10,ece,E-I,17,S_03,True,0.007142953133706183
resnet,10,ece,E-I,17,S_04,True,0.007142953133706183
resnet,10,ece,E-I,29,S_00,True,0.006040199864539821
resnet,10,ece,E-I,29,S_01,True,0.006040199864539821
resnet,10,ece,E-I,29,S_02,True,0.006040199864539821
resnet,10,ece,E-I,29,S_03,True,0.006040199864539821
resnet,10,ece,E-I,29,S_04,True,0.006040199864539821
resnet,10,ece,E-I,43,S_00,True,0.007521434414166343
resnet,10,ece,E-I,43,S_01,True,0.007521434414166343
resnet,10,ece,E-I,43,S_02,True,0.007521434414166343
resnet,10,ece,E-I,43,S_03,True,0.007521434414166343
resnet,10,ece,E-I,43,S_04,True,0.007521434414166343
resnet,10,ece,E-S,17,S_00,False,0.008869215160804763
resnet,10,ece,E-S,17,S_01,False,0.00461668609151748
