model,seed,case_id,prediction_case_id,condition,snr,noise_seed,status,passed,reference_prediction_path,reference_prediction_sha256,reference_p_sha256,input_sha256,checkpoint_sha256,cohort_sha256,thresholds_sha256,original_run_fingerprint,original_source_sha256,all_original_metrics_recomputed,maximum_original_metric_abs_error,fresh_prediction_path,fresh_prediction_sha256,fresh_p_sha256,probabilities_max_abs,fixed_threshold_label_agreement,fresh_macro_auroc_difference,fresh_macro_f1_difference,fresh_ece_difference,numerical_comparison,cross_device_bridge,evidence_note
tcn,17,I__snr_5__noise_8128,standard__n8128__independent_rms__snr5,I,5,8128,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n8128__independent_rms__snr5.npz,7ae1d76b9450cada011480a043c3f50c223a351e76ac895282c4983635a9de82,c85d7826e1c8a4b71e91e9d45b1dacde667baba4ec40f071c65095eea2c941e4,9ac7f1df732224f4a0a2fc01ed414b32fdc10d4ec73eead7d7e5fff91a464581,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_5__noise_101,standard__n101__electrode__snr5,E,5,101,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n101__electrode__snr5.npz,3df95384e214ef8cfe979c77e08524fc2494b4753bde8187fe24d11968dde935,4fd822def4dc64e96b7832d7afa4b735dd7e2e9b095b8ee3f3fd200a2972799e,a9b52831e24c7768419b845bb3083af3c8a16ec5e32b5fdb5b13c78d41daae5a,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_5__noise_101,standard__n101__independent_rms__snr5,I,5,101,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n101__independent_rms__snr5.npz,3acac2209afcc2ec9a478ab23ea3adc6d6ca1f38eefa1ccc3d2cdfdbdf160ccf,f516e9178bccf56e5142beda23194730038ca64193964a848da316f78757d942,d49ac1d77ee75afd3789bb2ceff039ce8d719c2ca6f6a349c9c17f7098b08599,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_5__noise_202,standard__n202__electrode__snr5,E,5,202,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n202__electrode__snr5.npz,7cfec8977c10d648ddac8dc45a03b562c1f9f445ff566e6dbdd80dd5f86246ec,0c37e311703d3673848d3c7da5c56cd51ad43e287e890fdf69c48c71481ca5bc,6c3f29be5575354876cd0d27a39ced457ab439a24964f15c6afe323c5cda1cd5,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_5__noise_202,standard__n202__independent_rms__snr5,I,5,202,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n202__independent_rms__snr5.npz,0341567967ae121859b25fb38d23c2d5d86502e62a47ec92e0fbfb2105edc207,743a293fe0f32c5f0c3ad08bed512f7e210c1958bc04a88315afbfdd94d62184,0360ee49bce1989641f1db50607d38189be93cd3e3f0c15d2967aeceb8879683,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_5__noise_303,standard__n303__electrode__snr5,E,5,303,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n303__electrode__snr5.npz,63049d50c99b6ee009fbcdc3b75b778051c45d6d1f506938ab4ff0aa9fdcb677,c691c4cf2249fd78b09c19579f180e958f8bba9ec5319c9b4c98cb84e2d22312,11085aab3b59af30ed304293a4d6b71096b369fe6a48bc66e37a8d7f0b8ef749,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_5__noise_303,standard__n303__independent_rms__snr5,I,5,303,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n303__independent_rms__snr5.npz,4ddd9f668ca8762e6f78dedc309f303493dfc0c8d2be609ef0ea3823b97212dc,db66679d6bb7d6b1909df2419ff5e9867dbcf3818b3ccbcca374da363d6d1684,c20aab6721faa0e8591c24d76190edbb47049c50f9ed46c7a86ae50545ff5794,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_5__noise_404,standard__n404__electrode__snr5,E,5,404,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__electrode__snr5.npz,c16419a574adeb1165700c10c0ad0eb0e720607895e086f34215133ed8eb38ad,ec11f466b35835862353a4cec025fd231f5c8ee442e1154b11316381c7669337,b87c690599f9e43fd18ff01ff673d41836632423c4e2b1a4f7594389236e9e02,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,5.551115123125783e-17,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_5__noise_404,standard__n404__independent_rms__snr5,I,5,404,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n404__independent_rms__snr5.npz,f0f89c4e72eca623f33d7fa086ab17059f02c454fcf9a19cc5ef80952134e57b,45a9518fecac5ba16e3c7a1dcdca3c6f1474e1f5d820020db88a621e195e85c2,39d832fbf0ea92025813b71fe99c3a23638662e68df3c98584f1e9933048a487,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_5__noise_505,standard__n505__electrode__snr5,E,5,505,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n505__electrode__snr5.npz,9e9bc7fa56ec5e2a5bc3d9c0152537c9f7af33212b41dfd53203235647331a1e,b6cebfc47e7ef6907c2b08d4a9432c626949c609b5df1cf50d9e87ed84a97fb6,55993a149666eee52bca0be88f2fce8d7c3203c66b73c39bf19371aee26ad4a6,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_5__noise_505,standard__n505__independent_rms__snr5,I,5,505,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n505__independent_rms__snr5.npz,067f64c76af455257b5bf46f7bebce5bbf1982d2a1ba7e1fd05abee2f38c62ea,cedade8607e4bcd2fcaa168043adad255aedb6c9a478cbd7a791bcdeec43a89b,2e1ebb8fee3c5cfc3af7c2a5eede4bb35c6eed8e806f604d6181ebc212b9c620,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_10__noise_8128,standard__n8128__electrode__snr10,E,10,8128,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n8128__electrode__snr10.npz,226292a6fee62be69d9a020e52282a81b9edc1a09ba5c94ffef8e184f90c0ba6,ff29cad9de0a123a1b2966a11dd4f29d9675a0f17a6fd2abf1a1505e0b4e68ec,f3748f9ddb4fcc1a68c5173fc418ec9284195cab1bb36f491b124eebf0a7d449,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,I__snr_10__noise_8128,standard__n8128__independent_rms__snr10,I,10,8128,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n8128__independent_rms__snr10.npz,50b9505ad1a93a6a56be1c635f11734618d34fb216ccdab14fdae9f3bc8e24c7,d0cad3bef9d6f9633d17c8d4e6f79e309dc0538db0d04fc17cee7dd26e178679,52a737fdeb584852a0d45c42729c1a3c8a4457e5b51ab403ca1fd00fd4b40bb9,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
tcn,17,E__snr_10__noise_101,standard__n101__electrode__snr10,E,10,101,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/tcn/seed_17/standard__n101__electrode__snr10.npz,2af7420e9704e7972f680ebbe4c9d831e472e500969b48f37f62f2b6e0ca8ea1,1181664d18144c8cc03e937f0962c347b14d46adbe6572650ca9c55d2d9e15d7,e1c5a093c971f8dd322ef87c4a61793f2d978a2d00dc936ce1086c33dc58d528,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,84cba5ac1aa33634d663eccbbb277738657d998f0664727a56c99c922dbc8583,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1102230246251565e-16,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
