object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
S_input,0,202,S_01,2158,0,0.15691327315204015,0.005035353475919981,0.156831411301687,0.15343959337370372,0.1604253387878859,0.006985745414182176,0.13961339390944102,0.17571094474710963
S_noise,0,202,S_02,2158,0,0.23147289811719293,0.009182971880622502,0.23138584631750153,0.22530432000202133,0.23778580046236303,0.012481480460341698,0.2011946711633312,0.26719931546833414
S_input,0,202,S_02,2158,0,0.11573871892999857,0.004795361720212877,0.11567161416140692,0.11253613684230625,0.11892667125024663,0.006390534407940379,0.09940929397967907,0.13286074470065332
S_noise,0,202,S_03,2158,0,0.5557829259915881,0.010214339473290385,0.5560364834366667,0.5486686001111403,0.5628674393711941,0.01419883926005383,0.5239206316720714,0.5881958931089457
S_input,0,202,S_03,2158,0,0.2779573724300392,0.005460650804862985,0.2779684591745032,0.2742243973725471,0.28171736190691443,0.007492964534367319,0.26000483932076585,0.29506037748608066
S_noise,0,202,S_04,2158,0,0.49919147791909113,0.009287517130574277,0.49916420454308563,0.4929784312151219,0.5055570671803201,0.012578635965198204,0.47090408733857614,0.5296331224701057
S_input,0,202,S_04,2158,0,0.24958348950480844,0.005100681776898103,0.24958989821940314,0.24607575788369196,0.25312979967136673,0.00705404178767477,0.23257354735879945,0.26639156767243094
E_noise,0,303,,2158,0,6.194579017761644e-16,6.942216403038896e-17,6.108001409275272e-16,5.704426943267686e-16,6.609428551862306e-16,9.050016085946195e-17,4.510720781465344e-16,9.149671039389114e-16
E_input,0,303,,2158,0,6.830142319179882e-07,4.4426993762201476e-07,5.969832951687485e-07,3.910792118252583e-07,8.652282028398083e-07,4.7414899101455e-07,1.2550213623496125e-08,5.848423584602346e-06
I_noise,0,303,,2158,0,0.37426792559669686,0.008881008765815919,0.37442437618708724,0.36834331708048784,0.38022789026456427,0.01188457318407643,0.3481394357243511,0.4019684023859139
I_input,0,303,,2158,0,0.18714680875620612,0.0047678660408712326,0.18723617594074576,0.18389145777921662,0.19046057917481574,0.00656912139559912,0.17261178783645642,0.20191675119008723
