object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
I_input,5,8128,,100,0,0.08997224067109849,0.0019585605703711564,0.09014035002010565,0.088471018212034,0.09124597165800044,0.002774953445966441,0.0851481075440653,0.09374272603051625
S_noise,5,8128,S_00,100,0,0.45279036553334995,0.007535438398292665,0.4526144274418218,0.4484882441400175,0.4587019437168969,0.010213699576879398,0.431703412074123,0.47090111669867724
S_input,5,8128,S_00,100,0,0.10872126837093987,0.001991975042935186,0.10862984133002346,0.10752743725244239,0.11026804052075768,0.0027406032683152948,0.10313838536323225,0.11287449499337157
S_noise,5,8128,S_01,100,0,0.3139155245338609,0.008738081725663639,0.3140099672274771,0.30837410160606454,0.31917888044537984,0.010804778839315299,0.2937491831138562,0.34166498127226225
S_input,5,8128,S_01,100,0,0.0754811643832967,0.002182851674414629,0.07543630635936141,0.07410615577404124,0.07681734783050945,0.0027111920564682063,0.07024589252078378,0.08175018692618154
S_noise,5,8128,S_02,100,0,0.23215272394679345,0.008856471538688876,0.23161388677952321,0.22731332255906944,0.23785893440802539,0.010545611848955944,0.2107676229988838,0.25431409249118037
S_input,5,8128,S_02,100,0,0.05579809217641906,0.0022796325403039324,0.055654648113361294,0.05448754959839389,0.057255757929144134,0.002768208330750241,0.05118703364164772,0.061978029337148945
S_noise,5,8128,S_03,100,0,0.5562966452056181,0.008859236288788883,0.5571223912982624,0.5503756008846911,0.5630784038438864,0.012702802959195347,0.5360887580683038,0.5772565876319866
S_input,5,8128,S_03,100,0,0.1337030818333847,0.0022893360700928624,0.1335162515519065,0.1322483318377644,0.1355544481175315,0.003306116279767096,0.12831700343320968,0.13959262039748588
S_noise,5,8128,S_04,100,0,0.49958041990562974,0.007821916980438843,0.5003721263625986,0.494024542498088,0.5053631545796926,0.011338612081604582,0.4827611355479832,0.5189986452931059
S_input,5,8128,S_04,100,0,0.1200590975411312,0.0019974864355075503,0.1203442227352044,0.11870668077955555,0.1214725319151484,0.0027658511355928422,0.11426628138503298,0.12449813037373626
E_noise,5,101,,100,0,1.0861432344335248e-15,1.775755382542021e-16,1.0573651960730009e-15,9.776769651870471e-16,1.1975868360014368e-15,2.199098708143897e-16,7.56177339712683e-16,1.8114658511929397e-15
E_input,5,101,,100,0,9.26330192332731e-07,5.512578682799817e-07,8.918102550125957e-07,5.871664089967665e-07,1.1014222012182886e-06,5.14255792221522e-07,4.708530360956878e-08,3.113972930912335e-06
I_noise,5,101,,100,0,0.37442653678552296,0.008731497434490514,0.37509844914757295,0.36840371382426673,0.37936716075369187,0.010963446929425136,0.3554823159821303,0.4007841008165273
I_input,5,101,,100,0,0.09016022406047113,0.0022156406759302064,0.09020411514818921,0.08874969651245654,0.09149774656055806,0.0027480500481015246,0.0849834297151746,0.0966997810749703
S_noise,5,101,S_00,100,0,0.453616077472645,0.00964929123761204,0.4529690623461668,0.448706435484831,0.45882976272754805,0.010123327242717028,0.4335882159018581,0.48316159683490906
S_input,5,101,S_00,100,0,0.1090629576491949,0.0025107944285299084,0.10905403695861138,0.10767253665655424,0.11043224443617139,0.0027597077796171487,0.10357381082230645,0.11718817823761624
S_noise,5,101,S_01,100,0,0.31310971832590984,0.01069530124232288,0.31195008517924994,0.3059127944465623,0.3188760802629907,0.012963285816428416,0.29282412683467407,0.3411622427474298
S_input,5,101,S_01,100,0,0.07520110554260254,0.002574063477043404,0.07498990705676026,0.07344930726120275,0.0767131827471762,0.0032638754859734553,0.06997307190733897,0.08281617144483805
S_noise,5,101,S_02,100,0,0.23049105779484244,0.009874083973920672,0.2308502731778596,0.22374618164768562,0.23582394889561742,0.012077767247931803,0.21026171364479185,0.25711746853075174
S_input,5,101,S_02,100,0,0.05541684216202059,0.0023837951443073852,0.05538096570134939,0.053642678239836816,0.0564303042362749,0.0027876259964380867,0.05040071998395966,0.06153114912942363
