kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bw,20,independent_rms,all,aVF,0.017919232594813435,0.00045811481220344526,17.48843867801415,8.547409221898034,26.668487812434797
bw,20,independent_rms,all,V1,0.01782651010282085,0.0004173733144571565,20.978322824781912,12.279831515898763,29.400800935762774
bw,20,independent_rms,all,V2,0.02062900425905333,0.000609188575292679,24.113061552244623,14.503091532189863,33.86902049647
bw,20,independent_rms,all,V3,0.01971899539245265,0.0006047077134769389,24.418340696600843,16.251796271268176,32.62135128145482
bw,20,independent_rms,all,V4,0.01829715349974565,0.0005315191114374504,24.236421249577685,15.472804680690441,34.06137563436463
bw,20,independent_rms,all,V5,0.019949537448807456,0.0006306053651264903,22.167655335920685,12.188237644130822,30.013554149670338
bw,20,independent_rms,all,V6,0.018321628248723357,0.0004686659356585283,21.665384087627366,12.381582204551465,31.801059033884133
bw,10,independent_rms,all,I,0.0666013353699319,0.005547742401331276,7.00306678372975,-1.0763946797385273,15.40786744207788
bw,10,independent_rms,all,II,0.06524977590421904,0.005694032330869358,8.220907226709784,0.6263471232489848,18.220341025842583
bw,10,independent_rms,all,III,0.06642678334782752,0.006242135113865185,6.779992418990106,-1.392329621420504,16.298388385481953
bw,10,independent_rms,all,aVR,0.05770063088370863,0.004060353587634021,7.819440848545098,-0.232611110279674,15.513483013242327
bw,10,independent_rms,all,aVL,0.05873018663678228,0.004471430674880891,6.059375918554455,-2.0354173835271356,14.144395390236047
bw,10,independent_rms,all,aVF,0.05666558892193958,0.004581148122034453,7.488438678014147,-1.4525907781019662,16.668487812434797
bw,10,independent_rms,all,V1,0.056372374656916295,0.004173733144571565,10.978322824781912,2.2798315158987634,19.400800935762774
bw,10,independent_rms,all,V2,0.0652346393199227,0.00609188575292679,14.113061552244627,4.503091532189863,23.869020496469997
bw,10,independent_rms,all,V3,0.06235693861051623,0.006047077134769389,14.418340696600842,6.251796271268177,22.62135128145482
bw,10,independent_rms,all,V4,0.05786067975691736,0.005315191114374504,14.236421249577681,5.472804680690441,24.061375634364627
bw,10,independent_rms,all,V5,0.06308597660505631,0.006306053651264902,12.167655335920685,2.1882376441308247,20.01355414967034
bw,10,independent_rms,all,V6,0.05793807570884778,0.004686659356585283,11.665384087627366,2.3815822045514663,21.80105903388413
bw,0,independent_rms,all,I,0.21061191497771775,0.055477424013312765,-2.99693321627025,-11.076394679738527,5.40786744207788
bw,0,independent_rms,all,II,0.20633790867290489,0.056940323308693586,-1.7790927732902153,-9.373652876751015,8.220341025842583
bw,0,independent_rms,all,III,0.21005993301767983,0.062421351138651854,-3.2200075810098943,-11.392329621420505,6.298388385481954
bw,0,independent_rms,all,aVR,0.18246541602117344,0.04060353587634022,-2.1805591514549008,-10.232611110279674,5.513483013242326
bw,0,independent_rms,all,aVL,0.18572115717901616,0.04471430674880891,-3.9406240814455447,-12.035417383527134,4.144395390236047
bw,0,independent_rms,all,aVF,0.17919232594813433,0.045811481220344535,-2.5115613219858526,-11.452590778101966,6.668487812434797
