model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,17,0.6462208205001773,0.7807184945903615,-0.1344976740901842,3,-0.11605546146156583,0.016398598563320085,-0.1567918385720592,-0.07531908435107244
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,29,0.6803639372835706,0.7909168445498038,-0.11055290726623324,3,-0.11605546146156583,0.016398598563320085,-0.1567918385720592,-0.07531908435107244
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,43,0.6834556814865541,0.7865714845148342,-0.10311580302828005,3,-0.11605546146156583,0.016398598563320085,-0.1567918385720592,-0.07531908435107244
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,17,0.5372097858027637,0.7118815125857424,-0.1746717267829787,3,-0.16901220934047298,0.023436551087812726,-0.22723182973035033,-0.11079258895059564
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,29,0.5331573862679129,0.7222581554037724,-0.1891007691358595,3,-0.16901220934047298,0.023436551087812726,-0.22723182973035033,-0.11079258895059564
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,43,0.5758036914852142,0.7190678235877949,-0.1432641321025807,3,-0.16901220934047298,0.023436551087812726,-0.22723182973035033,-0.11079258895059564
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,17,0.8190409051560843,0.9068922993183458,-0.08785139416226151,3,-0.07182547333500526,0.014384237685549297,-0.10755790062401574,-0.036093046045994774
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,29,0.8403193715672183,0.907911261424449,-0.06759188985723075,3,-0.07182547333500526,0.014384237685549297,-0.10755790062401574,-0.036093046045994774
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,43,0.8486673685377892,0.9087005045233127,-0.06003313598552351,3,-0.07182547333500526,0.014384237685549297,-0.10755790062401574,-0.036093046045994774
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,17,0.6438434571501791,0.7807184945903615,-0.13687503744018237,3,-0.11804039247788849,0.01685958840241241,-0.15992193183239065,-0.07615885312338633
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,29,0.6780290549893615,0.7909168445498038,-0.11288778956044232,3,-0.11804039247788849,0.01685958840241241,-0.15992193183239065,-0.07615885312338633
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,43,0.6822131340817934,0.7865714845148342,-0.10435835043304076,3,-0.11804039247788849,0.01685958840241241,-0.15992193183239065,-0.07615885312338633
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,17,0.533109027245248,0.7118815125857424,-0.1787724853404944,3,-0.17024967012232806,0.02269187395347746,-0.22661940995974791,-0.1138799302849082
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,29,0.534811972229656,0.7222581554037724,-0.18744618317411632,3,-0.17024967012232806,0.02269187395347746,-0.22661940995974791,-0.1138799302849082
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,43,0.5745374817354214,0.7190678235877949,-0.14453034185237346,3,-0.17024967012232806,0.02269187395347746,-0.22661940995974791,-0.1138799302849082
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_auroc,17,0.8912951597312807,0.9068922993183458,-0.0155971395870651,3,-0.012081855194120564,0.003219541787756601,-0.020079640363543705,-0.004084070024697425
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_auroc,29,0.8965394172652503,0.907911261424449,-0.011371844159198674,3,-0.012081855194120564,0.003219541787756601,-0.020079640363543705,-0.004084070024697425
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_auroc,43,0.8994239226872148,0.9087005045233127,-0.009276581836097919,3,-0.012081855194120564,0.003219541787756601,-0.020079640363543705,-0.004084070024697425
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_ap,17,0.7538305808242379,0.7807184945903615,-0.02688791376612354,3,-0.019794311758911626,0.006154745266162892,-0.03508354658061422,-0.0045050769372090346
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_ap,29,0.7742931726404513,0.7909168445498038,-0.016623671909352544,3,-0.019794311758911626,0.006154745266162892,-0.03508354658061422,-0.0045050769372090346
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_ap,43,0.7707001349135754,0.7865714845148342,-0.0158713496012588,3,-0.019794311758911626,0.006154745266162892,-0.03508354658061422,-0.0045050769372090346
