model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
tcn,ma,10,independent_rms,all,macro_ap,0.8071872819668333,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent_rms,all,macro_auroc,0.9036669173912045,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,independent_rms,all,macro_auroc,0.9171427392364828,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent_rms,all,macro_f1,0.7080051734559669,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,independent_rms,all,macro_f1,0.7341856895471176,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,covariance,all,macro_ap,0.7850571978980257,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,covariance,all,macro_ap,0.8089218492750238,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,covariance,all,macro_auroc,0.9071882749567269,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,covariance,all,macro_auroc,0.9186200283886762,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,covariance,all,macro_f1,0.7165400792762746,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,covariance,all,macro_f1,0.7401034582157914,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,electrode,all,macro_ap,0.7849538432255955,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,electrode,all,macro_ap,0.8087195314847998,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,electrode,all,macro_auroc,0.9072844309773052,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,electrode,all,macro_auroc,0.9186237773774316,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,electrode,all,macro_f1,0.7146003553829404,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,electrode,all,macro_f1,0.7406734010357918,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent,all,macro_ap,0.7854221191332768,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent,all,macro_ap,0.8092137766702351,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent,all,macro_auroc,0.9075237726817869,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent,all,macro_auroc,0.9188836968486737,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent,all,macro_f1,0.7160765578971339,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent,all,macro_f1,0.7398582014457039,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent_rms,all,macro_ap,0.7854217338012978,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent_rms,all,macro_ap,0.809339454646385,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent_rms,all,macro_auroc,0.9074256651436725,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent_rms,all,macro_auroc,0.9189044014360173,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,20,independent_rms,all,macro_f1,0.7151948274284127,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,20,independent_rms,all,macro_f1,0.7405996446221602,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
