model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
tcn,bandpass,10,electrode,RA,macro_ap,0.8023119882108308,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,RA,macro_auroc,0.8955581763042284,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,RA,macro_auroc,0.9150048884907922,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,RA,macro_f1,0.6912479866330744,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,RA,macro_f1,0.7246834212146339,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V1,macro_ap,0.7684012123992879,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V1,macro_ap,0.8060552365748865,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V1,macro_auroc,0.8970559805512547,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V1,macro_auroc,0.9168705754979061,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V1,macro_f1,0.6945832369525702,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V1,macro_f1,0.72685659626827,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V2,macro_ap,0.7711543201844129,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V2,macro_ap,0.8059513618928332,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V2,macro_auroc,0.8990421772196354,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V2,macro_auroc,0.916472502600162,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V2,macro_f1,0.7014842396499569,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V2,macro_f1,0.7309127699297949,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,V3,macro_ap,0.7715012770106897,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,V3,macro_ap,0.806522783600979,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
