kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
bandpass,10,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LA,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LA,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LA,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LL,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LL,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,LL,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,RA,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,RA,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,RA,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V1,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V1,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,independent_rms,V1,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
