model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,10,covariance,LL,macro_f1,0.7118815125857424,0.6577244813545565,0.05415703123118587,0.9239240937225676
resnet,17,bandpass,10,covariance,LL,auroc_NORM,0.9340980287369056,0.9227118879721232,0.011386140764782393,0.9878105504824086
resnet,17,bandpass,10,covariance,LL,auroc_MI,0.88623473541384,0.852654907281773,0.03357982813206706,0.9621095554132748
resnet,17,bandpass,10,covariance,LL,auroc_STTC,0.9193764165289954,0.8907990249473254,0.028577391581669942,0.9689165492296076
resnet,17,bandpass,10,covariance,LL,auroc_CD,0.9032148887853731,0.883075433795272,0.02013945499010117,0.9777024767404332
resnet,17,bandpass,10,covariance,LL,auroc_HYP,0.8915374271266145,0.8707081199471769,0.02082930717943765,0.976636643009429
resnet,17,bandpass,10,covariance,LL,ap_NORM,0.9086485024952592,0.8865889466333406,0.022059555861918545,0.9757226740567821
resnet,17,bandpass,10,covariance,LL,ap_MI,0.7463392051587087,0.7022368321921042,0.044102372966604464,0.9409084064421257
resnet,17,bandpass,10,covariance,LL,ap_STTC,0.8025813723497355,0.7527465815105244,0.04983479083921105,0.9379068683163596
resnet,17,bandpass,10,covariance,LL,ap_CD,0.8134023735586858,0.7866162730497559,0.026786100508929933,0.9670690652245012
resnet,17,bandpass,10,covariance,LL,ap_HYP,0.632621019389418,0.5928559668853173,0.03976505250410067,0.937142378633866
resnet,17,bandpass,10,covariance,LL,f1_NORM,0.8484848484848485,0.7431302270011948,0.10535462148365371,0.8758320532503759
resnet,17,bandpass,10,covariance,LL,f1_MI,0.6786885245901639,0.6131386861313869,0.06554983845877704,0.9034169046850119
resnet,17,bandpass,10,covariance,LL,f1_STTC,0.7306967984934086,0.6979982593559617,0.032698539137446914,0.9552501951482176
resnet,17,bandpass,10,covariance,LL,f1_CD,0.7054871220604704,0.6926229508196722,0.012864171240798195,0.9817655477477627
resnet,17,bandpass,10,covariance,LL,f1_HYP,0.5960502692998204,0.5417322834645669,0.05431798583525349,0.9088701261724625
resnet,17,bandpass,10,covariance,RA,macro_auroc,0.9068922993183458,0.891454699451929,0.015437599866416796,0.9829774716589795
resnet,17,bandpass,10,covariance,RA,macro_ap,0.7807184945903615,0.7579956157743676,0.022722878815993885,0.9708949141407399
resnet,17,bandpass,10,covariance,RA,macro_f1,0.7118815125857424,0.681868656515888,0.030012856069854377,0.9578400962236011
resnet,17,bandpass,10,covariance,RA,auroc_NORM,0.9340980287369056,0.9187702307555278,0.015327797981377844,0.9835908036300133
resnet,17,bandpass,10,covariance,RA,auroc_MI,0.88623473541384,0.870755314337404,0.015479421076435962,0.9825334976627945
resnet,17,bandpass,10,covariance,RA,auroc_STTC,0.9193764165289954,0.9002282861420815,0.019148130386913875,0.9791726978812609
resnet,17,bandpass,10,covariance,RA,auroc_CD,0.9032148887853731,0.8908488121579132,0.012366076627459921,0.986308821098957
resnet,17,bandpass,10,covariance,RA,auroc_HYP,0.8915374271266145,0.8766708538667183,0.014866573259896265,0.9833247906273617
resnet,17,bandpass,10,covariance,RA,ap_NORM,0.9086485024952592,0.8804626728605189,0.028185829634740256,0.9689804918422168
resnet,17,bandpass,10,covariance,RA,ap_MI,0.7463392051587087,0.7293690798351559,0.016970125323552798,0.9772621815828081
resnet,17,bandpass,10,covariance,RA,ap_STTC,0.8025813723497355,0.7784457218825593,0.02413565046717614,0.9699274724038467
resnet,17,bandpass,10,covariance,RA,ap_CD,0.8134023735586858,0.7959084846796136,0.017493888879072217,0.9784929458669835
resnet,17,bandpass,10,covariance,RA,ap_HYP,0.632621019389418,0.6057921196139903,0.026828899775427684,0.9575908815007768
resnet,17,bandpass,10,covariance,RA,f1_NORM,0.8484848484848485,0.8076514346439958,0.040833413840852706,0.951874905115016
resnet,17,bandpass,10,covariance,RA,f1_MI,0.6786885245901639,0.653232577665827,0.025455946924336947,0.9624924453516119
resnet,17,bandpass,10,covariance,RA,f1_STTC,0.7306967984934086,0.7118023787740164,0.018894419719392208,0.9741419152796017
resnet,17,bandpass,10,covariance,RA,f1_CD,0.7054871220604704,0.7,0.005487122060470417,0.9922222222208157
resnet,17,bandpass,10,covariance,RA,f1_HYP,0.5960502692998204,0.5366568914956011,0.05939337780421927,0.9003550860317722
resnet,17,bandpass,10,covariance,V1,macro_auroc,0.9068922993183458,0.8963766191381521,0.010515680180193665,0.9884047089284075
resnet,17,bandpass,10,covariance,V1,macro_ap,0.7807184945903615,0.7610013944993648,0.019717100090996698,0.9747449301783009
resnet,17,bandpass,10,covariance,V1,macro_f1,0.7118815125857424,0.6945684697916343,0.017313042794108058,0.9756798814283038
