model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,independent,mean_probability,0.026486327620005856,0.024539461320184898,0.028414602195365526,9.999000099990002e-05,,0.6161228768221134,1877,2158,3,patient,14594209312169474093,2000,694569708436162142,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.03411145743448287,0.8263185935002664,0.028110079122946118,0.029322848781783758
resnet,bandpass,0,all,noisy_minus_clean,independent,probability_shift,0.1924639535890836,0.1895194454660726,0.19549382075226365,9.999000099990002e-05,,2.9363976831633436,1877,2158,3,patient,12028603609744606822,2000,3675334505876742569,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.19263611609349027,1.0,0.1908678490094712,0.18557190829444029
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,-0.07096325187558843,-0.10651419610392086,-0.03541230764725599,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,-0.11605546146156583,-0.1567918385720592,-0.07531908435107244,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,-0.16901220934047298,-0.22723182973035033,-0.11079258895059564,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,loss,0.164812307557446,0.1524318949663791,0.17657325917954042,9.999000099990002e-05,,0.6063965473461489,1877,2158,3,patient,8916831245482945813,2000,14733026368474568318,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.202897643208256,0.7975492807671817,0.174670509919753,0.17401674614412818
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,mean_probability,0.027150030247917827,0.025095033361105478,0.029094254000388873,9.999000099990002e-05,,0.6285963755323678,1877,2158,3,patient,6387096890430611538,2000,12182297517219199280,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.03463074314252784,0.8273841236014917,0.02863997478544345,0.02989160982402057
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,probability_shift,0.1938689501004404,0.19090729282788063,0.19694597372217326,9.999000099990002e-05,,2.926007876134399,1877,2158,3,patient,1396089270838451533,2000,3625271638768100154,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.1939816645657023,1.0,0.1922764867266007,0.1869199344702231
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,-0.07182547333500526,-0.10755790062401574,-0.036093046045994774,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,-0.11804039247788849,-0.15992193183239065,-0.07615885312338633,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,-0.17024967012232806,-0.22661940995974791,-0.1138799302849082,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,LA,noisy_minus_clean,covariance,loss,0.025843881161562072,0.02080886235917995,0.031137177548332597,9.999000099990002e-05,,0.217129044724108,1877,2158,3,patient,6037830446299377489,2000,4089359909994908777,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.030411576007937882,0.7032498668087374,0.028428590364908003,0.02916216997512626
resnet,bandpass,10,LA,noisy_minus_clean,covariance,mean_probability,0.011161542507601579,0.010381413577535694,0.011970157607110059,9.999000099990002e-05,,0.6344865200448376,1877,2158,3,patient,10287145671783767689,2000,10680538339589737201,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.008311917819082738,0.8209909429941395,0.010904171155092299,0.00966472283202957
resnet,bandpass,10,LA,noisy_minus_clean,covariance,probability_shift,0.06365574682475612,0.06197785593059234,0.06520989005963496,9.999000099990002e-05,,1.7250287197434948,1877,2158,3,patient,2310258488284241422,2000,4174801945124560278,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.05748649028440317,1.0,0.06227003908555514,0.058676672881347654
resnet,bandpass,10,LA,noisy_minus_clean,covariance,macro_auroc,-0.012081855194120564,-0.020079640363543705,-0.004084070024697425,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
