kind,condition,lead_i,lead_j,covariance
bandpass,independent_rms,II,V3,-1.634100602680314e-05
bandpass,independent_rms,II,V4,1.4744878999589885e-06
bandpass,independent_rms,II,V5,-1.1016498898383035e-05
bandpass,independent_rms,II,V6,-2.9908344889124267e-05
bandpass,independent_rms,III,I,-7.339994201156391e-06
bandpass,independent_rms,III,II,2.6225399318650822e-05
bandpass,independent_rms,III,III,0.0068253232460439685
bandpass,independent_rms,III,aVR,-2.5641848159904473e-05
bandpass,independent_rms,III,aVL,-1.1546897804901228e-05
bandpass,independent_rms,III,aVF,-1.87923223293704e-05
bandpass,independent_rms,III,V1,5.301982435720978e-05
bandpass,independent_rms,III,V2,7.71350959012035e-06
bandpass,independent_rms,III,V3,-1.6645901210918443e-05
bandpass,independent_rms,III,V4,4.0511975477671294e-05
bandpass,independent_rms,III,V5,-9.978463665766245e-06
bandpass,independent_rms,III,V6,-1.7892164011062769e-06
bandpass,independent_rms,aVR,I,-2.6379599547204834e-05
bandpass,independent_rms,aVR,II,-1.6084554190306896e-05
bandpass,independent_rms,aVR,III,-2.5641848159904473e-05
bandpass,independent_rms,aVR,aVR,0.005143100423528295
bandpass,independent_rms,aVR,aVL,1.2864668155828568e-05
bandpass,independent_rms,aVR,aVF,2.567379231142155e-06
bandpass,independent_rms,aVR,V1,-2.0583894076675172e-05
bandpass,independent_rms,aVR,V2,-6.9831510825472414e-06
bandpass,independent_rms,aVR,V3,-9.734381101988512e-06
bandpass,independent_rms,aVR,V4,1.010541047222342e-05
bandpass,independent_rms,aVR,V5,-9.153779198841706e-06
bandpass,independent_rms,aVR,V6,-4.013309143184632e-05
bandpass,independent_rms,aVL,I,6.127057135300171e-06
bandpass,independent_rms,aVL,II,-1.7981177432461277e-05
bandpass,independent_rms,aVL,III,-1.1546897804901228e-05
bandpass,independent_rms,aVL,aVR,1.2864668155828568e-05
bandpass,independent_rms,aVL,aVL,0.0051221440096008075
bandpass,independent_rms,aVL,aVF,-1.8906772230127878e-05
bandpass,independent_rms,aVL,V1,2.8228461782496337e-05
bandpass,independent_rms,aVL,V2,-1.2632692654422475e-05
bandpass,independent_rms,aVL,V3,1.3579605737991103e-05
bandpass,independent_rms,aVL,V4,6.4788881702793904e-06
bandpass,independent_rms,aVL,V5,2.915286288266048e-06
bandpass,independent_rms,aVL,V6,2.6759680595363174e-05
bandpass,independent_rms,aVF,I,-6.502159983912273e-06
bandpass,independent_rms,aVF,II,-4.061599225101043e-05
bandpass,independent_rms,aVF,III,-1.87923223293704e-05
bandpass,independent_rms,aVF,aVR,2.567379231142155e-06
bandpass,independent_rms,aVF,aVL,-1.8906772230127878e-05
bandpass,independent_rms,aVF,aVF,0.005127894853962808
bandpass,independent_rms,aVF,V1,1.600698507426336e-07
bandpass,independent_rms,aVF,V2,-3.3424887589693393e-06
bandpass,independent_rms,aVF,V3,-2.8101203479168367e-05
bandpass,independent_rms,aVF,V4,-2.6927553719241392e-05
bandpass,independent_rms,aVF,V5,-1.9480023210418782e-05
bandpass,independent_rms,aVF,V6,1.819981705110982e-05
bandpass,independent_rms,V1,I,1.119218994413262e-05
bandpass,independent_rms,V1,II,-1.8872850897207185e-05
bandpass,independent_rms,V1,III,5.301982435720978e-05
bandpass,independent_rms,V1,aVR,-2.0583894076675172e-05
bandpass,independent_rms,V1,aVL,2.8228461782496337e-05
bandpass,independent_rms,V1,aVF,1.600698507426336e-07
bandpass,independent_rms,V1,V1,0.004590569936054048
bandpass,independent_rms,V1,V2,5.869622919667727e-07
bandpass,independent_rms,V1,V3,4.0332087788401256e-05
bandpass,independent_rms,V1,V4,2.091952750239658e-05
bandpass,independent_rms,V1,V5,-1.3368186834806535e-05
bandpass,independent_rms,V1,V6,2.725908223147484e-05
bandpass,independent_rms,V2,I,4.2970860262055485e-06
bandpass,independent_rms,V2,II,-8.173471183972527e-06
bandpass,independent_rms,V2,III,7.71350959012035e-06
bandpass,independent_rms,V2,aVR,-6.9831510825472414e-06
bandpass,independent_rms,V2,aVL,-1.2632692654422475e-05
bandpass,independent_rms,V2,aVF,-3.3424887589693393e-06
bandpass,independent_rms,V2,V1,5.869622919667727e-07
bandpass,independent_rms,V2,V2,0.00454027572107883
bandpass,independent_rms,V2,V3,5.873562050373366e-06
bandpass,independent_rms,V2,V4,2.8993806257868478e-05
bandpass,independent_rms,V2,V5,1.6523842062942765e-05
bandpass,independent_rms,V2,V6,-6.14565454907075e-06
bandpass,independent_rms,V3,I,3.540332416482219e-05
bandpass,independent_rms,V3,II,-1.634100602680314e-05
bandpass,independent_rms,V3,III,-1.6645901210918443e-05
bandpass,independent_rms,V3,aVR,-9.734381101988512e-06
bandpass,independent_rms,V3,aVL,1.3579605737991103e-05
bandpass,independent_rms,V3,aVF,-2.8101203479168367e-05
bandpass,independent_rms,V3,V1,4.0332087788401256e-05
bandpass,independent_rms,V3,V2,5.873562050373366e-06
bandpass,independent_rms,V3,V3,0.004508850333487778
bandpass,independent_rms,V3,V4,-1.088121237466768e-05
bandpass,independent_rms,V3,V5,-1.2355571520879465e-05
bandpass,independent_rms,V3,V6,1.2731811055636816e-05
bandpass,independent_rms,V4,I,5.596460931243524e-05
bandpass,independent_rms,V4,II,1.4744878999589885e-06
bandpass,independent_rms,V4,III,4.0511975477671294e-05
bandpass,independent_rms,V4,aVR,1.010541047222342e-05
bandpass,independent_rms,V4,aVL,6.4788881702793904e-06
bandpass,independent_rms,V4,aVF,-2.6927553719241392e-05
bandpass,independent_rms,V4,V1,2.091952750239658e-05
bandpass,independent_rms,V4,V2,2.8993806257868478e-05
bandpass,independent_rms,V4,V3,-1.088121237466768e-05
bandpass,independent_rms,V4,V4,0.004538422648148455
bandpass,independent_rms,V4,V5,1.9482306843352018e-05
bandpass,independent_rms,V4,V6,-3.760935831392891e-05
bandpass,independent_rms,V5,I,2.4445832467371452e-05
bandpass,independent_rms,V5,II,-1.1016498898383035e-05
bandpass,independent_rms,V5,III,-9.978463665766245e-06
bandpass,independent_rms,V5,aVR,-9.153779198841706e-06
bandpass,independent_rms,V5,aVL,2.915286288266048e-06
bandpass,independent_rms,V5,aVF,-1.9480023210418782e-05
bandpass,independent_rms,V5,V1,-1.3368186834806535e-05
bandpass,independent_rms,V5,V2,1.6523842062942765e-05
bandpass,independent_rms,V5,V3,-1.2355571520879465e-05
bandpass,independent_rms,V5,V4,1.9482306843352018e-05
bandpass,independent_rms,V5,V5,0.00457022204105537
bandpass,independent_rms,V5,V6,-1.1902574541296126e-05
bandpass,independent_rms,V6,I,4.657552952022789e-05
bandpass,independent_rms,V6,II,-2.9908344889124267e-05
bandpass,independent_rms,V6,III,-1.7892164011062769e-06
bandpass,independent_rms,V6,aVR,-4.013309143184632e-05
bandpass,independent_rms,V6,aVL,2.6759680595363174e-05
bandpass,independent_rms,V6,aVF,1.819981705110982e-05
bandpass,independent_rms,V6,V1,2.725908223147484e-05
bandpass,independent_rms,V6,V2,-6.14565454907075e-06
bandpass,independent_rms,V6,V3,1.2731811055636816e-05
bandpass,independent_rms,V6,V4,-3.760935831392891e-05
bandpass,independent_rms,V6,V5,-1.1902574541296126e-05
bandpass,independent_rms,V6,V6,0.004551776702068673
bandpass,electrode,I,I,0.006845597338797956
bandpass,electrode,I,II,0.0034367696120173037
bandpass,electrode,I,III,-0.003408827726780653
bandpass,electrode,I,aVR,-0.005141183475407631
bandpass,electrode,I,aVL,0.005127212532789307
bandpass,electrode,I,aVF,1.3970942618325898e-05
bandpass,electrode,I,V1,-2.3170377876617014e-05
bandpass,electrode,I,V2,-2.273093910765137e-06
bandpass,electrode,I,V3,-1.8795260290945582e-05
bandpass,electrode,I,V4,-7.894728985727116e-06
bandpass,electrode,I,V5,-3.21000506712494e-05
bandpass,electrode,I,V6,-8.45790312809472e-06
