architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,17,RA,20003,heldout,absolute macro-AUROC,fraction,0.892243953759521,0.8924334741040825,0.8970201098194736,0.8972729444857434,-0.00018952034456143352,-0.00025283466626979667,6.331432170836315e-05
resnet,5,17,RA,20004,heldout,absolute macro-AUROC,fraction,0.8927349082605227,0.8903762366169417,0.8972404645715055,0.8989959657707969,0.002358671643581056,-0.0017555011992913538,0.00411417284287241
resnet,5,17,RA,20005,heldout,absolute macro-AUROC,fraction,0.8928936477030266,0.8924385659909386,0.8983202639639833,0.9003320406493369,0.000455081712087968,-0.0020117766853535723,0.0024668583974415403
resnet,5,17,RA_LA_V1_V6,20001,heldout,absolute macro-AUROC,fraction,0.8944193720178332,0.8937506675839885,0.8989717152844164,0.898479131440794,0.0006687044338447024,0.000492583843622385,0.0001761205902223173
resnet,5,17,RA_LA_V1_V6,20002,heldout,absolute macro-AUROC,fraction,0.892945516798609,0.8941682626789829,0.8971101053144783,0.8974997410407374,-0.0012227458803738545,-0.0003896357262590522,-0.0008331101541148023
resnet,5,17,RA_LA_V1_V6,20003,heldout,absolute macro-AUROC,fraction,0.8935076608020258,0.8940308290738394,0.8972457588602751,0.8983856896036153,-0.0005231682718135344,-0.0011399307433401784,0.000616762471526644
resnet,5,17,RA_LA_V1_V6,20004,heldout,absolute macro-AUROC,fraction,0.8928345510907123,0.8917277586055539,0.8974820552394819,0.8988290889497618,0.0011067924851584365,-0.001347033710279888,0.0024538261954383245
resnet,5,17,RA_LA_V1_V6,20005,heldout,absolute macro-AUROC,fraction,0.8928878744347012,0.8930108032148707,0.897931387693332,0.8996369853516946,-0.0001229287801695067,-0.0017055976583625343,0.0015826688781930276
resnet,5,17,RA_V1,20001,heldout,absolute macro-AUROC,fraction,0.8904162429076905,0.890095572340762,0.898924479615169,0.8990193416562917,0.000320670566928527,-9.486204112274521e-05,0.00041553260805127223
resnet,5,17,RA_V1,20002,heldout,absolute macro-AUROC,fraction,0.8933041589571606,0.8935522126322837,0.8969496084091582,0.8975560186376874,-0.0002480536751230389,-0.0006064102285292527,0.00035835655340621386
resnet,5,17,RA_V1,20003,heldout,absolute macro-AUROC,fraction,0.8932692411707908,0.8934759327470749,0.8976166213797896,0.8978884394024294,-0.00020669157628416812,-0.0002718180226397582,6.512644635559006e-05
resnet,5,17,RA_V1,20004,heldout,absolute macro-AUROC,fraction,0.892634371801815,0.8910921942863709,0.8968103320674929,0.8981571512718156,0.0015421775154441653,-0.001346819204322669,0.0028889967197668343
resnet,5,17,RA_V1,20005,heldout,absolute macro-AUROC,fraction,0.8923634426206496,0.8930199613991304,0.8969921391523024,0.8995119099086295,-0.0006565187784808302,-0.0025197707563271443,0.0018632519778463141
resnet,5,17,RA_V2_V5,20001,heldout,absolute macro-AUROC,fraction,0.8938122259869402,0.8930439928173011,0.899831726161073,0.8993490649900757,0.0007682331696391431,0.00048266117099726724,0.0002855719986418759
resnet,5,17,RA_V2_V5,20002,heldout,absolute macro-AUROC,fraction,0.8948421829912074,0.894889998339868,0.8985842468646424,0.8994279434670212,-4.781534866060699e-05,-0.0008436966023787074,0.0007958812537181004
resnet,5,17,RA_V2_V5,20003,heldout,absolute macro-AUROC,fraction,0.8959907349572387,0.8944227900359968,0.8979859443988684,0.8972607344300112,0.0015679449212419039,0.0007252099688571656,0.0008427349523847383
resnet,5,17,RA_V2_V5,20004,heldout,absolute macro-AUROC,fraction,0.8962333776754337,0.8943087908821299,0.898078348794294,0.8998010031734822,0.001924586793303762,-0.001722654379188171,0.003647241172491933
resnet,5,17,RA_V2_V5,20005,heldout,absolute macro-AUROC,fraction,0.8964347441716685,0.895455206649338,0.8987831119910176,0.8986939377264168,0.000979537522330487,8.917426460075539e-05,0.0008903632577297316
resnet,5,29,LA,20001,heldout,absolute macro-AUROC,fraction,0.8947023605925597,0.8889052605233847,0.8957616012378808,0.8952583801645758,0.0057971000691749985,0.0005032210733050269,0.005293878995869972
resnet,5,29,LA,20002,heldout,absolute macro-AUROC,fraction,0.8968202765273092,0.8872823178051407,0.8938360395411944,0.8942844425179841,0.00953795872216856,-0.0004484029767897191,0.00998636169895828
resnet,5,29,LA,20003,heldout,absolute macro-AUROC,fraction,0.8927523388157999,0.8867242346281312,0.8968667706043896,0.8974156244307727,0.006028104187668637,-0.0005488538263831444,0.006576958014051781
resnet,5,29,LA,20004,heldout,absolute macro-AUROC,fraction,0.8942516425891333,0.8901766862736945,0.8958231659443637,0.8959429684622308,0.004074956315438749,-0.00011980251786702922,0.004194758833305778
resnet,5,29,LA,20005,heldout,absolute macro-AUROC,fraction,0.8953831502069305,0.8880746015435556,0.8932950873921136,0.892451096192856,0.007308548663374936,0.0008439911992575988,0.0064645574641173376
resnet,5,29,LA_V3_V6,20001,heldout,absolute macro-AUROC,fraction,0.8967987021511584,0.8931485105321025,0.8970227235816521,0.8965056710668389,0.003650191619055887,0.0005170525148132654,0.0031331391042426215
resnet,5,29,LA_V3_V6,20002,heldout,absolute macro-AUROC,fraction,0.8962726305922392,0.8923838493891025,0.8947587147193647,0.8958593667609607,0.0038887812031366265,-0.0011006520415959287,0.004989433244732555
resnet,5,29,LA_V3_V6,20003,heldout,absolute macro-AUROC,fraction,0.8945894362477546,0.8929566540631679,0.8982039212358888,0.898398454897324,0.001632782184586623,-0.00019453366143518114,0.0018273158460218042
resnet,5,29,LA_V3_V6,20004,heldout,absolute macro-AUROC,fraction,0.8953660274764926,0.893998767732314,0.8962479814675511,0.8976460389342156,0.0013672597441786172,-0.0013980574666644374,0.0027653172108430546
resnet,5,29,LA_V3_V6,20005,heldout,absolute macro-AUROC,fraction,0.8972604071498932,0.8931454354381954,0.8947310464266799,0.8945792141295884,0.004114971711697835,0.00015183229709148094,0.003963139414606354
resnet,5,29,LA_V6,20001,heldout,absolute macro-AUROC,fraction,0.896050303902331,0.8914796464859615,0.8960403088072875,0.894768561749428,0.004570657416369528,0.0012717470578594847,0.0032989103585100432
resnet,5,29,LA_V6,20002,heldout,absolute macro-AUROC,fraction,0.8962327152831525,0.8910657304369856,0.8939588696294034,0.8945847107655922,0.005166984846166955,-0.0006258411361887983,0.005792825982355754
resnet,5,29,LA_V6,20003,heldout,absolute macro-AUROC,fraction,0.8936499116886756,0.8901425999043424,0.897082826905734,0.8974977635782663,0.003507311784333167,-0.000414936672532229,0.003922248456865396
resnet,5,29,LA_V6,20004,heldout,absolute macro-AUROC,fraction,0.8940773633117886,0.8919422766278003,0.8957795715815647,0.8965523826733849,0.0021350866839882077,-0.000772811091820147,0.0029078977758083546
resnet,5,29,LA_V6,20005,heldout,absolute macro-AUROC,fraction,0.895925002677908,0.8906556507887027,0.8941045891490853,0.8933769286220213,0.005269351889205298,0.0007276605270639669,0.004541691362141331
