model,strategy,group_id,kind,combo_set,combo_id,condition,snr,seed,outcome,n_cases,n_noise_seeds,metric,value,recomputed_value,absolute_error,passed
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,17,absolute,50,5,macro_auroc,0.9158698366795136,0.9158698366795133,3.3306690738754696e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,absolute,100,5,macro_auroc,0.9121386480277762,0.9121386480277762,0.0,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,17,absolute,50,5,macro_auroc,0.908407459376039,0.908407459376039,0.0,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,29,absolute,50,5,macro_auroc,0.9206986908674567,0.9206986908674567,0.0,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,29,absolute,50,5,macro_auroc,0.9146352390955922,0.9146352390955923,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,29,absolute,50,5,macro_auroc,0.9203702061304325,0.9203702061304326,1.1102230246251565e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,absolute,100,5,macro_auroc,0.9158022085890762,0.9158022085890762,0.0,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,29,absolute,50,5,macro_auroc,0.91123421104772,0.9112342110477197,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,43,absolute,50,5,macro_auroc,0.9161404085907623,0.9161404085907621,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,43,absolute,50,5,macro_auroc,0.911279992721085,0.911279992721085,0.0,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,43,absolute,50,5,macro_auroc,0.9157366810722976,0.9157366810722976,0.0,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,absolute,100,5,macro_auroc,0.9116298510750402,0.9116298510750401,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,43,absolute,50,5,macro_auroc,0.9075230210777829,0.9075230210777832,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,101,absolute,50,5,macro_auroc,0.9136971764251319,0.9136971764251319,0.0,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,101,absolute,50,5,macro_auroc,0.9092497230051947,0.9092497230051947,0.0,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,101,absolute,50,5,macro_auroc,0.9135605701258556,0.9135605701258553,2.220446049250313e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,absolute,100,5,macro_auroc,0.9096279607569318,0.9096279607569319,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,101,absolute,50,5,macro_auroc,0.9056953513880082,0.9056953513880083,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,202,absolute,50,5,macro_auroc,0.916823822210454,0.9168238222104541,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,202,absolute,50,5,macro_auroc,0.9125929007256111,0.9125929007256107,3.3306690738754696e-16,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,202,absolute,50,5,macro_auroc,0.9165918986283254,0.9165918986283255,1.1102230246251565e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,absolute,100,5,macro_auroc,0.9129699242661979,0.9129699242661977,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,202,absolute,50,5,macro_auroc,0.90934794990407,0.9093479499040699,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,17,absolute,50,5,macro_auroc,0.9161260508493123,0.9161260508493123,0.0,True
tcn,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,17,absolute,50,5,macro_auroc,0.9109720711506116,0.9109720711506119,2.220446049250313e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,17,absolute,50,5,macro_auroc,0.9159685722249423,0.9159685722249423,0.0,True
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,absolute,100,5,macro_auroc,0.9118446673981524,0.9118446673981526,2.220446049250313e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,17,absolute,50,5,macro_auroc,0.9077207625713626,0.9077207625713625,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,29,absolute,50,5,macro_auroc,0.921624867437441,0.9216248674374411,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,29,absolute,50,5,macro_auroc,0.9157672781654027,0.9157672781654026,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,29,absolute,50,5,macro_auroc,0.9211934214229597,0.9211934214229597,0.0,True
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,absolute,100,5,macro_auroc,0.9154382615274992,0.9154382615274993,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,29,absolute,50,5,macro_auroc,0.9096831016320392,0.9096831016320392,0.0,True
tcn,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,43,absolute,50,5,macro_auroc,0.916627940678003,0.9166279406780029,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,43,absolute,50,5,macro_auroc,0.9118078364849425,0.9118078364849425,0.0,True
tcn,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,43,absolute,50,5,macro_auroc,0.916144167978013,0.9161441679780132,2.220446049250313e-16,True
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,absolute,100,5,macro_auroc,0.911091219695486,0.9110912196954861,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,43,absolute,50,5,macro_auroc,0.9060382714129591,0.9060382714129591,0.0,True
tcn,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,101,absolute,50,5,macro_auroc,0.9143853784986794,0.9143853784986794,0.0,True
tcn,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,101,absolute,50,5,macro_auroc,0.910237021704299,0.9102370217042991,1.1102230246251565e-16,True
tcn,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,101,absolute,50,5,macro_auroc,0.9143252921765103,0.91432529217651,2.220446049250313e-16,True
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,absolute,100,5,macro_auroc,0.9091591963520084,0.9091591963520084,0.0,True
tcn,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,101,absolute,50,5,macro_auroc,0.903993100527506,0.9039931005275064,3.3306690738754696e-16,True
tcn,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,202,absolute,50,5,macro_auroc,0.9172924845702236,0.9172924845702236,0.0,True
tcn,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,202,absolute,50,5,macro_auroc,0.9131307263967323,0.9131307263967323,0.0,True
tcn,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,202,absolute,50,5,macro_auroc,0.9170727297727516,0.9170727297727516,0.0,True
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,absolute,100,5,macro_auroc,0.9119402903440633,0.9119402903440633,0.0,True
tcn,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,202,absolute,50,5,macro_auroc,0.906807850915375,0.906807850915375,0.0,True
