model,strategy,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,n_seeds,mean,std,ci95_low,ci95_high,n_expected,n_undefined
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_CD,drop,5,0.0167521018300992,0.0041479048737015,0.0116017976804501,0.0219024059797483,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_CD,retention,5,0.9763324384297138,0.0058040382539095,0.9691257730856369,0.9835391037737908,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_HYP,absolute,5,0.5667616618980013,0.0218980471700987,0.5395716450959218,0.5939516787000807,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_HYP,drop,5,0.0282780778487447,0.0170969372231526,0.0070494264192062,0.0495067292782833,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_HYP,retention,5,0.9528337296922368,0.0282384572931467,0.9177710539065218,0.9878964054779515,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_MI,absolute,5,0.6334632622375441,0.0214160096947905,0.6068717740143398,0.6600547504607485,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_MI,drop,5,0.0557106447875499,0.0081726725114624,0.0455629315609574,0.0658583580141425,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_MI,retention,5,0.9189709634051336,0.0132858216713179,0.9024744369493026,0.9354674898609644,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_NORM,absolute,5,0.757047364983606,0.02618329615592,0.724536508792493,0.7895582211747191,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_NORM,drop,5,0.0871787179256317,0.0280876832636984,0.0523032528241469,0.1220541830271166,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_NORM,retention,5,0.8968002825932988,0.0329621336353902,0.8558723879542532,0.9377281772323444,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_STTC,absolute,5,0.6866371078454498,0.0132406801491542,0.6701966319925138,0.7030775836983859,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_STTC,drop,5,0.0571257540040864,0.010410344064856,0.0441996045698403,0.0700519034383324,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_STTC,retention,5,0.9232879623413112,0.0133256634236861,0.9067419658159394,0.939833958866683,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_ap,absolute,5,0.754791913225025,0.0103078220275763,0.7419930617134917,0.7675907647365584,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_ap,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_ap,drop,5,0.0288557434524545,0.0068113468927812,0.020398339236411,0.037313147668498,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,macro_ap,retention,5,0.9631604581251212,0.0087941802403515,0.9522410411269618,0.9740798751232804,5,0
