model,strategy,group_id,kind,combo_set,combo_id,condition,snr,seed,noise_seed,outcome,metric,value
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.994947480248219
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9946028983666475
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9932166183219493
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9930015801114382
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.9930510883177832
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9929604438896312
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9932198576763261
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9939238449905704
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9938031008224661
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9938058828940625
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9936126862424942
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9934103507602258
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9939922016042022
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9943913334605645
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9943917928590938
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9942706373391218
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9939014108461411
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9939456383988085
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9942182854967719
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9942802629906549
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9941132712089542
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9939090176482475
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9952214081025131
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9953881463524656
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9955137401304262
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.995312734003051
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9949752647033566
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9937950958633733
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9935772889930643
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.9936411229134468
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.993508825527298
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9936988245789192
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.994971894867945
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9949881116054567
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9950328218852901
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9948358813162073
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9945876713005438
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9946096382966126
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9948906076551057
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9951071994687021
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9948033861445196
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9944394286470707
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9953812725588855
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9956778030089328
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9955811190490671
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9953706666053739
tcn,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9952244802116129
