model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20005.0,-7.940300684028401e-06,2.0,5.0,0.0,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,summary,,,0.0001774306400385095,,,0.0,0.00022679933054849723,-1.1841749494445608e-05,0.0005305007157878627,5.0,3.0,2.0,0.0
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.00244190223339924,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,0.002492880791444274,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,0.0025380088634205933,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,0.0024227487539507653,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20005.0,0.0024563067667513483,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20001.0,0.004731375656468528,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20002.0,0.004789993465636577,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20003.0,0.004499764425447084,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20004.0,0.00458482396487081,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20005.0,0.004537065104652793,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20001.0,0.001907177504656632,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20002.0,0.0017137429744655819,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20003.0,0.001878657911099646,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20004.0,0.001742575143385161,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20005.0,0.0018509746609143285,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20001.0,0.005535562086187218,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20002.0,0.005623156549789066,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,0.005852234759821995,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,0.005685673944678782,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,0.0055307944962592615,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,0.0037986009163257783,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,0.003875959771774573,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,0.0038600834977486898,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,0.0036529212902065566,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,0.003659090909336249,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20001.0,0.0036829236794074793,5.0,5.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20002.0,0.0036991467106220143,5.0,5.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20003.0,0.0037257498915076017,5.0,5.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20004.0,0.003617748619418415,5.0,5.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20005.0,0.003606846387582796,5.0,5.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,summary,,,0.003666483057707662,,,0.0,5.191662486912537e-05,0.003606846387582796,0.0037257498915076017,5.0,5.0,0.0,0.0
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.0005333412075594346,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,0.0004919131851353065,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,0.0004989768718837162,,,,,,,,,,
