model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,clean_only,independent_rms,5,-0.18682792382603103,0.07798103591340744,-0.283654168662344,-0.09000167898971805,5,0,0,5,0,-2.3958122848417984,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,electrode,independent_rms,5,0.021679811677831638,0.029423654429607305,-0.01485448072300053,0.05821410407866381,5,0,4,1,0,0.7368157388368628,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,independent_rms,5,0.034855851983682885,0.0282098990634252,-0.00017136407633433492,0.0698830680437001,5,0,4,1,0,1.235589390281595,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,electrode,5,0.013176040305851244,0.027761592609263645,-0.02129452976987119,0.04764661038157368,5,0,3,2,0,0.4746139924787524,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,independent_rms,clean_only,5,0.012280559558258908,0.007668054850435116,0.0027594119142218577,0.021801707202295958,5,0,5,0,0,1.6015221327690503,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,electrode,clean_only,5,0.012574835758634561,0.0074130216616792,0.003370353643422837,0.021779317873846286,5,0,5,0,0,1.6963171473838787,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,clean_only,5,0.011109698072483276,0.007360927887458027,0.0019698989212525372,0.020249497223714014,5,0,5,0,0,1.5092795694157823,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,clean_only,independent_rms,5,-0.012280559558258908,0.007668054850435116,-0.021801707202295958,-0.0027594119142218577,5,0,0,5,0,-1.6015221327690503,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,electrode,independent_rms,5,0.00029427620037565384,0.001848719772254752,-0.0020012125836005377,0.0025897649843518457,5,0,2,3,0,0.15917837023874423,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,independent_rms,5,-0.0011708614857756316,0.0022538173751598042,-0.003969345379037672,0.0016276224074864092,5,0,2,3,0,-0.51950149052898,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,electrode,5,-0.0014651376861512856,0.003948780330553553,-0.006368196059414801,0.00343792068711223,5,0,2,3,0,-0.3710355004594286,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,independent_rms,clean_only,5,-0.003800373124561496,0.004183544188030386,-0.008994929327733435,0.001394183078610443,5,0,0,5,0,-0.9084099399343771,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,electrode,clean_only,5,-0.003141104206371126,0.004159406855395487,-0.008305689952597643,0.0020234815398553906,5,0,2,3,0,-0.7551808023532388,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,clean_only,5,-0.000671432728724497,0.004682055049474916,-0.006484971921265656,0.005142106463816662,5,0,3,2,0,-0.1434055605133897,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,clean_only,independent_rms,5,0.003800373124561496,0.004183544188030386,-0.001394183078610443,0.008994929327733435,5,0,5,0,0,0.9084099399343771,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,electrode,independent_rms,5,0.0006592689181903699,0.0009135079697543267,-0.00047500103992579267,0.0017935388763065324,5,0,4,1,0,0.7216892900974577,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,independent_rms,5,0.003128940395836999,0.003669176027063851,-0.0014269433800405138,0.007684824171714511,5,0,4,1,0,0.8527637738712799,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,electrode,5,0.002469671477646629,0.002964566432594239,-0.0012113239319890105,0.0061506668872822684,5,0,4,1,0,0.8330632940093919,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,independent_rms,clean_only,5,-0.008480186433697412,0.00534356007959218,-0.015115092606765874,-0.0018452802606289493,5,0,0,5,0,-1.586991875713058,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,electrode,clean_only,5,-0.009433731552263435,0.006620721520307721,-0.01765444310616244,-0.0012130199983644303,5,0,0,5,0,-1.4248796786464097,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,clean_only,5,-0.010438265343758779,0.007594806312651613,-0.019868462915508985,-0.001008067772008573,5,0,0,5,0,-1.374395200358232,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,clean_only,independent_rms,5,0.008480186433697412,0.00534356007959218,0.0018452802606289493,0.015115092606765874,5,0,5,0,0,1.586991875713058,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,electrode,independent_rms,5,-0.0009535451185660237,0.00227761403474532,-0.0037815764673129106,0.001874486230180863,5,0,2,3,0,-0.4186596605129578,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,independent_rms,5,-0.0019580789100613672,0.0024773784184792913,-0.005034150502214087,0.0011179926820913534,5,0,1,4,0,-0.7903834535150711,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,electrode,5,-0.0010045337914953434,0.0034062943093650087,-0.005234006802720237,0.00322493921972955,5,0,2,3,0,-0.29490516680650697,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,independent_rms,clean_only,5,0.01087404703632695,0.006867950626277322,0.0023463600022373896,0.01940173407041651,5,0,5,0,0,1.5833030299784023,,,,
