model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__train__covariance__s10,brier,clean_only,0.11217594072222706,4.0
resnet,17,bandpass__train__covariance__s10,ece,clean_only,0.07156484333299566,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_auroc,clean_only,0.8886035855762799,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_ap,clean_only,0.7508474665110839,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_f1,clean_only,0.6739779180113947,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,brier,clean_only,0.11754240989685054,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,ece,clean_only,0.07892495477919062,4.0
resnet,17,bandpass__train__covariance__s5,macro_auroc,clean_only,0.8703080356619854,4.0
resnet,17,bandpass__train__covariance__s5,macro_ap,clean_only,0.7229146938942099,4.0
resnet,17,bandpass__train__covariance__s5,macro_f1,clean_only,0.6352852322309297,4.0
resnet,17,bandpass__train__covariance__s5,brier,clean_only,0.13462413325905798,4.0
resnet,17,bandpass__train__covariance__s5,ece,clean_only,0.1019577863205386,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_auroc,clean_only,0.8585240169828527,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_ap,clean_only,0.7073076231811172,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_f1,clean_only,0.6062246916617513,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,brier,clean_only,0.14811955690383907,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,ece,clean_only,0.1168868043995613,4.0
resnet,17,bandpass__train__covariance__s0,macro_auroc,clean_only,0.8131318680772266,4.0
resnet,17,bandpass__train__covariance__s0,macro_ap,clean_only,0.6358884424161043,4.0
resnet,17,bandpass__train__covariance__s0,macro_f1,clean_only,0.5032765654784928,4.0
resnet,17,bandpass__train__covariance__s0,brier,clean_only,0.18764053404331205,4.0
resnet,17,bandpass__train__covariance__s0,ece,clean_only,0.15950437881964305,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_auroc,clean_only,0.7880361579067491,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_ap,clean_only,0.597275785260312,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_f1,clean_only,0.4367829977277152,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,brier,clean_only,0.21234131455421443,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,ece,clean_only,0.17860747238867966,4.0
resnet,17,bandpass__combo_V1__independent_rms__s20,macro_auroc,clean_only,0.9056892394927489,4.0
resnet,17,bandpass__combo_V1__independent_rms__s20,macro_ap,clean_only,0.7790544849140284,4.0
resnet,17,bandpass__combo_V1__independent_rms__s20,macro_f1,clean_only,0.7115756113710182,4.0
resnet,17,bandpass__combo_V1__independent_rms__s20,brier,clean_only,0.10043581724166865,4.0
resnet,17,bandpass__combo_V1__independent_rms__s20,ece,clean_only,0.05688257981834033,2.0
resnet,17,bandpass__combo_V1__independent_rms__s15,macro_auroc,clean_only,0.9031591319956916,4.0
resnet,17,bandpass__combo_V1__independent_rms__s15,macro_ap,clean_only,0.7747727167763815,4.0
resnet,17,bandpass__combo_V1__independent_rms__s15,macro_f1,clean_only,0.7062353199626292,4.0
resnet,17,bandpass__combo_V1__independent_rms__s15,brier,clean_only,0.10297947973012922,4.0
resnet,17,bandpass__combo_V1__independent_rms__s15,ece,clean_only,0.06047324083674697,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_auroc,clean_only,0.89610469011177,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_ap,clean_only,0.7624633356173508,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_f1,clean_only,0.692729797303582,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,brier,clean_only,0.1107018396258354,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,ece,clean_only,0.0727828241388923,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_auroc,clean_only,0.8764288700522291,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_ap,clean_only,0.7325667632779245,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_f1,clean_only,0.6524962819310957,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,brier,clean_only,0.1345871776342392,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,ece,clean_only,0.11139726572405055,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_auroc,clean_only,0.8217687925533601,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_ap,clean_only,0.6522473656599587,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_f1,clean_only,0.49693051454916104,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,brier,clean_only,0.20182889103889462,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,ece,clean_only,0.1925511277054779,4.0
resnet,17,bandpass__combo_V1__electrode__s20,macro_auroc,clean_only,0.9053726800256525,4.0
resnet,17,bandpass__combo_V1__electrode__s20,macro_ap,clean_only,0.7781172174956889,4.0
resnet,17,bandpass__combo_V1__electrode__s20,macro_f1,clean_only,0.7105033804704349,4.0
resnet,17,bandpass__combo_V1__electrode__s20,brier,clean_only,0.10054849982261652,4.0
resnet,17,bandpass__combo_V1__electrode__s20,ece,clean_only,0.056448477367431124,2.0
resnet,17,bandpass__combo_V1__electrode__s15,macro_auroc,clean_only,0.9026423604894299,4.0
resnet,17,bandpass__combo_V1__electrode__s15,macro_ap,clean_only,0.77304534256104,4.0
resnet,17,bandpass__combo_V1__electrode__s15,macro_f1,clean_only,0.7046132350924609,4.0
resnet,17,bandpass__combo_V1__electrode__s15,brier,clean_only,0.10317876338958738,4.0
resnet,17,bandpass__combo_V1__electrode__s15,ece,clean_only,0.060876541634481196,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_auroc,clean_only,0.8955925984091676,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_ap,clean_only,0.7608692458936936,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_f1,clean_only,0.692110162482489,4.0
resnet,17,bandpass__combo_V1__electrode__s10,brier,clean_only,0.11077723652124401,4.0
resnet,17,bandpass__combo_V1__electrode__s10,ece,clean_only,0.07311361340269014,4.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_auroc,clean_only,0.8757724588527983,4.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_ap,clean_only,0.7306796682389927,4.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_f1,clean_only,0.6518360060885431,4.0
resnet,17,bandpass__combo_V1__electrode__s5,brier,clean_only,0.13480502963066096,4.0
resnet,17,bandpass__combo_V1__electrode__s5,ece,clean_only,0.1112899207054491,4.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_auroc,clean_only,0.8216501459474111,4.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_ap,clean_only,0.6518238796976039,4.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_f1,clean_only,0.5001323729024152,4.0
resnet,17,bandpass__combo_V1__electrode__s0,brier,clean_only,0.20194849967956538,4.0
resnet,17,bandpass__combo_V1__electrode__s0,ece,clean_only,0.1921299926115267,4.0
resnet,17,bandpass__combo_V1__covariance__s20,macro_auroc,clean_only,0.9055222293252726,4.0
resnet,17,bandpass__combo_V1__covariance__s20,macro_ap,clean_only,0.77844147574637,4.0
resnet,17,bandpass__combo_V1__covariance__s20,macro_f1,clean_only,0.712349586271492,4.0
resnet,17,bandpass__combo_V1__covariance__s20,brier,clean_only,0.1004139974713325,4.0
resnet,17,bandpass__combo_V1__covariance__s20,ece,clean_only,0.05694316626855265,2.0
resnet,17,bandpass__combo_V1__covariance__s15,macro_auroc,clean_only,0.9030348680156326,4.0
resnet,17,bandpass__combo_V1__covariance__s15,macro_ap,clean_only,0.773761896478532,4.0
resnet,17,bandpass__combo_V1__covariance__s15,macro_f1,clean_only,0.7074564766778968,4.0
resnet,17,bandpass__combo_V1__covariance__s15,brier,clean_only,0.10304624885320657,4.0
resnet,17,bandpass__combo_V1__covariance__s15,ece,clean_only,0.061436362708897116,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_auroc,clean_only,0.8960201866508151,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_ap,clean_only,0.761585227381806,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_f1,clean_only,0.6936121787984837,4.0
