model,lhs,rhs,group_id,kind,snr,pressure,auroc_difference,auroc_difference_sd,seed_t95_low,seed_t95_high,ap_difference,retention_difference,positive_seed_count,n_seeds,paired_seed_differences,inference
resnet,electrode,clean_only,ma__all__electrode__s0,ma,0,True,0.01027053786031995,0.004369074771668846,0.004845615010878403,0.015695460709761497,0.01671819042672489,0.008996098937819719,5,5,"[0.016116733142587436, 0.006266261223256575, 0.009506921816759273, 0.006197369789245455, 0.013265403329751013]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,ma__all__electrode__s0,ma,0,True,0.0007813626001208273,0.0026097448210071804,-0.002459063588622521,0.0040217887888641755,-0.00011109137752249865,-9.442397089554078e-07,3,5,"[-0.002005773151047996, 0.0010526943971880254, 0.002076169680191753, -0.001521846517316905, 0.004305568591589259]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,em__all__electrode__s20,em,20,False,0.002269152842673883,0.00206806881178796,-0.000298693746731268,0.004836999432079034,0.0034769188569260256,0.0001124705443452001,5,5,"[0.0030213207715309442, 0.0008217251583562124, 0.0016285153261952345, 0.00037350012912340524, 0.005500702828163617]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,em__all__electrode__s20,em,20,False,0.0009001141194759921,0.001092154942462154,-0.0004559753530395706,0.0022562035919915548,-0.0004557807756343735,0.00010594151150338238,4,5,"[0.00067189719671501, 0.0005596582217448631, 0.0011270287486224717, -0.00042789419083721913, 0.0025698806211348346]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,em__all__electrode__s10,em,10,False,0.0034707762560318043,0.0022143172336407356,0.0007213382664179452,0.0062202142456456635,0.0055853370224981935,0.0014478546828387672,5,5,"[0.006129911376241304, 0.0011970954903506303, 0.00314710857336864, 0.001533904186243218, 0.005345861653955231]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,em__all__electrode__s10,em,10,False,0.0011996253521847633,0.0011321150366910917,-0.00020608113069970138,0.002605331835069228,0.00028702033717018514,0.000439782671704525,5,5,"[0.0009754000942431285, 0.000142665887947091, 0.0021214292812408164, 0.00014541992879002485, 0.0026132115687027557]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,em__all__electrode__s0,em,0,True,0.010393026590804988,0.008065985800401519,0.0003777824124236301,0.020408270769186346,0.014845200280132077,0.009196893537358686,5,5,"[0.02286063367493918, 0.005093465557731269, 0.009209590376317522, 0.012758222743900816, 0.002043220601136153]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,em__all__electrode__s0,em,0,True,0.0011099763315324917,0.004823452221605043,-0.004879130639090466,0.00709908330215545,0.00045263719490022946,0.000385998826677425,3,5,"[-0.0021049128672994133, 0.006467835015232404, 0.005360797103408643, 0.000697937477991295, -0.00487177507167047]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bw__all__electrode__s20,bw,20,False,-0.0006808009707956142,0.0005167603284563342,-0.0013224436663397978,-3.9158275251430664e-05,-0.0013418591800064884,0.0001516161988703857,1,5,"[-0.000537820119486776, -0.0008803952276308369, -0.001095996998124238, -0.0010466411112167728, 0.00015684860248055266]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bw__all__electrode__s20,bw,20,False,-0.0004680520664906984,0.0002369040305355702,-0.0007622072722360818,-0.00017389686074531513,-0.0006972824493964635,4.3686220532679346e-05,0,5,"[-0.00013675392922762875, -0.000794001873075878, -0.00044808669577300897, -0.000543052075602346, -0.00041836575877463034]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bw__all__electrode__s10,bw,10,False,-0.00013787575281454245,0.0007055161378250128,-0.0010138897413036274,0.0007381382356745424,-0.0004098747931695179,0.0007417717736755592,1,5,"[-0.00021933282320241165, -0.0005859386576642089, -0.0003846131527507346, -0.0005927919516733882, 0.001093297821218031]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bw__all__electrode__s10,bw,10,False,-0.0003977061924927305,0.00035102318153842785,-0.0008335590395439414,3.8146654558480304e-05,-0.000592186818700835,0.00011917352341814791,0,5,"[-9.006101251718412e-05, -0.0007361430198294938, -0.0004054331169413006, -0.0007545336701816341, -2.360142994040082e-06]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bw__all__electrode__s0,bw,0,True,0.0017469499839154689,0.0012985656999805317,0.0001345677049473693,0.0033593322628835687,0.004337884447607521,0.0027777938144891044,4,5,"[0.001983088481296136, -0.0001642234750882654, 0.002572380880837999, 0.0011731288567741194, 0.003170375175757356]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bw__all__electrode__s0,bw,0,True,0.00019187803934057613,0.0006216297645614577,-0.0005799772595272694,0.0009637333382084218,0.0008272645944655376,0.0007498008416406465,3,5,"[0.00024746511658479964, -0.0002579280912166082, 0.0007530495308938345, -0.0006027341644063711, 0.0008195378048472257]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,ma__all__electrode__s20,ma,20,False,-0.0007781375720006034,0.0004976292112181469,-0.0013960258480247142,-0.00016024929597649245,-0.0015112558478133308,4.551298580006691e-05,0,5,"[-0.0005365085425154126, -0.0009640685252506609, -0.0011775798160755802, -0.001188910443156388, -2.3620533004975464e-05]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,ma__all__electrode__s20,ma,20,False,-0.0004998765549354411,0.00027045105565157043,-0.0008356858940141994,-0.00016406721585668284,-0.0007868763684288682,8.969529913027685e-06,0,5,"[-0.00010906175825087239, -0.0008409377812702568, -0.0004411751138272413, -0.0006383329887480471, -0.00046987513258078817]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,ma__all__electrode__s10,ma,10,False,-0.00017354751603833042,0.0006883827030640309,-0.0010282875354191312,0.0006811925033424703,-0.0005885260090238154,0.000702810585435354,2,5,"[9.68870475219763e-05, -0.0004716393869832469, -0.00040453587508859634, -0.000951606894025181, 0.0008631575283833959]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,ma__all__electrode__s10,ma,10,False,-0.00041642732974989105,0.00040758370532632875,-0.0009225093429080862,8.965468340830412e-05,-0.0007245638345703797,9.90754133719518e-05,0,5,"[-7.316159987391657e-06, -0.0009086240814654145, -0.0003338698271252438, -0.0007683368517658051, -6.398972840560013e-05]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,ma__all__electrode__s0,ma,0,True,0.004122040496001333,0.0006662075407640292,0.00329483457730277,0.004949246414699897,0.0075033338554746365,0.005366761540195264,5,5,"[0.003683365714819975, 0.0032159374713014444, 0.004263439712278161, 0.004629342447516005, 0.004818117134091082]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,ma__all__electrode__s0,ma,0,True,0.000998551271317627,0.0006853841093148914,0.00014753449784037174,0.0018495680447948824,0.001845237160676283,0.0016307157004443295,5,5,"[0.0010324926411336977, 8.703356631556414e-05, 0.0017148477592305866, 0.0005688468440872008, 0.0015895355458210858]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,em__all__electrode__s20,em,20,False,-0.0007781115494261525,0.0005011433756374666,-0.0014003632368935013,-0.00015585986195880387,-0.001560338038646991,4.56096082807278e-05,0,5,"[-0.0005061055033245276, -0.0009914903091889915, -0.0012839250388284595, -0.0010689238869115991, -4.011300887718505e-05]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,em__all__electrode__s20,em,20,False,-0.0004924166953779619,0.0002675438693747478,-0.0008246162859207175,-0.0001602171048352063,-0.000824117789987322,1.7138905120628323e-05,0,5,"[-0.00011693329306450284, -0.0008564725535860074, -0.00042520230955889193, -0.000582651237210241, -0.00048082408347016603]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,em__all__electrode__s10,em,10,False,-0.0002521873943553521,0.0007974078787017341,-0.0012423000492233311,0.000737925260512627,-0.0006561743532074616,0.0006165215591543482,2,5,"[0.00017027679600478685, -0.0007404132025073951, -0.0010464930434882502, -0.0005724262287730708, 0.0009281187069871688]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,em__all__electrode__s10,em,10,False,-0.00023922061739340973,0.000393986210343653,-0.00072841911056586,0.00024997787577904056,-0.00044141225999088095,0.00029166803382012495,2,5,"[0.00011924948032260296, -0.0007573198325390162, 2.8567850317795518e-05, -0.0005638673286888496, -2.2733256379581235e-05]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,em__all__electrode__s0,em,0,True,0.0060594230690082405,0.002712240916434931,0.0026917311686157964,0.009427114969400685,0.01020781970416842,0.007458897472723191,5,5,"[0.005612255174415104, 0.005774683190422292, 0.003296331818248288, 0.010581970768129612, 0.005031874393825908]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,em__all__electrode__s0,em,0,True,0.005107346899247811,0.0009536356392224719,0.003923251858621232,0.00629144193987439,0.007848527730550715,0.006095406461035302,5,5,"[0.0037816037240283595, 0.005219210146633846, 0.006018575408614835, 0.004554599089595657, 0.0059627461273663585]",secondary descriptive; no added hypothesis test
