kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bw,10,independent_rms,all,II,0.0632753700586092,0.005505475863887102,8.67589244287085,-0.6989442466424649,18.347658102492073
bw,10,independent_rms,all,III,0.06054936471369471,0.005593899391243151,7.885534365765666,-1.1511559837724674,17.394621960782175
bw,10,independent_rms,all,aVR,0.05931763933590973,0.004296008431401883,7.490645559197749,-0.18531808035747485,17.41131447744382
bw,10,independent_rms,all,aVL,0.056385288954011306,0.004362326076918921,6.087387890827145,-1.985529174736263,14.221621825314571
bw,10,independent_rms,all,aVF,0.052007355630698485,0.0040788149539305665,8.733775457338236,0.5931837500731132,16.83505655035829
bw,10,independent_rms,all,V1,0.057194389504524046,0.0043580409190650485,10.624737788796692,1.6043450543001232,18.02153263388798
bw,10,independent_rms,all,V2,0.06168282859361184,0.005291367907805954,14.69686084482625,5.656233295734224,24.42368619975796
bw,10,independent_rms,all,V3,0.05817570439597179,0.005183257121460762,14.567309847342052,6.659258352213876,24.430393279307278
bw,10,independent_rms,all,V4,0.059066650854555064,0.006178426192368854,14.320923573959151,5.0187658024278345,23.24878049729389
bw,10,independent_rms,all,V5,0.06358572280233457,0.0055463986588005455,11.443916127763542,2.140524821988535,18.688134027587907
bw,10,independent_rms,all,V6,0.05428360239638289,0.004156397767536341,11.878211115364573,3.2593451383999086,20.253983331319766
bw,0,independent_rms,all,I,0.21519992162855778,0.058834906945382404,-3.58504864098364,-11.20042485106432,5.132154023017648
bw,0,independent_rms,all,II,0.20009428917522704,0.05505475863887103,-1.3241075571291494,-10.698944246642466,8.347658102492074
bw,0,independent_rms,all,III,0.19147390337150433,0.05593899391243152,-2.1144656342343344,-11.151155983772467,7.394621960782174
bw,0,independent_rms,all,aVR,0.18757884572587244,0.042960084314018834,-2.509354440802251,-10.185318080357474,7.411314477443821
bw,0,independent_rms,all,aVL,0.17830593962140884,0.04362326076918921,-3.912612109172854,-11.985529174736262,4.221621825314571
bw,0,independent_rms,all,aVF,0.16446169887538997,0.040788149539305665,-1.2662245426617642,-9.406816249926887,6.83505655035829
bw,0,independent_rms,all,V1,0.18086454021712522,0.04358040919065049,0.6247377887966912,-8.395654945699876,8.02153263388798
bw,0,independent_rms,all,V2,0.1950582308775741,0.05291367907805954,4.696860844826251,-4.343766704265777,14.423686199757961
bw,0,independent_rms,all,V3,0.183967730375941,0.05183257121460762,4.567309847342052,-3.340741647786123,14.430393279307276
bw,0,independent_rms,all,V4,0.186785150458325,0.06178426192368854,4.320923573959152,-4.9812341975721655,13.24878049729389
bw,0,independent_rms,all,V5,0.20107571072348174,0.055463986588005464,1.4439161277635426,-7.859475178011465,8.688134027587907
bw,0,independent_rms,all,V6,0.17165982317154432,0.04156397767536341,1.8782111153645729,-6.740654861600091,10.253983331319766
bw,20,electrode,all,I,0.02151999216285578,0.0005883490694538239,16.41495135901636,8.79957514893568,25.132154023017648
bw,20,electrode,all,II,0.020009428917522706,0.0005505475863887103,18.675892442870854,9.301055753357534,28.347658102492073
bw,20,electrode,all,III,0.019147390337150436,0.0005593899391243152,17.885534365765665,8.848844016227531,27.394621960782175
bw,20,electrode,all,aVR,0.018757884572587244,0.00042960084314018834,17.490645559197745,9.814681919642524,27.41131447744382
bw,20,electrode,all,aVL,0.01783059396214088,0.000436232607691892,16.087387890827145,8.01447082526374,24.221621825314575
bw,20,electrode,all,aVF,0.016446169887538997,0.0004078814953930567,18.733775457338236,10.593183750073113,26.83505655035829
bw,20,electrode,all,V1,0.018086454021712522,0.0004358040919065049,20.62473778879669,11.604345054300126,28.02153263388798
bw,20,electrode,all,V2,0.01950582308775741,0.0005291367907805952,24.69686084482625,15.656233295734223,34.42368619975796
bw,20,electrode,all,V3,0.0183967730375941,0.0005183257121460762,24.567309847342052,16.659258352213875,34.430393279307275
bw,20,electrode,all,V4,0.018678515045832504,0.0006178426192368854,24.320923573959153,15.018765802427836,33.24878049729389
bw,20,electrode,all,V5,0.02010757107234817,0.0005546398658800545,21.443916127763543,12.140524821988537,28.68813402758791
bw,20,electrode,all,V6,0.01716598231715443,0.00041563977675363405,21.878211115364575,13.259345138399908,30.253983331319766
bw,10,electrode,all,I,0.06805219046359742,0.005883490694538239,6.41495135901636,-1.2004248510643196,15.13215402301765
bw,10,electrode,all,II,0.0632753700586092,0.005505475863887102,8.67589244287085,-0.6989442466424649,18.347658102492073
