kind,snr,condition,active,n_records,actual_snr_mean,actual_snr_max_error,offdiag_abs_corr_mean,covariance_relative_error_mean,correlation_mae_mean,rms_relative_error_max,psd_band_relative_error
bw,0,independent_rms,all,64,0.0,3.552713678800501e-15,0.40498350831012736,1.0038733798763237,0.5775802529838682,3.566514919642443e-16,0.23766829984007015
bw,20,electrode,all,64,20.0,1.7763568394002505e-15,0.5108831136876297,0.0,0.0,0.0,0.0
bw,10,electrode,all,64,10.0,1.7763568394002505e-15,0.5108831136876297,0.0,0.0,0.0,0.0
bw,0,electrode,all,64,0.0,1.7763568394002505e-15,0.5108831136876297,0.0,0.0,0.0,0.0
bw,20,covariance,all,64,20.0,1.0658141036401503e-14,0.5108831136876297,1.3729876249502723e-15,7.905432141533411e-16,2.2116067373848087e-14,0.11371906503524767
bw,10,covariance,all,64,10.0,1.0658141036401503e-14,0.5108831136876297,1.3729876249502723e-15,7.905432141533411e-16,2.2116067373848087e-14,0.11371906503524767
bw,0,covariance,all,64,0.0,1.0658141036401503e-14,0.5108831136876297,1.3729876249502723e-15,7.905432141533411e-16,2.2116067373848087e-14,0.11371906503524767
ma,20,independent,all,64,20.0,1.7763568394002505e-15,0.236677293794474,1.121493433929968,0.41178930360117216,5.660391773433783,0.10394010123479765
ma,10,independent,all,64,10.0,1.7763568394002505e-15,0.236677293794474,1.121493433929968,0.41178930360117216,5.660391773433783,0.10394010123479765
ma,0,independent,all,64,0.0,1.7763568394002505e-15,0.236677293794474,1.121493433929968,0.41178930360117216,5.660391773433783,0.10394010123479765
ma,20,independent_rms,all,64,20.0,3.552713678800501e-15,0.236677293794474,0.9068479004681924,0.41178930360117216,3.4911478092271447e-16,0.19775906946024863
ma,10,independent_rms,all,64,10.0,3.552713678800501e-15,0.236677293794474,0.9068479004681924,0.41178930360117216,3.4911478092271447e-16,0.19775906946024863
ma,0,independent_rms,all,64,0.0,3.552713678800501e-15,0.236677293794474,0.9068479004681924,0.41178930360117216,3.4911478092271447e-16,0.19775906946024863
ma,20,electrode,all,64,20.0,1.7763568394002505e-15,0.3889129074450059,0.0,0.0,0.0,0.0
ma,10,electrode,all,64,10.0,1.7763568394002505e-15,0.3889129074450059,0.0,0.0,0.0,0.0
ma,0,electrode,all,64,0.0,1.7763568394002505e-15,0.3889129074450059,0.0,0.0,0.0,0.0
ma,20,covariance,all,64,20.0,1.0658141036401503e-14,0.38891290744500584,1.4134129785569812e-15,4.446963677723931e-16,5.079484175231521e-15,0.267263813776577
ma,10,covariance,all,64,10.0,1.0658141036401503e-14,0.38891290744500584,1.4134129785569812e-15,4.446963677723931e-16,5.079484175231521e-15,0.267263813776577
ma,0,covariance,all,64,0.0,1.0658141036401503e-14,0.38891290744500584,1.4134129785569812e-15,4.446963677723931e-16,5.079484175231521e-15,0.267263813776577
em,20,independent,all,64,20.0,1.7763568394002505e-15,0.24465208915356024,1.0814965710088882,0.4616620593546382,6.2047241808699605,0.07086071294409668
em,10,independent,all,64,10.0,1.7763568394002505e-15,0.24465208915356024,1.0814965710088882,0.4616620593546382,6.2047241808699605,0.07086071294409668
em,0,independent,all,64,0.0,1.7763568394002505e-15,0.24465208915356024,1.0814965710088882,0.4616620593546382,6.2047241808699605,0.07086071294409668
em,20,independent_rms,all,64,20.0,1.7763568394002505e-15,0.24465208915356024,0.9136884737606319,0.4616620593546382,3.5964878109525193e-16,0.22013895222880545
em,10,independent_rms,all,64,10.0,1.7763568394002505e-15,0.24465208915356024,0.9136884737606319,0.4616620593546382,3.5964878109525193e-16,0.22013895222880545
em,0,independent_rms,all,64,0.0,1.7763568394002505e-15,0.24465208915356024,0.9136884737606319,0.4616620593546382,3.5964878109525193e-16,0.22013895222880545
em,20,electrode,all,64,20.0,1.7763568394002505e-15,0.4458069702775929,0.0,0.0,0.0,0.0
em,10,electrode,all,64,10.0,1.7763568394002505e-15,0.4458069702775929,0.0,0.0,0.0,0.0
em,0,electrode,all,64,0.0,1.7763568394002505e-15,0.4458069702775929,0.0,0.0,0.0,0.0
em,20,covariance,all,64,20.0,1.0658141036401503e-14,0.44580697027759286,1.4636658426350801e-15,5.129065016466834e-16,7.678153586532751e-15,0.07742216604482356
em,10,covariance,all,64,10.0,1.0658141036401503e-14,0.44580697027759286,1.4636658426350801e-15,5.129065016466834e-16,7.678153586532751e-15,0.07742216604482356
