kind,condition,frequency,power
ma,electrode,3.125,1.0843298218882852e-05
ma,electrode,3.515625,7.3543178431583575e-06
ma,electrode,3.90625,5.794616035829099e-06
ma,electrode,4.296875,4.999541662185208e-06
ma,electrode,4.6875,4.737981898397152e-06
ma,electrode,5.078125,4.7688332911911225e-06
ma,electrode,5.46875,4.391508496837851e-06
ma,electrode,5.859375,4.4208230231449505e-06
ma,electrode,6.25,4.292502185053427e-06
ma,electrode,6.640625,4.528549947721803e-06
ma,electrode,7.03125,4.737227442941301e-06
ma,electrode,7.421875,4.705326200965559e-06
ma,electrode,7.8125,5.223854089139148e-06
ma,electrode,8.203125,5.816618688291008e-06
ma,electrode,8.59375,6.7381653727497515e-06
ma,electrode,8.984375,7.689701944446234e-06
ma,electrode,9.375,8.772653748656743e-06
ma,electrode,9.765625,9.093676197289408e-06
ma,electrode,10.15625,1.024964350294859e-05
ma,electrode,10.546875,1.0637661447435703e-05
ma,electrode,10.9375,1.2432773937192816e-05
ma,electrode,11.328125,1.58084681022598e-05
ma,electrode,11.71875,1.8172031405012476e-05
ma,electrode,12.109375,1.7441314976984593e-05
ma,electrode,12.5,1.8091009075445345e-05
ma,electrode,12.890625,1.7506301583761106e-05
ma,electrode,13.28125,1.7530318199447246e-05
ma,electrode,13.671875,1.761146529897862e-05
ma,electrode,14.0625,1.681708937168747e-05
ma,electrode,14.453125,1.8101583735355766e-05
ma,electrode,14.84375,1.9686654116372688e-05
ma,electrode,15.234375,1.8797571895526324e-05
ma,electrode,15.625,1.907245127521349e-05
ma,electrode,16.015625,2.013753832349367e-05
ma,electrode,16.40625,2.103869603700177e-05
ma,electrode,16.796875,2.168109562349208e-05
ma,electrode,17.1875,2.316181816961694e-05
ma,electrode,17.578125,2.4468792449693187e-05
ma,electrode,17.96875,2.7291402421701316e-05
ma,electrode,18.359375,2.261350238452979e-05
ma,electrode,18.75,2.3545490113529963e-05
ma,electrode,19.140625,2.620668968081141e-05
ma,electrode,19.53125,2.618347213171829e-05
ma,electrode,19.921875,2.769646206118592e-05
ma,electrode,20.3125,2.6830381337483345e-05
ma,electrode,20.703125,2.843077614591488e-05
ma,electrode,21.09375,3.153164808228196e-05
ma,electrode,21.484375,3.087264151579472e-05
ma,electrode,21.875,2.9931217033480623e-05
ma,electrode,22.265625,2.997495213221682e-05
ma,electrode,22.65625,2.79462772684671e-05
ma,electrode,23.046875,3.2555509007891225e-05
ma,electrode,23.4375,2.9019662773945925e-05
ma,electrode,23.828125,2.730142787723612e-05
ma,electrode,24.21875,3.185057488704226e-05
ma,electrode,24.609375,3.305430278576506e-05
ma,electrode,25.0,3.2723504772247484e-05
ma,electrode,25.390625,2.810326239810331e-05
ma,electrode,25.78125,2.9557778955586725e-05
ma,electrode,26.171875,3.146620771835491e-05
ma,electrode,26.5625,2.8772808982871704e-05
ma,electrode,26.953125,2.949387910176253e-05
ma,electrode,27.34375,3.1731053416621575e-05
ma,electrode,27.734375,3.189966127316709e-05
ma,electrode,28.125,3.169472291185823e-05
ma,electrode,28.515625,3.078389786395618e-05
ma,electrode,28.90625,2.7948808094730804e-05
ma,electrode,29.296875,3.089069630461951e-05
ma,electrode,29.6875,4.6054581037982115e-05
ma,electrode,30.078125,5.4066591221383374e-05
ma,electrode,30.46875,3.630909718651261e-05
ma,electrode,30.859375,3.231730520089562e-05
ma,electrode,31.25,2.7910943403868597e-05
ma,electrode,31.640625,2.7389927223985117e-05
ma,electrode,32.03125,2.8535301100896824e-05
ma,electrode,32.421875,2.5692501405125946e-05
ma,electrode,32.8125,2.6267612971681545e-05
ma,electrode,33.203125,3.0186100897561978e-05
ma,electrode,33.59375,2.881943451775107e-05
ma,electrode,33.984375,2.5346922945849122e-05
ma,electrode,34.375,2.5357376977844538e-05
ma,electrode,34.765625,2.550570008753523e-05
ma,electrode,35.15625,2.31043718300719e-05
ma,electrode,35.546875,2.3011307380924794e-05
ma,electrode,35.9375,2.1714916708173698e-05
ma,electrode,36.328125,1.984737795815145e-05
ma,electrode,36.71875,2.0471431540281636e-05
ma,electrode,37.109375,2.0754909889379914e-05
ma,electrode,37.5,2.147382214882712e-05
ma,electrode,37.890625,2.055765095006453e-05
ma,electrode,38.28125,1.838297447728569e-05
ma,electrode,38.671875,1.8788952174656077e-05
ma,electrode,39.0625,1.8218535213652817e-05
ma,electrode,39.453125,1.811453629482278e-05
ma,electrode,39.84375,1.676875664610469e-05
ma,electrode,40.234375,1.592952539740828e-05
ma,electrode,40.625,1.6079664949266872e-05
ma,electrode,41.015625,1.6252844983079708e-05
ma,electrode,41.40625,1.5898620129609223e-05
ma,electrode,41.796875,1.4628675642323527e-05
ma,electrode,42.1875,1.4579130439315535e-05
ma,electrode,42.578125,1.491166808831208e-05
ma,electrode,42.96875,1.3832618353972427e-05
ma,electrode,43.359375,1.2478238387948992e-05
ma,electrode,43.75,1.2047460500104656e-05
ma,electrode,44.140625,1.2423698394279968e-05
ma,electrode,44.53125,1.149211521883654e-05
ma,electrode,44.921875,1.14100426984135e-05
ma,electrode,45.3125,1.0516270342790826e-05
ma,electrode,45.703125,9.333495540152313e-06
ma,electrode,46.09375,8.349543968588331e-06
ma,electrode,46.484375,7.332791011685969e-06
ma,electrode,46.875,6.2333001783036026e-06
ma,electrode,47.265625,6.126571158866379e-06
ma,electrode,47.65625,5.988477771278727e-06
ma,electrode,48.046875,5.363831978594493e-06
ma,electrode,48.4375,4.966787536975031e-06
ma,electrode,48.828125,4.726228677914951e-06
ma,electrode,49.21875,4.2940841987767425e-06
ma,electrode,49.609375,4.062456144194197e-06
ma,electrode,50.0,2.060395484743446e-06
ma,covariance,0.0,0.0004528735983227202
ma,covariance,0.390625,0.0023222887284977175
ma,covariance,0.78125,0.0009447026323635132
ma,covariance,1.171875,0.0002286110394379027
ma,covariance,1.5625,0.00010210613691001389
ma,covariance,1.953125,5.534211131006926e-05
ma,covariance,2.34375,3.2532853654838894e-05
ma,covariance,2.734375,1.7744680133549996e-05
ma,covariance,3.125,1.2393098186797924e-05
ma,covariance,3.515625,8.84620846406083e-06
ma,covariance,3.90625,6.8852059400549476e-06
ma,covariance,4.296875,6.281687812399079e-06
ma,covariance,4.6875,5.6418020029711895e-06
ma,covariance,5.078125,4.9825287928137805e-06
ma,covariance,5.46875,4.239999063897928e-06
ma,covariance,5.859375,4.188947049027644e-06
ma,covariance,6.25,4.17661697363873e-06
ma,covariance,6.640625,4.142305429986376e-06
ma,covariance,7.03125,3.99545166248618e-06
ma,covariance,7.421875,4.252558445967109e-06
ma,covariance,7.8125,4.7407370648257554e-06
ma,covariance,8.203125,5.105905797071758e-06
ma,covariance,8.59375,5.7723029521293355e-06
ma,covariance,8.984375,6.6156953771175365e-06
ma,covariance,9.375,7.308290584329483e-06
ma,covariance,9.765625,8.560101277485534e-06
ma,covariance,10.15625,9.050481579905426e-06
ma,covariance,10.546875,9.914529879171514e-06
ma,covariance,10.9375,1.0760937016683744e-05
ma,covariance,11.328125,1.2889323439853213e-05
ma,covariance,11.71875,1.4213580385356097e-05
ma,covariance,12.109375,1.5541233705235634e-05
ma,covariance,12.5,1.6063396279814432e-05
ma,covariance,12.890625,1.6430777262431928e-05
ma,covariance,13.28125,1.4354037587817509e-05
ma,covariance,13.671875,1.3619729884403528e-05
ma,covariance,14.0625,1.3601469197650507e-05
ma,covariance,14.453125,1.3650125081899894e-05
ma,covariance,14.84375,1.4636440238985371e-05
ma,covariance,15.234375,1.5971875281716352e-05
