condition,mode,snr_db,noise_seed,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd,class_name,true_label,stratum
E,,0,8128,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.3890057761131884e-05,-7.320366891430323e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.0169699373529676e-06,-2.070217314319409e-07,-5.618894634759336e-06,3.99540210688914e-06,NORM,0,negative
E,,0,8128,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.524859606422407e-16,5.169772195911953e-16,5.653425114305499e-16,6.074371942600223e-16,6.630772069183115e-16,7.616725445312074e-16,9.221570854893175e-16,6.207300270195657e-16,7.522895560808311e-17,NORM,0,negative
E,,5,101,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.999971745821633,4.999986003832232,4.999992568893164,4.999995199288799,4.999997100219135,4.999998868693736,4.999999683222,4.999994269426158,3.9953130927748735e-06,NORM,0,negative
E,,5,101,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987726658e-05,-1.3890057758769273e-05,-7.320366888537335e-06,-4.688292965005174e-06,-2.781787523344583e-06,-1.0169699345564174e-06,-2.070217299854496e-07,-5.6188946325998845e-06,3.995402106737311e-06,NORM,0,negative
E,,5,101,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.095115806225834e-16,8.404197679174978e-16,9.561749378764289e-16,1.0830096399352963e-15,1.2459480457161747e-15,1.5187450160664017e-15,1.9608586040068627e-15,1.1179600756538928e-15,2.1459570420716256e-16,NORM,0,negative
E,,5,202,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.999971733344047,4.99998599689734,4.999992568491484,4.9999952096428055,4.999997102294778,4.9999988768256545,4.99999967372695,4.999994269206106,3.995764317675489e-06,NORM,0,negative
E,,5,202,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987726658e-05,-1.389005775896214e-05,-7.320366888296253e-06,-4.688292965005174e-06,-2.781787523103501e-06,-1.016969934893932e-06,-2.070217304676134e-07,-5.618894632598271e-06,3.995402106735012e-06,NORM,0,negative
E,,5,202,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.221115599086647e-16,8.432429271663586e-16,9.603476121297737e-16,1.0787148219713416e-15,1.250997383611728e-15,1.530413952775176e-15,1.978496884136974e-15,1.1175082693414073e-15,2.1068614870414377e-16,NORM,0,negative
E,,5,303,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.9999717441516145,4.999985992153916,4.999992572266377,4.999995200652037,4.999997102520357,4.999998873467805,4.999999689555642,4.999994269338565,3.9951398420909175e-06,NORM,0,negative
E,,5,303,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987726658e-05,-1.3890057758769273e-05,-7.320366888296253e-06,-4.688292965487338e-06,-2.781787523344583e-06,-1.0169699353760958e-06,-2.070217304676134e-07,-5.618894632599481e-06,3.9954021067411036e-06,NORM,0,negative
E,,5,303,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,7.087521760605618e-16,8.402291543628178e-16,9.669735117787265e-16,1.0781456136098663e-15,1.2311338518236607e-15,1.5181606144060166e-15,1.911629486429608e-15,1.1177341430467332e-15,2.0785603884189338e-16,NORM,0,negative
E,,5,404,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,4.999971723956502,4.9999859930095765,4.999992560686671,4.999995202554067,4.999997110279661,4.99999886359599,4.999999693654581,4.999994268967864,3.995553128401667e-06,NORM,0,negative
E,,5,404,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8155564987726658e-05,-1.3890057758479974e-05,-7.320366888296253e-06,-4.688292965005174e-06,-2.781787522621337e-06,-1.0169699350385811e-06,-2.070217299854496e-07,-5.618894632583343e-06,3.99540210673897e-06,NORM,0,negative
