condition,mode,snr_db,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd
S_00,S_00,5,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.41654725122572195,0.43800888509241614,0.44677738913834186,0.4529270608610958,0.4590137700259345,0.4679472883061298,0.4864550083654724,0.45291087626434773,0.009092530712747494
S_00,S_00,10,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,12.339936499716625,12.502700456080932,12.570996085760447,12.619543923149756,12.668134392283314,12.740448390519676,12.894211771743453,12.620013357143138,0.07220731117535398
S_00,S_00,10,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,2.3399364401326035,2.5027004058718947,2.5709960305523754,2.6195438697716793,2.668134328495334,2.740448330350677,2.8942117264994947,2.6200132987233062,0.07220731128947751
S_00,S_00,10,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,10.000000023006848,10.000000043809216,10.000000052391954,10.000000058344503,10.000000064537371,10.00000007318337,10.000000092746468,10.000000058419833,8.968121547207444e-09
S_00,S_00,10,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
S_00,S_00,10,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.4165472538768083,0.43800888284077777,0.4467773873817292,0.4529270618695734,0.4590137697914608,0.46794728782376954,0.48645500867089114,0.4529108762661653,0.009092530723731677
S_01,S_01,0,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.3995966566558906,1.53792662603871,1.5955812521308588,1.6356386504582672,1.6778347238656979,1.739230276321062,1.8841113945172134,1.6368336950002869,0.061192280181136996
S_01,S_01,0,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.3995966442729415,1.5379266288565543,1.595581251173246,1.6356386479910938,1.677834718671673,1.7392302759212188,1.8841113963970881,1.6368336949693194,0.06119228019297481
S_01,S_01,0,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,-2.1554276319811988e-08,-9.137233639308107e-09,-3.6455733296986676e-09,3.3222527713833456e-11,3.733989980612037e-09,9.123983784829643e-09,2.2651567073548964e-08,3.0947347838734795e-11,5.540613172433166e-09
S_01,S_01,0,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
S_01,S_01,0,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.27549756522865865,0.29821085438701855,0.30746514364147404,0.31382428666784495,0.32045858108108427,0.3299979423434641,0.3519805601247275,0.3139446983641862,0.009660592206695066
S_01,S_01,5,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,6.39959653242549,6.537926518816308,6.595581146704759,6.635638538071683,6.677834604508908,6.739230163597311,6.884111276797308,6.636833583048421,0.061192280199843276
S_01,S_01,5,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.399596641345051,1.5379266290032756,1.5955812540707686,1.6356386481867067,1.6778347141296115,1.7392302775595552,1.8841113935708287,1.6368336949914937,0.06119228019924755
S_01,S_01,5,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,4.999999857167722,4.999999876042207,4.999999883230671,4.999999888076364,4.999999892926622,4.999999900071184,4.999999916525083,4.999999888056914,7.27441786591978e-09
S_01,S_01,5,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
S_01,S_01,5,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.27549756474021964,0.2982108544107282,0.3074651436554861,0.3138242866379307,0.32045858037038716,0.32999794259621656,0.35198055970301567,0.3139446983676753,0.00966059220760005
S_01,S_01,10,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,11.39959671607029,11.537926687575341,11.595581312386843,11.635638723857689,11.677834774170256,11.739230342066229,11.884111431189798,11.63683375340988,0.061192280175479875
S_01,S_01,10,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.3995966429487072,1.537926628119901,1.595581254682317,1.6356386486278855,1.67783471660875,1.739230277962608,1.8841113928065003,1.6368336949562,0.06119228023643221
S_01,S_01,10,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,10.000000025083368,10.000000043679169,10.000000052418027,10.000000058324162,10.000000064585508,10.000000073186632,10.000000088970467,10.000000058453686,8.99775931719125e-09
S_01,S_01,10,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
S_01,S_01,10,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.27549756500774614,0.2982108542679815,0.3074651436938318,0.3138242865409526,0.32045858075829825,0.3299979426583976,0.3519805595889687,0.3139446983620166,0.009660592213687855
