model,strategy,seed,group_id,class_name,bin_id,count,probability_sum,target_sum
resnet,independent_rms,17,primary_joint,CD,14,120,117.27202314138412,108.0
resnet,independent_rms,17,primary_joint,HYP,0,1222,28.444617307686713,44.0
resnet,independent_rms,17,primary_joint,HYP,1,285,27.36542971432209,31.0
resnet,independent_rms,17,primary_joint,HYP,2,122,19.74824994802475,26.0
resnet,independent_rms,17,primary_joint,HYP,3,94,21.910251766443253,21.0
resnet,independent_rms,17,primary_joint,HYP,4,61,18.051142126321793,17.0
resnet,independent_rms,17,primary_joint,HYP,5,42,15.618091702461243,20.0
resnet,independent_rms,17,primary_joint,HYP,6,37,15.872051328420639,16.0
resnet,independent_rms,17,primary_joint,HYP,7,20,10.065138131380081,15.0
resnet,independent_rms,17,primary_joint,HYP,8,12,6.807815074920654,7.0
resnet,independent_rms,17,primary_joint,HYP,9,23,14.508250296115875,12.0
resnet,independent_rms,17,primary_joint,HYP,10,16,11.083864331245422,6.0
resnet,independent_rms,17,primary_joint,HYP,11,20,15.414992570877075,17.0
resnet,independent_rms,17,primary_joint,HYP,12,15,12.51382315158844,13.0
resnet,independent_rms,17,primary_joint,HYP,13,12,10.836300551891327,10.0
resnet,independent_rms,17,primary_joint,HYP,14,19,18.253025889396667,17.0
resnet,electrode,17,clean,NORM,0,214,3.503258998494175,4.0
resnet,electrode,17,clean,NORM,1,40,3.822229616343975,0.0
resnet,electrode,17,clean,NORM,2,29,4.659611061215401,3.0
resnet,electrode,17,clean,NORM,3,33,7.858037903904915,4.0
resnet,electrode,17,clean,NORM,4,14,4.05415865778923,3.0
resnet,electrode,17,clean,NORM,5,12,4.534869462251663,1.0
resnet,electrode,17,clean,NORM,6,24,10.44165575504303,4.0
resnet,electrode,17,clean,NORM,7,16,8.08011582493782,2.0
resnet,electrode,17,clean,NORM,8,18,10.210346579551697,3.0
resnet,electrode,17,clean,NORM,9,18,11.450984477996826,8.0
resnet,electrode,17,clean,NORM,10,13,9.249662101268768,5.0
resnet,electrode,17,clean,NORM,11,20,15.296096086502075,7.0
resnet,electrode,17,clean,NORM,12,37,30.865063309669495,19.0
resnet,electrode,17,clean,NORM,13,44,39.73442184925079,24.0
resnet,electrode,17,clean,NORM,14,468,462.3681786060333,384.0
resnet,electrode,17,clean,MI,0,624,7.396627370039823,54.0
resnet,electrode,17,clean,MI,1,70,6.8601387068629265,16.0
resnet,electrode,17,clean,MI,2,41,6.810167342424393,10.0
resnet,electrode,17,clean,MI,3,34,7.943053066730499,12.0
resnet,electrode,17,clean,MI,4,22,6.752257436513901,11.0
resnet,electrode,17,clean,MI,5,24,8.603357017040253,12.0
resnet,electrode,17,clean,MI,6,19,8.121974408626556,9.0
resnet,electrode,17,clean,MI,7,24,12.076326608657837,14.0
resnet,electrode,17,clean,MI,8,14,7.934708893299103,5.0
resnet,electrode,17,clean,MI,9,10,6.357233285903931,7.0
resnet,electrode,17,clean,MI,10,24,16.771641552448273,12.0
resnet,electrode,17,clean,MI,11,24,18.37270337343216,17.0
resnet,electrode,17,clean,MI,12,14,11.680735647678375,11.0
