model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,independent_rms,1,-0.0003670113556605292,,,,1,0,0,1,0,,,,-0.007354560323148329,0.00634613131321498
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,electrode,1,0.006260251483367285,,,,1,0,1,0,0,,,,-0.0017778489304633189,0.013962999361632894
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,independent_rms,clean_only,1,-0.024081328353784293,,,,1,0,0,1,0,,,,-0.03532842263775649,-0.013239627785624167
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,electrode,clean_only,1,-0.020896851141994133,,,,1,0,0,1,0,,,,-0.03478032176054567,-0.007535115574610722
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,clean_only,1,-0.026880869759871806,,,,1,0,0,1,0,,,,-0.03832666371360115,-0.015924752685472613
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,clean_only,independent_rms,1,0.024081328353784293,,,,1,0,1,0,0,,,,0.013239627785624163,0.03532842263775649
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,electrode,independent_rms,1,0.00318447721179016,,,,1,0,1,0,0,,,,-0.008103671725087209,0.013618403915133215
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,independent_rms,1,-0.0027995414060875135,,,,1,0,0,1,0,,,,-0.012312947088846341,0.00677404575361069
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,electrode,1,-0.005984018617877673,,,,1,0,0,1,0,,,,-0.01897075889164903,0.0064371775531169495
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,independent_rms,clean_only,1,0.02783424650862376,,,,1,0,1,0,0,,,,0.01560421449330188,0.040874570892026355
