model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_f1,clean_only,0.5345192152144966,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,brier,clean_only,0.1521287411451339,3.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,ece,clean_only,0.0893709756076335,2.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_auroc,clean_only,0.8649884125517915,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_ap,clean_only,0.7047053848803839,4.0
resnet,17,bandpass__combo_V1__independent_rms__s10,macro_f1,clean_only,0.6597062889335293,2.0
resnet,17,bandpass__combo_V1__independent_rms__s10,brier,clean_only,0.1182472184300422,2.0
resnet,17,bandpass__combo_V1__independent_rms__s10,ece,clean_only,0.0722095939584076,2.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_auroc,clean_only,0.8492049226159054,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_ap,clean_only,0.6783948642020382,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,macro_f1,clean_only,0.6226205049934597,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,brier,clean_only,0.126255601644516,4.0
resnet,17,bandpass__combo_V1__independent_rms__s5,ece,clean_only,0.0752124346807599,2.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_auroc,clean_only,0.7997845674660364,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_ap,clean_only,0.5926447395705174,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,macro_f1,clean_only,0.5160121199379862,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,brier,clean_only,0.159158781170845,4.0
resnet,17,bandpass__combo_V1__independent_rms__s0,ece,clean_only,0.1150982646398246,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_auroc,clean_only,0.8664488109482381,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_ap,clean_only,0.707477351544541,4.0
resnet,17,bandpass__combo_V1__electrode__s10,macro_f1,clean_only,0.6568322650311161,3.0
resnet,17,bandpass__combo_V1__electrode__s10,brier,clean_only,0.1181245148181915,2.0
resnet,17,bandpass__combo_V1__electrode__s10,ece,clean_only,0.0723988283216953,2.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_auroc,clean_only,0.8519262522508673,4.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_ap,clean_only,0.6866905693840806,4.0
resnet,17,bandpass__combo_V1__electrode__s5,macro_f1,clean_only,0.6232384483323015,4.0
resnet,17,bandpass__combo_V1__electrode__s5,brier,clean_only,0.12543286383152,3.0
resnet,17,bandpass__combo_V1__electrode__s5,ece,clean_only,0.0751620769891888,2.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_auroc,clean_only,0.7947599884739963,4.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_ap,clean_only,0.592995646327642,4.0
resnet,17,bandpass__combo_V1__electrode__s0,macro_f1,clean_only,0.5011984017217952,4.0
resnet,17,bandpass__combo_V1__electrode__s0,brier,clean_only,0.1610699295997619,4.0
resnet,17,bandpass__combo_V1__electrode__s0,ece,clean_only,0.1191901317682117,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_auroc,clean_only,0.8669621646410588,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_ap,clean_only,0.7041815884262439,4.0
resnet,17,bandpass__combo_V1__covariance__s10,macro_f1,clean_only,0.6605468585238856,2.0
resnet,17,bandpass__combo_V1__covariance__s10,brier,clean_only,0.1181379631161689,2.0
resnet,17,bandpass__combo_V1__covariance__s10,ece,clean_only,0.0740680943414568,2.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_auroc,clean_only,0.851972764365914,4.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_ap,clean_only,0.6792164895729509,4.0
resnet,17,bandpass__combo_V1__covariance__s5,macro_f1,clean_only,0.6344942032740191,4.0
resnet,17,bandpass__combo_V1__covariance__s5,brier,clean_only,0.1261267364025116,3.0
resnet,17,bandpass__combo_V1__covariance__s5,ece,clean_only,0.0785396621920168,2.0
resnet,17,bandpass__combo_V1__covariance__s0,macro_auroc,clean_only,0.789130935675901,4.0
