noise_seed,snr,lead,frequency_hz,electrode_psd,marginal_shift_psd
8128,20,II,25.78125,1.7929513606254075e-05,1.7477033163837327e-05
8128,20,II,26.171875,1.7982748461739623e-05,1.7681323493785642e-05
8128,20,II,26.5625,1.7675028377982225e-05,1.7919845322987372e-05
8128,20,II,26.953125,1.7477107744218396e-05,1.778749214519271e-05
8128,20,II,27.34375,1.757574920964558e-05,1.7810429153977106e-05
8128,20,II,27.734375,1.7335453899398586e-05,1.7711320040244127e-05
8128,20,II,28.125,1.7571455001307514e-05,1.7416983940476144e-05
8128,20,II,28.515625,1.7584921625785244e-05,1.762876081339528e-05
8128,20,II,28.90625,1.7451244593516403e-05,1.7508578066579497e-05
8128,20,II,29.296875,1.7470660170223345e-05,1.7241239902570923e-05
8128,20,II,29.6875,1.7567531209098925e-05,1.771328623177015e-05
8128,20,II,30.078125,1.7361120847966144e-05,1.7574485646305026e-05
8128,20,II,30.46875,1.7227000714309325e-05,1.7381977244602073e-05
8128,20,II,30.859375,1.719815893760639e-05,1.728603432172935e-05
8128,20,II,31.25,1.7633723336475686e-05,1.748977311209003e-05
8128,20,II,31.640625,1.7487402159236417e-05,1.7421016838894765e-05
8128,20,II,32.03125,1.7173823072444893e-05,1.7281259937777726e-05
8128,20,II,32.421875,1.6837553106863483e-05,1.6856788058430418e-05
8128,20,II,32.8125,1.7096886481364488e-05,1.684651899732336e-05
8128,20,II,33.203125,1.720655571370405e-05,1.7292293627572272e-05
8128,20,II,33.59375,1.7340916040540277e-05,1.7775309976012467e-05
8128,20,II,33.984375,1.722423878108776e-05,1.766288137908594e-05
8128,20,II,34.375,1.7272966498719815e-05,1.7361192678587958e-05
8128,20,II,34.765625,1.7120676489509988e-05,1.745961451561403e-05
8128,20,II,35.15625,1.6931352317372685e-05,1.7179874151900963e-05
8128,20,II,35.546875,1.7401771760169546e-05,1.7430445474437267e-05
8128,20,II,35.9375,1.7456873476251242e-05,1.759584821442293e-05
8128,20,II,36.328125,1.7738390083862285e-05,1.768496273238895e-05
8128,20,II,36.71875,1.7731926775028994e-05,1.76522001313813e-05
8128,20,II,37.109375,1.7821208571571056e-05,1.7597901379073684e-05
8128,20,II,37.5,1.7214756528038374e-05,1.7297625463759653e-05
8128,20,II,37.890625,1.7217048878867602e-05,1.721350853360017e-05
8128,20,II,38.28125,1.7581083635478636e-05,1.7557803467289976e-05
8128,20,II,38.671875,1.7776634003730206e-05,1.7789787990479306e-05
8128,20,II,39.0625,1.7368208959985085e-05,1.7747767688607635e-05
8128,20,II,39.453125,1.6671618025053318e-05,1.7082472885255863e-05
8128,20,II,39.84375,1.405851822082176e-05,1.4128191394697995e-05
8128,20,II,40.234375,3.7891328491290937e-06,3.7276820610345017e-06
8128,20,II,40.625,5.357839479893396e-08,5.360310324051944e-08
8128,20,II,41.015625,1.940239392870515e-09,1.9518463453657906e-09
8128,20,II,41.40625,2.9394381790942547e-10,2.967235985714203e-10
8128,20,II,41.796875,7.651030910401496e-11,7.740181366212531e-11
8128,20,II,42.1875,2.673052491825338e-11,2.7081978137816174e-11
8128,20,II,42.578125,1.12569447156669e-11,1.1417171670972599e-11
8128,20,II,42.96875,5.396826929027271e-12,5.478071794660428e-12
8128,20,II,43.359375,2.8465809272455444e-12,2.8912110198854667e-12
8128,20,II,43.75,1.6157788809199727e-12,1.641892361967407e-12
8128,20,II,44.140625,9.721996941250647e-13,9.882478104862503e-13
8128,20,II,44.53125,6.134422895844459e-13,6.237262666327067e-13
8128,20,II,44.921875,4.027276140814895e-13,4.0954653217484894e-13
8128,20,II,45.3125,2.734884725135169e-13,2.7814283010437917e-13
8128,20,II,45.703125,1.9127696272919937e-13,1.945385277135249e-13
8128,20,II,46.09375,1.373426555865166e-13,1.3967990524458089e-13
8128,20,II,46.484375,1.0103255463462011e-13,1.0274765522427259e-13
8128,20,II,46.875,7.605329283118433e-14,7.733373580394456e-14
8128,20,II,47.265625,5.857774677041248e-14,5.955564741167692e-14
8128,20,II,47.65625,4.6201629464464304e-14,4.6966856569225285e-14
8128,20,II,48.046875,3.739341523697789e-14,3.800654769629645e-14
8128,20,II,48.4375,3.1156499054766936e-14,3.166142088652748e-14
8128,20,II,48.828125,2.68337008259906e-14,2.7264113827112553e-14
8128,20,II,49.21875,2.4004141159273337e-14,2.438570546435028e-14
8128,20,II,49.609375,2.2401173987327787e-14,2.2755020371446788e-14
8128,20,II,50.0,1.0941317853505773e-14,1.111442781907461e-14
8128,20,III,0.0,1.5716407658220007e-06,1.537033434920924e-06
8128,20,III,0.390625,8.244653975487199e-06,8.215956647222824e-06
8128,20,III,0.78125,1.621639373808674e-05,1.627451199076392e-05
8128,20,III,1.171875,1.7891894402564434e-05,1.7720337689623487e-05
8128,20,III,1.5625,1.7487396986760946e-05,1.764170081698776e-05
8128,20,III,1.953125,1.7776784791100243e-05,1.791416234621369e-05
8128,20,III,2.34375,1.7594833369400355e-05,1.767607909932209e-05
8128,20,III,2.734375,1.7190250103599133e-05,1.7558509794627865e-05
8128,20,III,3.125,1.7133261555428347e-05,1.7361431060293355e-05
8128,20,III,3.515625,1.755683919106895e-05,1.753634968924775e-05
8128,20,III,3.90625,1.796583287182495e-05,1.783983906690844e-05
8128,20,III,4.296875,1.748961079182089e-05,1.7378426519161273e-05
8128,20,III,4.6875,1.7345721324053338e-05,1.7266230393616247e-05
8128,20,III,5.078125,1.7253576075551634e-05,1.721239727398487e-05
8128,20,III,5.46875,1.679138823132437e-05,1.6994528397262523e-05
8128,20,III,5.859375,1.7040028846786965e-05,1.723168636980509e-05
8128,20,III,6.25,1.7396157832265206e-05,1.7396100820293372e-05
8128,20,III,6.640625,1.7379820536646798e-05,1.7281304129627687e-05
8128,20,III,7.03125,1.7471045530683034e-05,1.72030446100286e-05
8128,20,III,7.421875,1.7460651706529307e-05,1.7686552915445525e-05
8128,20,III,7.8125,1.751148243442607e-05,1.7625423544239094e-05
8128,20,III,8.203125,1.7631015107685473e-05,1.7696714868603625e-05
8128,20,III,8.59375,1.720240855036565e-05,1.7282092213557755e-05
8128,20,III,8.984375,1.6700906543573868e-05,1.6740208878112834e-05
8128,20,III,9.375,1.7086058731066575e-05,1.7179509339060365e-05
8128,20,III,9.765625,1.7297169306476994e-05,1.715371867395609e-05
8128,20,III,10.15625,1.7223860042951035e-05,1.7133050115985587e-05
8128,20,III,10.546875,1.7337244286067154e-05,1.715889073956755e-05
8128,20,III,10.9375,1.7467922466160848e-05,1.7453093622747508e-05
8128,20,III,11.328125,1.7707050330722552e-05,1.7457084613696165e-05
8128,20,III,11.71875,1.754204254209952e-05,1.7639895959038787e-05
8128,20,III,12.109375,1.762952491466455e-05,1.7809512073915052e-05
8128,20,III,12.5,1.7582569297867903e-05,1.76954434444243e-05
8128,20,III,12.890625,1.7320264646061752e-05,1.7365526396406946e-05
