model,kind,snr,condition,active,seed,noise_seed,metric,outcome,value
resnet,bandpass,0,independent,all,17,8128,auroc_NORM,absolute,0.8812940731761364
resnet,bandpass,0,independent,all,17,8128,auroc_NORM,clean_drop,0.05280395556076922
resnet,bandpass,0,independent,all,17,8128,auroc_NORM,normalized_robustness,0.9434706487571604
resnet,bandpass,0,independent,all,17,8128,auroc_MI,absolute,0.7334215287200363
resnet,bandpass,0,independent,all,17,8128,auroc_MI,clean_drop,0.15281320669380372
resnet,bandpass,0,independent,all,17,8128,auroc_MI,normalized_robustness,0.8275702806624106
resnet,bandpass,0,independent,all,17,8128,auroc_STTC,absolute,0.8101332314038249
resnet,bandpass,0,independent,all,17,8128,auroc_STTC,clean_drop,0.1092431851251705
resnet,bandpass,0,independent,all,17,8128,auroc_STTC,normalized_robustness,0.8811768681880189
resnet,bandpass,0,independent,all,17,8128,auroc_CD,absolute,0.8355823725787043
resnet,bandpass,0,independent,all,17,8128,auroc_CD,clean_drop,0.06763251620666888
resnet,bandpass,0,independent,all,17,8128,auroc_CD,normalized_robustness,0.925120237667312
resnet,bandpass,0,independent,all,17,8128,auroc_HYP,absolute,0.8389337134022611
resnet,bandpass,0,independent,all,17,8128,auroc_HYP,clean_drop,0.05260371372435346
resnet,bandpass,0,independent,all,17,8128,auroc_HYP,normalized_robustness,0.9409966288293315
resnet,bandpass,0,independent,all,17,8128,ap_NORM,absolute,0.8365921098711231
resnet,bandpass,0,independent,all,17,8128,ap_NORM,clean_drop,0.0720563926241361
resnet,bandpass,0,independent,all,17,8128,ap_NORM,normalized_robustness,0.9206993766817629
resnet,bandpass,0,independent,all,17,8128,ap_MI,absolute,0.5277764201996867
resnet,bandpass,0,independent,all,17,8128,ap_MI,clean_drop,0.21856278495902193
resnet,bandpass,0,independent,all,17,8128,ap_MI,normalized_robustness,0.7071535523673156
resnet,bandpass,0,independent,all,17,8128,ap_STTC,absolute,0.6190056216995727
resnet,bandpass,0,independent,all,17,8128,ap_STTC,clean_drop,0.18357575065016274
resnet,bandpass,0,independent,all,17,8128,ap_STTC,normalized_robustness,0.7712683635885105
resnet,bandpass,0,independent,all,17,8128,ap_CD,absolute,0.7161064995580527
resnet,bandpass,0,independent,all,17,8128,ap_CD,clean_drop,0.09729587400063311
resnet,bandpass,0,independent,all,17,8128,ap_CD,normalized_robustness,0.8803840790679797
resnet,bandpass,0,independent,all,17,8128,ap_HYP,absolute,0.5316234511724509
resnet,bandpass,0,independent,all,17,8128,ap_HYP,clean_drop,0.10099756821696704
resnet,bandpass,0,independent,all,17,8128,ap_HYP,normalized_robustness,0.8403505967675775
resnet,bandpass,0,independent,all,17,8128,f1_NORM,absolute,0.4706778370144707
resnet,bandpass,0,independent,all,17,8128,f1_NORM,clean_drop,0.3778070114703778
resnet,bandpass,0,independent,all,17,8128,f1_NORM,normalized_robustness,0.554727450766401
resnet,bandpass,0,independent,all,17,8128,f1_MI,absolute,0.518888096935139
resnet,bandpass,0,independent,all,17,8128,f1_MI,clean_drop,0.1598004276550249
resnet,bandpass,0,independent,all,17,8128,f1_MI,normalized_robustness,0.7645452635989576
resnet,bandpass,0,independent,all,17,8128,f1_STTC,absolute,0.5733672603901612
resnet,bandpass,0,independent,all,17,8128,f1_STTC,clean_drop,0.15732953810324746
resnet,bandpass,0,independent,all,17,8128,f1_STTC,normalized_robustness,0.7846856063576261
resnet,bandpass,0,independent,all,17,8128,f1_CD,absolute,0.6010928961748634
resnet,bandpass,0,independent,all,17,8128,f1_CD,clean_drop,0.10439422588560698
resnet,bandpass,0,independent,all,17,8128,f1_CD,normalized_robustness,0.8520253274339558
resnet,bandpass,0,independent,all,17,8128,f1_HYP,absolute,0.5220228384991843
resnet,bandpass,0,independent,all,17,8128,f1_HYP,clean_drop,0.07402743080063612
resnet,bandpass,0,independent,all,17,8128,f1_HYP,normalized_robustness,0.8758033766372225
resnet,bandpass,0,independent_rms,all,17,8128,macro_auroc,absolute,0.8190409051560843
resnet,bandpass,0,independent_rms,all,17,8128,macro_auroc,clean_drop,0.08785139416226151
resnet,bandpass,0,independent_rms,all,17,8128,macro_auroc,normalized_robustness,0.9031291871932345
resnet,bandpass,0,independent_rms,all,17,8128,macro_ap,absolute,0.6438434571501791
resnet,bandpass,0,independent_rms,all,17,8128,macro_ap,clean_drop,0.13687503744018237
resnet,bandpass,0,independent_rms,all,17,8128,macro_ap,normalized_robustness,0.8246806776201394
resnet,bandpass,0,independent_rms,all,17,8128,macro_f1,absolute,0.533109027245248
resnet,bandpass,0,independent_rms,all,17,8128,macro_f1,clean_drop,0.1787724853404944
resnet,bandpass,0,independent_rms,all,17,8128,macro_f1,normalized_robustness,0.7488732574443545
resnet,bandpass,0,independent_rms,all,17,8128,micro_auroc,absolute,0.7446026531704559
resnet,bandpass,0,independent_rms,all,17,8128,micro_ap,absolute,0.4922072057822897
resnet,bandpass,0,independent_rms,all,17,8128,micro_f1,absolute,0.5317672183662573
resnet,bandpass,0,independent_rms,all,17,8128,brier,absolute,0.1771115511655807
resnet,bandpass,0,independent_rms,all,17,8128,ece,absolute,0.1451913860402967
resnet,bandpass,0,independent_rms,all,17,8128,mean_loss,absolute,0.5230944288423641
resnet,bandpass,0,independent_rms,all,17,8128,mean_confidence,absolute,0.8047752976417542
resnet,bandpass,0,independent_rms,all,17,8128,mean_entropy,absolute,0.4284608547064369
resnet,bandpass,0,independent_rms,all,17,8128,clean_agreement,absolute,0.798887859128823
resnet,bandpass,0,independent_rms,all,17,8128,probability_shift,absolute,0.1886694878339767
resnet,bandpass,0,independent_rms,all,17,8128,auroc_NORM,absolute,0.8806119301172678
resnet,bandpass,0,independent_rms,all,17,8128,auroc_NORM,clean_drop,0.05348609861963782
resnet,bandpass,0,independent_rms,all,17,8128,auroc_NORM,normalized_robustness,0.9427403795157293
resnet,bandpass,0,independent_rms,all,17,8128,auroc_MI,absolute,0.7331422433288106
resnet,bandpass,0,independent_rms,all,17,8128,auroc_MI,clean_drop,0.1530924920850294
resnet,bandpass,0,independent_rms,all,17,8128,auroc_MI,normalized_robustness,0.8272551436224536
resnet,bandpass,0,independent_rms,all,17,8128,auroc_STTC,absolute,0.8089302443376947
resnet,bandpass,0,independent_rms,all,17,8128,auroc_STTC,clean_drop,0.1104461721913007
resnet,bandpass,0,independent_rms,all,17,8128,auroc_STTC,normalized_robustness,0.8798683866515111
resnet,bandpass,0,independent_rms,all,17,8128,auroc_CD,absolute,0.8344117561430069
resnet,bandpass,0,independent_rms,all,17,8128,auroc_CD,clean_drop,0.06880313264236626
resnet,bandpass,0,independent_rms,all,17,8128,auroc_CD,normalized_robustness,0.9238241823761173
resnet,bandpass,0,independent_rms,all,17,8128,auroc_HYP,absolute,0.8381083518536412
resnet,bandpass,0,independent_rms,all,17,8128,auroc_HYP,clean_drop,0.05342907527297336
resnet,bandpass,0,independent_rms,all,17,8128,auroc_HYP,normalized_robustness,0.9400708555263766
resnet,bandpass,0,independent_rms,all,17,8128,ap_NORM,absolute,0.8359251038129552
resnet,bandpass,0,independent_rms,all,17,8128,ap_NORM,clean_drop,0.07272339868230404
resnet,bandpass,0,independent_rms,all,17,8128,ap_NORM,normalized_robustness,0.9199653127875997
resnet,bandpass,0,independent_rms,all,17,8128,ap_MI,absolute,0.5262211703661448
resnet,bandpass,0,independent_rms,all,17,8128,ap_MI,clean_drop,0.22011803479256387
resnet,bandpass,0,independent_rms,all,17,8128,ap_MI,normalized_robustness,0.7050697145857949
resnet,bandpass,0,independent_rms,all,17,8128,ap_STTC,absolute,0.614421915013487
resnet,bandpass,0,independent_rms,all,17,8128,ap_STTC,clean_drop,0.1881594573362485
resnet,bandpass,0,independent_rms,all,17,8128,ap_STTC,normalized_robustness,0.7655571586640051
resnet,bandpass,0,independent_rms,all,17,8128,ap_CD,absolute,0.7150544193407171
resnet,bandpass,0,independent_rms,all,17,8128,ap_CD,clean_drop,0.09834795421796871
resnet,bandpass,0,independent_rms,all,17,8128,ap_CD,normalized_robustness,0.8790906476107644
resnet,bandpass,0,independent_rms,all,17,8128,ap_HYP,absolute,0.5275946772175912
