model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,macro_f1,absolute,8128,training_seed_student_t_95,3,0.48381766888607475,0.025722374962363757,0.4199197472070763,0.5477155905650732
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,8128,training_seed_student_t_95,3,0.23391816163969512,0.024974363534282038,0.17187840335799168,0.2959579199213986
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,8128,training_seed_student_t_95,3,0.6740699745256536,0.03490375671574975,0.5873642361873753,0.760775712863932
resnet,bandpass,0,covariance,all,mean_confidence,absolute,8128,training_seed_student_t_95,3,0.780004064242045,0.03364569767908552,0.696423517800314,0.8635846106837761
resnet,bandpass,0,covariance,all,mean_entropy,absolute,8128,training_seed_student_t_95,3,0.464144053656491,0.04540533488624186,0.35135094895232244,0.5769371583606595
resnet,bandpass,0,covariance,all,mean_loss,absolute,8128,training_seed_student_t_95,3,0.530017997802989,0.052582339138187016,0.39939622617939197,0.660639769426586
resnet,bandpass,0,covariance,all,micro_ap,absolute,8128,training_seed_student_t_95,3,0.5085290134173198,0.06755486232217348,0.34071343231278683,0.6763445945218528
resnet,bandpass,0,covariance,all,micro_auroc,absolute,8128,training_seed_student_t_95,3,0.7334674896637244,0.03405006630547784,0.6488824358677359,0.818052543459713
resnet,bandpass,0,covariance,all,micro_f1,absolute,8128,training_seed_student_t_95,3,0.4805738795384822,0.02094869962212513,0.42853442479567616,0.5326133342812882
resnet,bandpass,0,covariance,all,probability_shift,absolute,8128,training_seed_student_t_95,3,0.22090414166450492,0.004592707996683126,0.20949522253102845,0.2323130607979814
resnet,bandpass,0,electrode,all,ap_CD,absolute,8128,training_seed_student_t_95,3,0.6972532041327438,0.018794830191480205,0.6505642576687227,0.7439421505967649
resnet,bandpass,0,electrode,all,ap_CD,clean_drop,8128,training_seed_student_t_95,3,0.1093356785026709,0.02243268370337217,0.05360980294004761,0.16506155406529419
resnet,bandpass,0,electrode,all,ap_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8645371662133278,0.02720175101616825,0.7969642706892588,0.9321100617373967
resnet,bandpass,0,electrode,all,ap_HYP,absolute,8128,training_seed_student_t_95,3,0.5497419801536219,0.020525139940333798,0.4987547059895176,0.6007292543177261
resnet,bandpass,0,electrode,all,ap_HYP,clean_drop,8128,training_seed_student_t_95,3,0.09185996082770269,0.011181524641946121,0.06408351379012293,0.11963640786528244
resnet,bandpass,0,electrode,all,ap_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8568408175396929,0.016952341381121283,0.8147288670129057,0.8989527680664801
resnet,bandpass,0,electrode,all,ap_MI,absolute,8128,training_seed_student_t_95,3,0.5406460198538271,0.053743373910376015,0.40714007796801766,0.6741519617396365
resnet,bandpass,0,electrode,all,ap_MI,clean_drop,8128,training_seed_student_t_95,3,0.2224640290112014,0.03672317705774701,0.13123859998789802,0.31368945803450476
resnet,bandpass,0,electrode,all,ap_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.7076658395532247,0.0547743573865477,0.5715987927340975,0.8437328863723519
resnet,bandpass,0,electrode,all,ap_NORM,absolute,8128,training_seed_student_t_95,3,0.8018586387805278,0.027938075035429534,0.7324566129921669,0.8712606645688886
resnet,bandpass,0,electrode,all,ap_NORM,clean_drop,8128,training_seed_student_t_95,3,0.10520158291711874,0.022764420163568305,0.04865162830336989,0.1617515375308676
resnet,bandpass,0,electrode,all,ap_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.8839236869718446,0.025831578920290657,0.819754487622691,0.9480928863209983
resnet,bandpass,0,electrode,all,ap_STTC,absolute,8128,training_seed_student_t_95,3,0.601780429044294,0.04389886477626045,0.49272960355190853,0.7108312545366794
resnet,bandpass,0,electrode,all,ap_STTC,clean_drop,8128,training_seed_student_t_95,3,0.21020318286795758,0.034366756467915954,0.12483142709652595,0.2955749386393892
resnet,bandpass,0,electrode,all,ap_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.7407698333893734,0.04544441390077997,0.6278796510314539,0.8536600157472929
