kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,aVL_requested_reference_mv2,2158,0,0.0005136430414213865,0.000669280158104928,0.01638463801763825
bandpass,20,aVL_requested_abs_error_mv2,2158,0,1.818204472536655e-05,3.186380780344842e-05,0.0005483027062043741
bandpass,20,aVL_requested_relative_band_error,2158,0,0.034700690347097204,0.02611592129086763,0.17737033951770656
bandpass,20,aVL_requested_relative_total_error,2158,0,0.034429888961768434,0.02591124205537037,0.175862723533036
bandpass,20,aVL_baseline_0_0.5_reference_mv2,2158,0,2.1762116937267204e-06,3.0551699891638546e-06,5.213700173252864e-05
bandpass,20,aVL_baseline_0_0.5_abs_error_mv2,2158,0,1.2725900541637376e-06,2.378464188611281e-06,6.622818524342744e-05
bandpass,20,aVL_baseline_0_0.5_relative_band_error,2158,0,0.7774643746334401,1.2721935371005402,31.798389399677966
bandpass,20,aVL_baseline_0_0.5_relative_total_error,2158,0,0.0024965837168067395,0.002265084910639458,0.01752819878195057
bandpass,20,aVL_ecg_0.5_40_reference_mv2,2158,0,0.0005136430414213865,0.000669280158104928,0.01638463801763825
bandpass,20,aVL_ecg_0.5_40_abs_error_mv2,2158,0,1.818204472536655e-05,3.186380780344842e-05,0.0005483027062043741
bandpass,20,aVL_ecg_0.5_40_relative_band_error,2158,0,0.034700690347097204,0.02611592129086763,0.17737033951770656
bandpass,20,aVL_ecg_0.5_40_relative_total_error,2158,0,0.034429888961768434,0.02591124205537037,0.175862723533036
bandpass,20,aVL_high_40_nyquist_reference_mv2,2158,0,1.8404076098770293e-06,2.81517686682675e-06,6.0973764158215804e-05
bandpass,20,aVL_high_40_nyquist_abs_error_mv2,2158,0,1.0406006636879564e-06,1.8983400195825966e-06,3.6138284157313224e-05
bandpass,20,aVL_high_40_nyquist_relative_band_error,2158,0,0.7268625248436775,0.965514292601989,10.216011077207813
bandpass,20,aVL_high_40_nyquist_relative_total_error,2158,0,0.00199825273596287,0.0017146641719111837,0.012819883508853162
bandpass,20,aVF_welch_total_reference_mv2,2158,0,0.0005188353447648818,0.0006855736451689955,0.01701603977387149
bandpass,20,aVF_welch_relative_l1,2158,0,0.45907970164229284,0.041202423758763186,0.6008663609715894
bandpass,20,aVF_requested_reference_mv2,2158,0,0.0005148338079135009,0.0006803559277931378,0.01686839577704872
bandpass,20,aVF_requested_abs_error_mv2,2158,0,1.8199375276006345e-05,4.13819087631708e-05,0.0013032831733269228
bandpass,20,aVF_requested_relative_band_error,2158,0,0.034298727862746826,0.026103954289767032,0.16742124961027743
bandpass,20,aVF_requested_relative_total_error,2158,0,0.034031575855469,0.02589738828556715,0.16497031934675255
bandpass,20,aVF_baseline_0_0.5_reference_mv2,2158,0,2.2369489122671873e-06,3.2381777840689862e-06,7.094534776807579e-05
bandpass,20,aVF_baseline_0_0.5_abs_error_mv2,2158,0,1.3042991211669894e-06,2.1465371214600316e-06,3.8167439496666235e-05
bandpass,20,aVF_baseline_0_0.5_relative_band_error,2158,0,0.7696889671441985,1.0908758191417192,19.089497279543018
bandpass,20,aVF_baseline_0_0.5_relative_total_error,2158,0,0.002582258086941973,0.00220531583783972,0.016276923092851888
bandpass,20,aVF_ecg_0.5_40_reference_mv2,2158,0,0.0005148338079135009,0.0006803559277931378,0.01686839577704872
bandpass,20,aVF_ecg_0.5_40_abs_error_mv2,2158,0,1.8199375276006345e-05,4.13819087631708e-05,0.0013032831733269228
bandpass,20,aVF_ecg_0.5_40_relative_band_error,2158,0,0.034298727862746826,0.026103954289767032,0.16742124961027743
bandpass,20,aVF_ecg_0.5_40_relative_total_error,2158,0,0.034031575855469,0.02589738828556715,0.16497031934675255
bandpass,20,aVF_high_40_nyquist_reference_mv2,2158,0,1.764587939113391e-06,2.777053934015695e-06,7.669864905469676e-05
bandpass,20,aVF_high_40_nyquist_abs_error_mv2,2158,0,9.742630108842865e-07,1.7756559907293267e-06,4.7576249643639494e-05
bandpass,20,aVF_high_40_nyquist_relative_band_error,2158,0,0.7136771974792139,0.9058859289476506,11.656165614153343
bandpass,20,aVF_high_40_nyquist_relative_total_error,2158,0,0.0019014630651638218,0.0015906800080036844,0.013009482534097934
bandpass,20,V1_welch_total_reference_mv2,2158,0,0.0004611927072344546,0.0005960280742012504,0.014053755781809674
bandpass,20,V1_welch_relative_l1,2158,0,0.45884879934026607,0.039795809369989624,0.585251292220316
bandpass,20,V1_requested_reference_mv2,2158,0,0.0004576535781967573,0.0005905548079270087,0.013860530938917466
bandpass,20,V1_requested_abs_error_mv2,2158,0,1.5807364290224982e-05,3.411912899320231e-05,0.001153398068548939
