kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,V6_high_40_nyquist_abs_error_mv2,2158,0,8.752786263076134e-07,1.6446104582048728e-06,4.426946445977557e-05
bandpass,20,V6_high_40_nyquist_relative_band_error,2158,0,0.7000732768016624,0.893911239830006,10.150722078691555
bandpass,20,V6_high_40_nyquist_relative_total_error,2158,0,0.0019130808202725052,0.0016508595384472624,0.014137048203843748
bandpass,20,aggregate_welch_total_reference_mv2,2158,0,0.0005329387679401336,0.0007018641224990196,0.017445817085864707
bandpass,20,aggregate_welch_relative_l1,2158,0,0.20947692647617788,0.018606440828115505,0.2779681604019673
bandpass,20,aggregate_requested_reference_mv2,2158,0,0.0005288357263305224,0.0006964412112131617,0.017304993076593726
bandpass,20,aggregate_requested_abs_error_mv2,2158,0,8.443168856739377e-06,1.5023385520200395e-05,0.0002677123867113225
bandpass,20,aggregate_requested_relative_band_error,2158,0,0.015711938134686795,0.011729729889509507,0.06615877971940057
bandpass,20,aggregate_requested_relative_total_error,2158,0,0.015590305645158902,0.011637906644457843,0.06544914066755424
bandpass,20,aggregate_baseline_0_0.5_reference_mv2,2158,0,2.262472146099716e-06,3.014955512007312e-06,7.084933817191708e-05
bandpass,20,aggregate_baseline_0_0.5_abs_error_mv2,2158,0,6.15894104409805e-07,9.806183802905966e-07,2.421850611223388e-05
bandpass,20,aggregate_baseline_0_0.5_relative_band_error,2158,0,0.2892898899034459,0.24953758879675048,2.1380732577776036
bandpass,20,aggregate_baseline_0_0.5_relative_total_error,2158,0,0.0011887622944402796,0.0009484864491344725,0.006489231668219042
bandpass,20,aggregate_ecg_0.5_40_reference_mv2,2158,0,0.0005288357263305224,0.0006964412112131617,0.017304993076593726
