distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
43,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,auroc_NORM,0.9325822518252034,0.9218452396149618,0.9420900943995599,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
44,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,auroc_MI,0.8889062264435399,0.8737996206475922,0.9028265435967244,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
45,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,auroc_STTC,0.9233719125579265,0.9117673417206525,0.9352575429630122,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
46,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,auroc_CD,0.8977677820477984,0.8800976910058627,0.914280436827273,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
47,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,auroc_HYP,0.8921527576470084,0.8711645528790363,0.9114994939700003,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
48,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,macro_auroc,0.0013144733525534136,0.000513108426033132,0.002088741686239159,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
49,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,auroc_NORM,0.0009758556116042927,3.713613401167826e-05,0.0019772916057453904,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
50,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,auroc_MI,0.0016169154228855565,0.00019443240376693373,0.0030818230022402805,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
51,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,auroc_STTC,0.000682396172015376,-0.0007200100569362544,0.0019800271295414753,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
52,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,auroc_CD,0.0011633379915376718,-0.0007296787154915191,0.002993156827474633,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
53,resnet,bandpass,20,all,8128,17,1,clean_drop,clean,independent,auroc_HYP,0.002133861564724393,0.0002744977109331831,0.003973267774105699,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
54,resnet,bandpass,20,all,8128,29,1,clean_drop,clean,independent,macro_auroc,0.0007264501032633319,0.00011572086101213908,0.001344761796235521,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
