model,kind,snr,condition,active,metric,outcome,noise_seed,n_training_seeds,mean_over_training_seeds
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,505,3,0.04900097701334538
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,101,3,0.9488962062315195
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,202,3,0.9505565971459822
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,303,3,0.9491545158854654
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,404,3,0.9501528357082337
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,505,3,0.9451276194039165
resnet,bandpass,0,covariance,all,auroc_MI,absolute,101,3,0.7319293683099654
resnet,bandpass,0,covariance,all,auroc_MI,absolute,202,3,0.737174732398613
resnet,bandpass,0,covariance,all,auroc_MI,absolute,303,3,0.7346713402683552
resnet,bandpass,0,covariance,all,auroc_MI,absolute,404,3,0.7407377883310718
resnet,bandpass,0,covariance,all,auroc_MI,absolute,505,3,0.7376805367103874
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,101,3,0.15848522538821053
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,202,3,0.1532398612995629
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,303,3,0.15574325342982068
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,404,3,0.14967680536710393
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,505,3,0.15273405698778844
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,101,3,0.8218009544592088
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,202,3,0.8277231816019898
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,303,3,0.8248854230684922
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,404,3,0.8317501625645098
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,505,3,0.8282811128994091
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,101,3,0.8476109785928735
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,202,3,0.8499821136586475
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,303,3,0.8511498672645194
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,404,3,0.8479999884137058
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,505,3,0.8505727249949672
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,101,3,0.0859624806834753
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,202,3,0.0835913456177015
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,303,3,0.08242359201182951
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,404,3,0.08557347086264296
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,505,3,0.08300073428138173
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,101,3,0.9078918443434478
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,202,3,0.910438928281315
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,303,3,0.9116879901723703
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,404,3,0.9083129146532117
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,505,3,0.9110740727020645
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,101,3,0.8038251705697306
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,202,3,0.8085245586409294
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,303,3,0.8009924057044566
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,404,3,0.8079316634559653
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,505,3,0.8071941596893026
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,101,3,0.12026196821659703
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,202,3,0.11556258014539796
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,303,3,0.1230947330818708
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,404,3,0.11615547533036219
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,505,3,0.11689297909702494
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,101,3,0.8697696540358487
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,202,3,0.8748618018087896
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,303,3,0.8667161064961887
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,404,3,0.8742094138599249
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,505,3,0.8734393435418153
resnet,bandpass,0,covariance,all,brier,absolute,101,3,0.17802852392196655
resnet,bandpass,0,covariance,all,brier,absolute,202,3,0.17761242389678952
resnet,bandpass,0,covariance,all,brier,absolute,303,3,0.17761055628458658
resnet,bandpass,0,covariance,all,brier,absolute,404,3,0.17709015309810638
resnet,bandpass,0,covariance,all,brier,absolute,505,3,0.17732002337773636
resnet,bandpass,0,covariance,all,clean_agreement,absolute,101,3,0.7258263824528886
resnet,bandpass,0,covariance,all,clean_agreement,absolute,202,3,0.7253320976212544
resnet,bandpass,0,covariance,all,clean_agreement,absolute,303,3,0.7261353104726599
resnet,bandpass,0,covariance,all,clean_agreement,absolute,404,3,0.7269385233240655
resnet,bandpass,0,covariance,all,clean_agreement,absolute,505,3,0.7260426320667284
resnet,bandpass,0,covariance,all,ece,absolute,101,3,0.15867694134987684
resnet,bandpass,0,covariance,all,ece,absolute,202,3,0.15915709021197702
resnet,bandpass,0,covariance,all,ece,absolute,303,3,0.1586055405609422
resnet,bandpass,0,covariance,all,ece,absolute,404,3,0.15845109854862524
resnet,bandpass,0,covariance,all,ece,absolute,505,3,0.15769593481988334
resnet,bandpass,0,covariance,all,f1_CD,absolute,101,3,0.5861680298132351
resnet,bandpass,0,covariance,all,f1_CD,absolute,202,3,0.5874918482956338
