model,seed,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
resnet,29,202,20,0.0003237140562329932,-0.0007430436379904926,0.001729348896909455,-0.0009558971976391661
resnet,43,202,20,-0.0006147013978331506,-0.0005556284863467154,-0.00332416445957473,0.001054435634130324
tcn,17,202,20,-0.00020483302285045912,-0.0005650602581370734,0.0023204569285816268,-0.00025192721845346266
tcn,29,202,20,1.1252771977443565e-05,0.00014142583428444766,-0.0020564080622228476,-0.0006617738687355046
tcn,43,202,20,3.780403625175399e-05,-0.00022725698921055582,0.0004862245589387637,-0.001460788605897656
resnet,17,202,10,-0.0045066618072429065,-0.010449844495072469,-0.011635377603687713,0.016051135304074315
resnet,29,202,10,-0.0013308284292961048,-0.00291280488649448,-0.012118955573708567,0.004610052394185049
resnet,43,202,10,-0.0015100388905582296,-0.001486237185900463,-0.0038231701563583576,0.007740713768688456
tcn,17,202,10,-0.0010396526832062714,-0.0021872110208025486,-0.005675455590842593,0.0008692126037213033
tcn,29,202,10,-0.001868693321543602,-0.0030209290105494002,-0.009202437853670364,0.006795220937932334
tcn,43,202,10,-0.0005159876190381496,-0.001851126349386556,-0.006850776903579381,-0.004525987620368932
resnet,17,202,0,-0.023900904883232488,-0.04494207633481018,-0.07212086755746716,0.06450021766069236
resnet,29,202,0,-0.019435210078629583,-0.030974220488301563,-0.05777461513812299,0.025997192419365933
resnet,43,202,0,-0.015147896535242955,-0.026272389297189114,-0.07130089290907604,0.0703016678331011
tcn,17,202,0,-0.009505341735043138,-0.014480561767128197,-0.07123162682378203,0.058622713926127834
tcn,29,202,0,-0.016941849154318067,-0.025173367281950076,-0.09231443296288228,0.1541163448395675
tcn,43,202,0,-0.011208967420615057,-0.019354014101561345,-0.1232560848287374,0.07297455287136906
resnet,17,303,20,-0.001496168921545249,-0.0032062352920413373,-0.003082760313520061,0.003967814306094608
resnet,29,303,20,-0.0009292774076138377,-0.0017111812472919707,-0.000731928730153486,0.0006287581914406482
resnet,43,303,20,-0.0003082303854057278,-0.0010687704511214147,-0.0025441664847881684,0.00032962182332513246
tcn,17,303,20,0.00024751588542848424,0.0007445556126770558,0.0023868752253861647,-0.0009378608523666343
tcn,29,303,20,8.554451616971104e-05,0.0003154244138192652,0.003875579792593342,-0.0008664802265502813
tcn,43,303,20,-0.00013871463242109972,-0.00018894084787068888,-8.83118770595992e-05,-0.0009505883807633397
resnet,17,303,10,-0.005251953959033884,-0.010128299589730383,-0.010184895320352272,0.016434439357831232
resnet,29,303,10,-0.0035849181932940954,-0.0063875139741288445,-0.008405893280676313,0.007203363836079557
resnet,43,303,10,-0.0023805471222101415,-0.003481807169470552,0.0012213605962144714,0.008313516140678323
tcn,17,303,10,1.617744607129712e-05,3.3905062619687953e-05,-0.00016160620820659943,-0.0009181586950918197
tcn,29,303,10,-0.0011040184951276455,-0.0007033391555647528,-0.0064209563793967694,0.004817379987976045
tcn,43,303,10,-0.0011695272864775674,-0.0017808162004069317,-0.008925690866993463,-0.0034551207239683634
resnet,17,303,0,-0.019624906194396163,-0.03479916692189189,-0.07551358812913683,0.0635835593968399
resnet,29,303,0,-0.020099838629770828,-0.031079577642377454,-0.06182270625366576,0.028370093299072807
resnet,43,303,0,-0.015324983204225262,-0.028636490944876525,-0.05140019875263602,0.06293776684574631
tcn,17,303,0,-0.008646522823439029,-0.013755572652868864,-0.07586361146177678,0.05569342363847385
tcn,29,303,0,-0.01736441873237926,-0.025791848281292218,-0.09396529788369101,0.1533806321817267
tcn,43,303,0,-0.013698349415889766,-0.022944637649151556,-0.12885436916740678,0.07520565930258355
resnet,17,404,20,-0.0010868923466216263,-0.0018972094415604657,0.00019860594504428342,0.002814327873340461
resnet,29,404,20,-3.5742847183439785e-05,7.574219544648209e-05,0.0012287144643730041,-0.0008958905564124819
resnet,43,404,20,0.000720102644705789,0.0014727440485462484,-0.00023877885015655131,-0.0018135565753049643
tcn,17,404,20,0.0001249741870728016,6.419608143803934e-05,0.002988844593717066,-0.0008023731462433181
tcn,29,404,20,-6.034536778554145e-05,1.1614789490854704e-05,-2.0328157152360582e-05,-0.0006798879299474425
tcn,43,404,20,-2.3722175391149847e-05,0.0001655704293904714,-0.0008667739885024339,-0.0014262724798270177
resnet,17,404,10,-0.0044798851185925415,-0.00956084838842719,-0.015314544570445898,0.013387215804345709
resnet,29,404,10,-0.0017717129673507914,-0.0016323410765660684,-0.0034778666952991477,0.004442752313465359
resnet,43,404,10,-0.0006641892104983782,-0.0009975461534056373,-0.005200392897571016,0.004895893115953287
tcn,17,404,10,0.000150197315651468,0.0004247702478320514,-0.002565450905616329,-0.0016296821355779034
tcn,29,404,10,-0.0012636931728269296,-0.001959365609149444,-0.007743296430166247,0.005248624970312532
tcn,43,404,10,-0.0012350113616427238,-0.0023762940878029326,-0.009127112922804992,-0.003544993908806804
resnet,17,404,0,-0.02168823785854046,-0.03376512681582444,-0.06195046497415413,0.06136213038700156
resnet,29,404,0,-0.019464557578637298,-0.027628988130230292,-0.05592396148760148,0.024618935029077693
resnet,43,404,0,-0.016434912648199407,-0.024740385446926028,-0.07533033992508442,0.06946588044678703
tcn,17,404,0,-0.008619950137390031,-0.009988297481939967,-0.07316630061423024,0.057256085604163176
tcn,29,404,0,-0.01900032157470799,-0.028374170835396062,-0.09795308920337442,0.15592368212979446
tcn,43,404,0,-0.014177041008017865,-0.023766451848623027,-0.13486635686677995,0.07554117901516322
resnet,17,505,20,0.00028891677890474643,0.0008658151468118325,0.002670496955252122,-8.261968345568693e-05
resnet,29,505,20,8.453129485030964e-05,0.0009200930242395655,-0.0012061432543396533,-0.001720312114932232
resnet,43,505,20,0.0010702902755190813,0.0012272983468214482,0.005307244212328199,-0.001607849402445738
tcn,17,505,20,-2.2851843750726353e-05,0.00036211444559075545,0.001506325804944586,-0.000496362286513341
