model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,20,all,noisy_minus_clean,covariance,macro_ap,17,0.450278627270975,0.4606974166244021,-0.010418789353427105,1,-0.010418789353427105,,,
resnet,bandpass,20,all,noisy_minus_clean,covariance,macro_f1,17,0.4278746520606985,0.4237279919741888,0.0041466600865097125,1,0.0041466600865097125,,,
resnet,bandpass,20,all,noisy_minus_clean,electrode,macro_auroc,17,0.6764519808945948,0.6814478665046628,-0.004995885610068029,1,-0.004995885610068029,,,
resnet,bandpass,20,all,noisy_minus_clean,electrode,macro_ap,17,0.4542282661590295,0.4606974166244021,-0.006469150465372608,1,-0.006469150465372608,,,
resnet,bandpass,20,all,noisy_minus_clean,electrode,macro_f1,17,0.4277199897265686,0.4237279919741888,0.0039919977523797945,1,0.0039919977523797945,,,
resnet,bandpass,20,all,noisy_minus_clean,independent,macro_auroc,17,0.6798230527628656,0.6814478665046628,-0.0016248137417972375,1,-0.0016248137417972375,,,
resnet,bandpass,20,all,noisy_minus_clean,independent,macro_ap,17,0.4587077709539205,0.4606974166244021,-0.001989645670481599,1,-0.001989645670481599,,,
resnet,bandpass,20,all,noisy_minus_clean,independent,macro_f1,17,0.427463924029403,0.4237279919741888,0.003735932055214164,1,0.003735932055214164,,,
resnet,bandpass,20,all,noisy_minus_clean,independent_rms,macro_auroc,17,0.6785576526334304,0.6814478665046628,-0.00289021387123245,1,-0.00289021387123245,,,
resnet,bandpass,20,all,noisy_minus_clean,independent_rms,macro_ap,17,0.4527215270310273,0.4606974166244021,-0.007975889593374808,1,-0.007975889593374808,,,
resnet,bandpass,20,all,noisy_minus_clean,independent_rms,macro_f1,17,0.4287698759634413,0.4237279919741888,0.0050418839892524825,1,0.0050418839892524825,,,
