model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,electrode,mean_probability,0.03910261541338266,0.03484770329757839,0.04294521279805328,0.000999000999000999,,1.9810440014259691,91,100,1,patient,16641523116242918362,500,5202044800686202539,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0405209481716156,0.978021978021978,0.03849359284881376,0.03690461394579429
resnet,bandpass,0,all,noisy_minus_clean,electrode,probability_shift,0.12011993110119132,0.11134097357353955,0.12965875891199222,0.000999000999000999,,2.7283465550564974,91,100,1,patient,14326592118275785250,500,10337639752632603083,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.12209564298391343,1.0,0.11900882885129732,0.11546436631657465
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,-0.06568644110133848,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,-0.0569774393890593,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,-0.020035181516672496,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,loss,0.4530392814812034,0.36024628963383004,0.5493279818601017,0.000999000999000999,,0.9583480902220668,91,100,1,patient,14746969288686955040,500,14010340980814512766,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.37287903727246174,0.9230769230769231,0.43292483514445884,0.36941917942000635
resnet,bandpass,0,all,noisy_minus_clean,independent,mean_probability,0.03683870532309369,0.03211372225176431,0.04055407704393117,0.000999000999000999,,1.750358354585187,91,100,1,patient,14594209312169474093,500,694569708436162142,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.03737445753067732,0.978021978021978,0.036309622123138555,0.03466593793563522
resnet,bandpass,0,all,noisy_minus_clean,independent,probability_shift,0.12297119560086929,0.11547222381393407,0.13136333522842986,0.000999000999000999,,3.0268162169105226,91,100,1,patient,12028603609744606822,500,3675334505876742569,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.12393293231725692,1.0,0.12192722310085341,0.11853944066739613
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,-0.10044942392502465,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,-0.09102906795814253,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,-0.03592784085910283,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,loss,0.4473867103409686,0.3560287941895851,0.5447643058556653,0.000999000999000999,,0.9621880272876966,91,100,1,patient,8916831245482945813,500,14733026368474568318,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.3640666776913304,0.9340659340659341,0.4275550297267455,0.3652824860795213
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,mean_probability,0.03691986413980666,0.03247516837654835,0.040907162037271017,0.000999000999000999,,1.7453480629841405,91,100,1,patient,6387096890430611538,500,12182297517219199280,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.03655136190354824,0.978021978021978,0.03639398002128889,0.034699510014600206
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,probability_shift,0.12200673749717078,0.11350419121577039,0.12995987320335325,0.000999000999000999,,3.00288960752739,91,100,1,patient,1396089270838451533,500,3625271638768100154,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.12089241594076157,1.0,0.12094862230231383,0.1176252994665315
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,-0.10350869985257416,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,-0.09084973416048303,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
