model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,10,covariance,all,f1_HYP,1,0.48,,,
resnet,bandpass,10,electrode,RA,macro_auroc,1,0.6324181214218807,,,
resnet,bandpass,10,electrode,RA,macro_ap,1,0.4169252770672412,,,
resnet,bandpass,10,electrode,RA,macro_f1,1,0.4222292639615473,,,
resnet,bandpass,10,electrode,RA,micro_auroc,1,0.4405031922043011,,,
resnet,bandpass,10,electrode,RA,micro_ap,1,0.2664057365761201,,,
resnet,bandpass,10,electrode,RA,micro_f1,1,0.4742857142857143,,,
resnet,bandpass,10,electrode,RA,brier,1,0.2633441686630249,,,
resnet,bandpass,10,electrode,RA,ece,1,0.3004982656538487,,,
resnet,bandpass,10,electrode,RA,mean_loss,1,0.7658592428264679,,,
resnet,bandpass,10,electrode,RA,mean_confidence,1,0.6397368311882019,,,
resnet,bandpass,10,electrode,RA,mean_entropy,1,0.6111074052132299,,,
resnet,bandpass,10,electrode,RA,clean_agreement,1,0.904,,,
resnet,bandpass,10,electrode,RA,probability_shift,1,0.01852966286242,,,
resnet,bandpass,10,electrode,RA,auroc_NORM,1,0.6802721088435374,,,
resnet,bandpass,10,electrode,RA,auroc_MI,1,0.5282651072124755,,,
resnet,bandpass,10,electrode,RA,auroc_STTC,1,0.4434523809523809,,,
resnet,bandpass,10,electrode,RA,auroc_CD,1,0.6212121212121212,,,
resnet,bandpass,10,electrode,RA,auroc_HYP,1,0.8888888888888888,,,
resnet,bandpass,10,electrode,RA,ap_NORM,1,0.6123233492347957,,,
resnet,bandpass,10,electrode,RA,ap_MI,1,0.2366480653421942,,,
resnet,bandpass,10,electrode,RA,ap_STTC,1,0.3395206044795343,,,
resnet,bandpass,10,electrode,RA,ap_CD,1,0.3321253291774244,,,
resnet,bandpass,10,electrode,RA,ap_HYP,1,0.5640090371022574,,,
resnet,bandpass,10,electrode,RA,f1_NORM,1,0.7086614173228346,,,
resnet,bandpass,10,electrode,RA,f1_MI,1,0.2857142857142857,,,
resnet,bandpass,10,electrode,RA,f1_STTC,1,0.3603603603603603,,,
resnet,bandpass,10,electrode,RA,f1_CD,1,0.2564102564102564,,,
resnet,bandpass,10,electrode,RA,f1_HYP,1,0.5,,,
resnet,bandpass,10,electrode,all,macro_auroc,1,0.6648271376340447,,,
resnet,bandpass,10,electrode,all,macro_ap,1,0.4339624466965078,,,
resnet,bandpass,10,electrode,all,macro_f1,1,0.4305878674171357,,,
resnet,bandpass,10,electrode,all,micro_auroc,1,0.4523059475806452,,,
resnet,bandpass,10,electrode,all,micro_ap,1,0.2716122783888344,,,
resnet,bandpass,10,electrode,all,micro_f1,1,0.497005988023952,,,
resnet,bandpass,10,electrode,all,brier,1,0.2637320160865783,,,
resnet,bandpass,10,electrode,all,ece,1,0.2975941326320171,,,
resnet,bandpass,10,electrode,all,mean_loss,1,0.767138570642411,,,
resnet,bandpass,10,electrode,all,mean_confidence,1,0.6411208510398865,,,
resnet,bandpass,10,electrode,all,mean_entropy,1,0.6098879017497161,,,
resnet,bandpass,10,electrode,all,clean_agreement,1,0.908,,,
resnet,bandpass,10,electrode,all,probability_shift,1,0.0205991473048925,,,
resnet,bandpass,10,electrode,all,auroc_NORM,1,0.6886754701880753,,,
resnet,bandpass,10,electrode,all,auroc_MI,1,0.5854450942170241,,,
resnet,bandpass,10,electrode,all,auroc_STTC,1,0.5372023809523809,,,
resnet,bandpass,10,electrode,all,auroc_CD,1,0.6317016317016317,,,
resnet,bandpass,10,electrode,all,auroc_HYP,1,0.8811111111111111,,,
resnet,bandpass,10,electrode,all,ap_NORM,1,0.6321459198523205,,,
resnet,bandpass,10,electrode,all,ap_MI,1,0.2479808633387874,,,
resnet,bandpass,10,electrode,all,ap_STTC,1,0.3897804865231438,,,
resnet,bandpass,10,electrode,all,ap_CD,1,0.3475258069773661,,,
resnet,bandpass,10,electrode,all,ap_HYP,1,0.5523791567909214,,,
resnet,bandpass,10,electrode,all,f1_NORM,1,0.72,,,
resnet,bandpass,10,electrode,all,f1_MI,1,0.2564102564102564,,,
resnet,bandpass,10,electrode,all,f1_STTC,1,0.4038461538461538,,,
resnet,bandpass,10,electrode,all,f1_CD,1,0.2926829268292683,,,
resnet,bandpass,10,electrode,all,f1_HYP,1,0.48,,,
resnet,bandpass,10,independent,all,macro_auroc,1,0.6584831437025525,,,
