model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,0,independent,all,auroc_CD,0.6375291375291374,0.5775058275058275,0.06002331002330996,0.9058500914062575
resnet,17,bandpass,0,independent,all,auroc_HYP,0.8988888888888888,0.86,0.03888888888888886,0.956736711989047
resnet,17,bandpass,0,independent,all,ap_NORM,0.6637085784687504,0.5659903321805897,0.09771824628816073,0.8527693486884554
resnet,17,bandpass,0,independent,all,ap_MI,0.2919282460446278,0.197475252997621,0.0944529930470068,0.6764513392333952
resnet,17,bandpass,0,independent,all,ap_STTC,0.3905077347304957,0.2223080752101369,0.1681996595203588,0.569279569745247
resnet,17,bandpass,0,independent,all,ap_CD,0.3514333127189256,0.2977854742472986,0.05364783847162696,0.8473456085952172
resnet,17,bandpass,0,independent,all,ap_HYP,0.6059092111592111,0.5647826086956521,0.04112660246355904,0.9321241504386297
resnet,17,bandpass,0,independent,all,f1_NORM,0.6976744186046512,0.5454545454545454,0.15221987315010577,0.7818181818170612
resnet,17,bandpass,0,independent,all,f1_MI,0.2162162162162162,0.2790697674418604,-0.0628535512256442,1.290697674412635
resnet,17,bandpass,0,independent,all,f1_STTC,0.4081632653061224,0.3859649122807017,0.022198353025420725,0.9456140350854025
resnet,17,bandpass,0,independent,all,f1_CD,0.2702702702702703,0.3888888888888889,-0.11861861861861861,1.4388888888835651
resnet,17,bandpass,0,independent,all,f1_HYP,0.5263157894736842,0.3396226415094339,0.1866931479642503,0.6452830188666984
resnet,17,bandpass,0,independent_rms,all,macro_auroc,0.6814478665046628,0.5779391666520887,0.10350869985257416,0.8481047414758999
resnet,17,bandpass,0,independent_rms,all,macro_ap,0.4606974166244021,0.3698476824639191,0.09084973416048303,0.8027995580549263
resnet,17,bandpass,0,independent_rms,all,macro_f1,0.4237279919741888,0.3824304211468123,0.041297570827376506,0.9025375438713177
resnet,17,bandpass,0,independent_rms,all,auroc_NORM,0.7106842737094838,0.6342537014805922,0.0764305722288916,0.8924549549536992
resnet,17,bandpass,0,independent_rms,all,auroc_MI,0.5971410006497726,0.4528914879792073,0.1442495126705653,0.7584330794328975
resnet,17,bandpass,0,independent_rms,all,auroc_STTC,0.5629960317460317,0.3695436507936508,0.19345238095238093,0.656387665197072
resnet,17,bandpass,0,independent_rms,all,auroc_CD,0.6375291375291374,0.5763403263403263,0.06118881118881114,0.9040219378413609
resnet,17,bandpass,0,independent_rms,all,auroc_HYP,0.8988888888888888,0.8566666666666668,0.04222222222222205,0.9530284301596322
resnet,17,bandpass,0,independent_rms,all,ap_NORM,0.6637085784687504,0.5696962781542646,0.09401230031448582,0.8583530432403917
resnet,17,bandpass,0,independent_rms,all,ap_MI,0.2919282460446278,0.1939767895895266,0.0979514564551012,0.6644673553076068
resnet,17,bandpass,0,independent_rms,all,ap_STTC,0.3905077347304957,0.2292069637696248,0.16130077096087092,0.5869460279121548
resnet,17,bandpass,0,independent_rms,all,ap_CD,0.3514333127189256,0.2964359754511227,0.05499733726780287,0.8435056231774108
resnet,17,bandpass,0,independent_rms,all,ap_HYP,0.6059092111592111,0.5599224053550567,0.045986805804154485,0.9241028111833822
resnet,17,bandpass,0,independent_rms,all,f1_NORM,0.6976744186046512,0.5842696629213483,0.11340475568330288,0.8374531835193989
resnet,17,bandpass,0,independent_rms,all,f1_MI,0.2162162162162162,0.2272727272727272,-0.01105651105651101,1.0511363636315019
resnet,17,bandpass,0,independent_rms,all,f1_STTC,0.4081632653061224,0.3826086956521739,0.025554569653948478,0.9373913043455296
resnet,17,bandpass,0,independent_rms,all,f1_CD,0.2702702702702703,0.3783783783783784,-0.10810810810810811,1.39999999999482
resnet,17,bandpass,0,independent_rms,all,f1_HYP,0.5263157894736842,0.3396226415094339,0.1866931479642503,0.6452830188666984
resnet,17,bandpass,10,covariance,RA,macro_auroc,0.6814478665046628,0.6336659810886555,0.047781885416007364,0.9298818181616388
resnet,17,bandpass,10,covariance,RA,macro_ap,0.4606974166244021,0.4284810643407587,0.03221635228364339,0.9300704733257951
resnet,17,bandpass,10,covariance,RA,macro_f1,0.4237279919741888,0.4094067047817048,0.014321287192483989,0.9662016966905445
resnet,17,bandpass,10,covariance,RA,auroc_NORM,0.7106842737094838,0.693077230892357,0.017607042817126883,0.975225225223853
resnet,17,bandpass,10,covariance,RA,auroc_MI,0.5971410006497726,0.5250162443144899,0.0721247563352827,0.8792165397156113
resnet,17,bandpass,10,covariance,RA,auroc_STTC,0.5629960317460317,0.4246031746031746,0.13839285714285715,0.7541850220250922
resnet,17,bandpass,10,covariance,RA,auroc_CD,0.6375291375291374,0.6445221445221445,-0.006993006993007089,1.010968921387811
resnet,17,bandpass,10,covariance,RA,auroc_HYP,0.8988888888888888,0.8811111111111112,0.01777777777777767,0.9802224969086748
resnet,17,bandpass,10,covariance,RA,ap_NORM,0.6637085784687504,0.624534299514303,0.03917427895444747,0.9409766873199562
resnet,17,bandpass,10,covariance,RA,ap_MI,0.2919282460446278,0.2644844060723835,0.02744383997224431,0.905991145615437
resnet,17,bandpass,10,covariance,RA,ap_STTC,0.3905077347304957,0.3075914156781708,0.08291631905232494,0.7876704820959916
resnet,17,bandpass,10,covariance,RA,ap_CD,0.3514333127189256,0.350558939066772,0.0008743736521535928,0.997511978456492
resnet,17,bandpass,10,covariance,RA,ap_HYP,0.6059092111592111,0.5952362613721639,0.010672949787047248,0.9823852326529079
resnet,17,bandpass,10,covariance,RA,f1_NORM,0.6976744186046512,0.703125,-0.005450581395348819,1.0078124999985554
resnet,17,bandpass,10,covariance,RA,f1_MI,0.2162162162162162,0.2162162162162162,0.0,0.9999999999953749
